name,price,descrption_link,img_link,jumia_express,old_price,decrease_percentage,n_stars,n_votes
Barilla Pâte - Pipe Rigatte - 500G,975 FCFA,https://www.jumia.sn/barilla-pate-pipe-rigatte-500g-10030337.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/73/303001/1.jpg?0646,True,1 010 FCFA,3%,,
Everyday Pate Alimentaire Spirelli 500G,525 FCFA,https://www.jumia.sn/everyday-pate-alimentaire-spirelli-500g-9989402.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/20/49899/1.jpg?9113,True,,,5 out of 5,(1)
Pates alimentaires Torsadé 500g,460 FCFA,https://www.jumia.sn/pastami-pates-alimentaires-torsade-500g-3236894.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/49/86323/3.jpg?1902,True,,,4 out of 5,(18)
Pâtes alimentaires Macaroni Diarra 500G,460 FCFA,https://www.jumia.sn/pastami-pates-alimentaires-macaroni-diarra-500g-3340838.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/83/80433/2.jpg?7076,True,,,3.5 out of 5,(6)
Pates alimentaires Spaghetti 500g N1,430 FCFA,https://www.jumia.sn/pates-alimentaires-spaghetti-500g-n1-pastami-mpg30660.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/29/33323/1.jpg?0800,True,,,4.4 out of 5,(25)
Everyday Pate Alimentaire Macaroni 500G,535 FCFA,https://www.jumia.sn/everyday-pate-alimentaire-macaroni-500g-9989403.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/30/49899/1.jpg?9159,True,,,,
Cheveux D'Ange - 500G,460 FCFA,https://www.jumia.sn/cheveux-dange-500g-pastami-mpg30661.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/32/11788/1.jpg?6305,True,,,4 out of 5,(4)
Panzani Macaroni - 500G,880 FCFA,https://www.jumia.sn/macaroni-500g-panzani-mpg30671.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/54/90788/1.jpg?3815,True,,,4.4 out of 5,(5)
Barilla Pâte - Pipe Rigatte - 500G,1 010 FCFA,https://www.jumia.sn/pate-pipe-rigatte-500g-barilla-mpg30721.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/03/79919/2.jpg?1760,True,,,4.4 out of 5,(7)
Pâtes Alimentaires - Coquillettes - 500G,460 FCFA,https://www.jumia.sn/pastami-pates-alimentaires-coquillettes-500g-9162040.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/04/02619/1.jpg?3935,True,,,,
