name,price,descrption_link,img_link,jumia_express,old_price,decrease_percentage,n_stars,n_votes
Original Encensoir Electrique - And Thiouraye,3 900 FCFA,https://www.jumia.sn/encensoir-electrique-and-thiouraye-original-mpg37151.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/82/61979/1.jpg?2204,True,6 500 FCFA,40%,4.3 out of 5,(3)
Generic Encensoir Electrique Grand modele,6 900 FCFA,https://www.jumia.sn/encensoir-electrique-grand-modele-generic-mpg45390.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/81/06489/1.jpg?7949,False,,,3 out of 5,(1)
Generic Encensoir Electrique + Lampe veilleuse,9 900 FCFA,https://www.jumia.sn/generic-encensoir-electrique-lampe-veilleuse-10000160.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/06/100001/1.jpg?2888,False,16 000 FCFA,38%,,
Generic Encensoir Electrique Grand modele,4 900 FCFA,https://www.jumia.sn/generic-encensoir-electrique-grand-modele-10021392.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/29/312001/1.jpg?7421,False,,,,
Original Encensoir Electrique CIRCULAIRE - And Thiouraye,6 000 FCFA,https://www.jumia.sn/original-encensoir-electrique-circulaire-and-thiouraye-9960051.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/15/00699/1.jpg?9404,False,15 000 FCFA,60%,,
Generic LCD Balance Mini Balance Électronique Balance De Poche Balance Numérique,5 500 FCFA,https://www.jumia.sn/lcd-balance-mini-balance-electronique-balance-de-poche-balance-numerique-generic-mpg43213.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/67/33389/1.jpg?1452,False,,,5 out of 5,(1)
Generic Encensoir Electrique Grand modele,9 000 FCFA,https://www.jumia.sn/generic-encensoir-electrique-grand-modele-9830952.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/25/90389/1.jpg?5525,False,15 000 FCFA,40%,,
Generic Encensoir Electrique Grand modele,9 000 FCFA,https://www.jumia.sn/generic-encensoir-electrique-grand-modele-9830951.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/15/90389/1.jpg?5525,False,15 000 FCFA,40%,,
Original Encensoir Electrique - And Thiouraye,5 900 FCFA,https://www.jumia.sn/original-encensoir-electrique-and-thiouraye-9999009.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/90/09999/1.jpg?5526,False,8 900 FCFA,34%,,
Generic Encensoir Electrique Grand modele,8 900 FCFA,https://www.jumia.sn/generic-encensoir-electrique-grand-modele-10000069.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/96/000001/1.jpg?8756,False,,,,
