name,price,descrption_link,img_link,jumia_express,old_price,decrease_percentage,n_stars,n_votes
Generic Lampe De Poche Longue Portée-noir,2 405 FCFA,https://www.jumia.sn/generic-lampe-de-poche-longue-portee-noir-9096356.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/65/36909/1.jpg?0039,True,4 716 FCFA,49%,4 out of 5,(6)
Generic Lampe projecteur Solaire - Détecteur de mouvement - Intelligente 3F,9 900 FCFA,https://www.jumia.sn/generic-lampe-projecteur-solaire-detecteur-de-mouvement-intelligente-3f-9732194.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/49/12379/1.jpg?1994,False,350 000 FCFA,97%,3.8 out of 5,(5)
White Label Ring light 3 Eclairage de couleur différente avec trépied avec support téléphone,12 500 FCFA,https://www.jumia.sn/white-label-ring-light-3-eclairage-de-couleur-differente-avec-trepied-avec-support-telephone-9851573.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/37/51589/1.jpg?4339,False,35 000 FCFA,64%,5 out of 5,(1)
Generic Support Frigo - Cuisinière et Machine à Laver - Gris,6 490 FCFA,https://www.jumia.sn/support-frigo-cuisiniere-et-machine-a-laver-gris-generic-mpg43376.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/24/86539/1.jpg?4394,False,8 000 FCFA,19%,3.5 out of 5,(23)
Generic Lampe de Poche ou Lampe Torche réglable et rechargeable,3 500 FCFA,https://www.jumia.sn/lampe-de-poche-ou-lampe-torche-reglable-et-rechargeable-generic-mpg28891.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/25/07597/1.jpg?3409,False,10 000 FCFA,65%,3.8 out of 5,(27)
Generic Lampe solaire et électrique rechargeable nouveau model,3 990 FCFA,https://www.jumia.sn/lampe-solaire-et-electrique-rechargeable-nouveau-model-generic-mpg34003.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/51/23588/1.jpg?1791,False,15 000 FCFA,73%,3.7 out of 5,(9)
Generic M 20 Lampe projecteur avec panneau Solaire avec télécommande,9 990 FCFA,https://www.jumia.sn/m-20-lampe-projecteur-avec-panneau-solaire-avec-telecommande-generic-mpg39535.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/91/91706/1.jpg?6411,False,50 000 FCFA,80%,4 out of 5,(7)
Generic Lampe solaire exterieure Led - Detectecteur de mouvement - Forme Caméra,8 500 FCFA,https://www.jumia.sn/generic-lampe-solaire-exterieure-led-detectecteur-de-mouvement-forme-camera-8871670.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/07/61788/1.jpg?9626,False,25 000 FCFA,66%,4.1 out of 5,(9)
Generic Lampe solaire extérieure 5m Avec Détecteur de mouvement intelligente,6 900 FCFA,https://www.jumia.sn/lampe-solaire-exterieure-5m-avec-detecteur-de-mouvement-intelligente-generic-mpg45475.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/26/16489/1.jpg?0901,False,35 000 FCFA,80%,2.3 out of 5,(3)
Generic Mini Projecteur Solaire + Panneau et Commande,12 600 FCFA,https://www.jumia.sn/generic-mini-projecteur-solaire-panneau-et-commande-9962939.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/93/92699/1.jpg?9081,False,35 000 FCFA,64%,5 out of 5,(1)
Generic Lampe torche solaire rechargeable - flip one,2 800 FCFA,https://www.jumia.sn/lampe-torche-solaire-rechargeable-flip-one-generic-mpg34016.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/40/62716/1.jpg?5123,False,10 000 FCFA,72%,4.4 out of 5,(18)
Generic Lampe Projecteur Solaire Led - Avec Détecteur De Mouvement,2 990 FCFA,https://www.jumia.sn/lampe-projecteur-solaire-led-avec-detecteur-de-mouvement-generic-mpg33986.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/66/77284/1.jpg?3167,False,10 000 FCFA,70%,4.8 out of 5,(4)
Generic Lampe solaire extérieure Led - Détecteur de mouvement - Noir,2 990 FCFA,https://www.jumia.sn/lampe-solaire-exterieure-led-detecteur-de-mouvement-noir-generic-mpg30650.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/16/92015/1.jpg?8120,False,5 000 FCFA,40%,3.6 out of 5,(188)
Solar Mini Projecteur Solaire - Lumière 8 16 20 Led PIR - Détecteur de Mouvement,2 800 FCFA,https://www.jumia.sn/mini-projecteur-solaire-lumiere-8-16-20-led-pir-detecteur-de-mouvement-solar-mpg27605.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/99/84534/1.jpg?5510,False,6 000 FCFA,53%,4 out of 5,(3)
Generic lampe portable led ultra puissante,2 900 FCFA,https://www.jumia.sn/generic-lampe-portable-led-ultra-puissante-9977722.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/22/77799/1.jpg?9075,False,5 000 FCFA,42%,,
Generic Ruban Adhésif 5M Double Face,2 800 FCFA,https://www.jumia.sn/ruban-adhesif-5m-double-face-generic-mpg46563.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/25/44489/1.jpg?1287,False,13 000 FCFA,78%,4.8 out of 5,(5)
Generic Lampe solaire extérieure LED Avec Détecteur de mouvement - Noir,3 047 FCFA,https://www.jumia.sn/lampe-solaire-exterieure-led-avec-detecteur-de-mouvement-noir-generic-mpg28893.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/69/01706/1.jpg?1138,False,7 000 FCFA,56%,3.4 out of 5,(36)
Generic Lampe Torche Flashlingh LED Rechargeable - Multifonction - Garantie,2 990 FCFA,https://www.jumia.sn/lampe-torche-flashlingh-led-rechargeable-multifonction-garantie-generic-mpg30644.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/68/14706/1.jpg?0367,False,10 000 FCFA,70%,3.6 out of 5,(16)
Generic Ruban Adhésif 2M Double Face,2 100 FCFA,https://www.jumia.sn/generic-ruban-adhesif-2m-double-face-9977724.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/42/77799/1.jpg?9074,False,5 000 FCFA,58%,3 out of 5,(1)
Generic Lampe Frontale - LED - Rechargeable - 3 Modes - Noir,7 400 FCFA,https://www.jumia.sn/generic-lampe-frontale-led-rechargeable-3-modes-noir-6077994.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/49/97706/1.jpg?3674,True,11 880 FCFA,38%,4.8 out of 5,(4)
Generic Lampadaire Solaire LED COB 5 mètres,7 500 FCFA,https://www.jumia.sn/generic-lampadaire-solaire-led-cob-5-metres-9927114.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/41/17299/1.jpg?8688,False,15 000 FCFA,50%,,
Generic Chaise anglaise sortie centrale Ref KASMA COMPLET,57 900 FCFA,https://www.jumia.sn/generic-chaise-anglaise-sortie-centrale-ref-kasma-complet-9489581.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/18/59849/1.jpg?1594,False,59 900 FCFA,3%,,
Ingco Perceuse sans fil Li-ion - 12V,17 900 FCFA,https://www.jumia.sn/perceuse-sans-fil-li-ion-12v-ingco-mpg36622.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/56/76539/1.jpg?4395,False,22 900 FCFA,22%,4.8 out of 5,(10)
Generic Support téléphone pliable portatif,2 000 FCFA,https://www.jumia.sn/generic-support-telephone-pliable-portatif-8884554.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/45/54888/1.jpg?8686,False,5 000 FCFA,60%,2.3 out of 5,(4)
Generic 5 Lampe projecteur avec panneau Solaire,13 900 FCFA,https://www.jumia.sn/lampe-projecteur-avec-panneau-solaire-m20-generic-mpg33999.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/15/23409/1.jpg?9081,False,35 000 FCFA,60%,1 out of 5,(1)
Generic Lampadaire extérieur détecteur de mouvement,2 990 FCFA,https://www.jumia.sn/lampadaire-exterieur-detecteur-de-mouvement-generic-mpg28884.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/96/37864/1.jpg?3591,False,10 000 FCFA,70%,4.5 out of 5,(16)
D Light Lampe Solaire Transportable,4 300 FCFA,https://www.jumia.sn/lampe-solaire-transportable-d-light-mpg28135.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/54/76589/1.jpg?3261,False,8 000 FCFA,46%,3 out of 5,(2)
Generic Lampe solaire avec Détecteur de Mouvement - W6,6 900 FCFA,https://www.jumia.sn/generic-lampe-solaire-avec-detecteur-de-mouvement-w6-9849833.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/33/89489/1.jpg?7238,False,20 000 FCFA,66%,3.3 out of 5,(4)
Generic Lampe solaire exterieure Led - Detectecteur de mouvement - 2 face,6 990 FCFA,https://www.jumia.sn/lampe-solaire-exterieure-led-detectecteur-de-mouvement-2-face-generic-mpg34004.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/25/04529/1.jpg?4508,False,20 000 FCFA,65%,3.4 out of 5,(15)
Generic Lampe Torche Flashlingh LED Rechargeable - Multifonction - Garantie,4 990 FCFA,https://www.jumia.sn/generic-lampe-torche-flashlingh-led-rechargeable-multifonction-garantie-10005914.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/41/950001/1.jpg?7989,False,5 000 FCFA,1%,,
Generic Lampe à pile sous forme tempêtes multifonctions,2 900 FCFA,https://www.jumia.sn/lampe-a-pile-sous-forme-tempetes-multifonctions-generic-mpg39504.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/49/87289/1.jpg?0039,False,5 000 FCFA,42%,,
Generic Lampadaire Solaire LED COB N13,6 900 FCFA,https://www.jumia.sn/generic-lampadaire-solaire-led-cob-n13-9927113.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/31/17299/1.jpg?8688,False,15 000 FCFA,54%,,
Generic Lampe projecteur Solaire - Détecteur de mouvement - Intelligente 6T,9 990 FCFA,https://www.jumia.sn/lampe-projecteur-solaire-detecteur-de-mouvement-intelligente-6t-generic-mpg44937.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/02/30589/1.jpg?9676,False,35 000 FCFA,71%,,
Generic Lampe de Poche ou Lampe Torche Led rechargeable,3 500 FCFA,https://www.jumia.sn/lampe-de-poche-ou-lampe-torche-led-rechargeable-generic-mpg33996.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/35/31895/1.jpg?0447,False,5 000 FCFA,30%,2.5 out of 5,(4)
Generic Lampe Torche lonen led rechargeable,3 450 FCFA,https://www.jumia.sn/lampe-torche-lonen-led-rechargeable-generic-mpg33993.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/47/53619/1.jpg?1382,False,5 000 FCFA,31%,4.5 out of 5,(4)
Generic Lampe torche frontal LED rechargeables,2 700 FCFA,https://www.jumia.sn/lampe-torche-frontal-led-rechargeables-generic-mpg34015.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/14/13788/1.jpg?4784,False,10 000 FCFA,73%,4.1 out of 5,(33)
"Generic Lampe Bluetooth E27 RGB, veilleuse musicale avec télécomande",11 400 FCFA,https://www.jumia.sn/generic-lampe-bluetooth-e27-rgb-veilleuse-musicale-avec-telecomande-10023561.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/16/532001/1.jpg?9308,False,15 000 FCFA,24%,,
Generic Colle adhésif nano double face - 5 Métres,3 000 FCFA,https://www.jumia.sn/generic-colle-adhesif-nano-double-face-5-metres-9977710.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/01/77799/1.jpg?9073,False,7 000 FCFA,57%,,
Generic Lampe Projecteur Solaire Led - 0.5 Watts - Avec Détecteur De Mouvement,3 290 FCFA,https://www.jumia.sn/generic-lampe-projecteur-solaire-led-0.5-watts-avec-detecteur-de-mouvement-4325814.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/41/85234/1.jpg?8680,False,15 000 FCFA,78%,3.4 out of 5,(17)
Generic Lampe solaire avec Détecteur de Mouvement - W6,8 500 FCFA,https://www.jumia.sn/generic-lampe-solaire-avec-detecteur-de-mouvement-w6-9998478.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/87/48999/1.jpg?7273,False,20 000 FCFA,58%,,
