name,price,descrption_link,img_link,jumia_express,old_price,decrease_percentage,n_stars,n_votes
Generic Étagère de Rangement de Chaussures et accésoires - 5 étages,14 900 FCFA,https://www.jumia.sn/etagere-de-rangement-de-chaussures-et-accesoires-5-etages-generic-mpg46595.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/83/82489/1.jpg?0224,False,27 000 FCFA,45%,4.5 out of 5,(2)
Generic Rangement De Chaussures 30 Paires - 10 Étagères,10 000 FCFA,https://www.jumia.sn/rangement-de-chaussures-30-paires-10-etageres-generic-mpg12010.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/86/91979/1.jpg?6379,False,15 000 FCFA,33%,3.8 out of 5,(10)
Generic Rangement de Chaussures Plastique Cube -6 Cubes Divisés en 2,17 000 FCFA,https://www.jumia.sn/rangement-de-chaussures-plastique-cube-6-cubes-divises-en-2-generic-mpg29269.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/21/70433/1.jpg?1004,False,23 000 FCFA,26%,4.2 out of 5,(23)
Generic Armoire Penderie - 3 Battants - (130 x 45 x 175 cm) - Marron,15 850 FCFA,https://www.jumia.sn/armoire-penderie-3-battants-130-x-45-x-175-cm-marron-generic-mpg22988.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/88/01221/1.jpg?5494,False,32 000 FCFA,50%,3.6 out of 5,(16)
Generic Mini Machine À Coudre Portative sans fil,3 500 FCFA,https://www.jumia.sn/generic-mini-machine-a-coudre-portative-sans-fil-9969352.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/25/39699/1.jpg?5368,False,19 000 FCFA,82%,,
Generic Meuble de Rangement de Chaussures de 36 paires,13 800 FCFA,https://www.jumia.sn/generic-meuble-de-rangement-de-chaussures-de-36-paires-9796276.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/67/26979/1.jpg?1166,False,22 000 FCFA,37%,5 out of 5,(3)
Generic Base Support pour Frigo Réfrigérateur Machine à Laver avec Roues Plaque Appareils électroménagers,7 800 FCFA,https://www.jumia.sn/base-support-pour-frigo-refrigerateur-machine-a-laver-avec-roues-plaque-appareils-electromenagers-generic-mpg43074.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/71/94405/1.jpg?9945,False,,,5 out of 5,(2)
Generic Armoire Etagère à Chaussures Modulable - DIY 6 Cubes en 2,19 800 FCFA,https://www.jumia.sn/armoire-etagere-a-chaussures-modulable-diy-6-cubes-en-2-generic-mpg14751.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/04/84022/1.jpg?4776,False,40 000 FCFA,51%,4 out of 5,(25)
Generic Etagère à Chaussures Modulable - cube,17 500 FCFA,https://www.jumia.sn/etagere-a-chaussures-modulable-cube-generic-mpg33447.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/79/90879/1.jpg?5778,False,25 000 FCFA,30%,4 out of 5,(3)
Generic Armoire de Rangement de Chaussures - 10 Étagères - Marron Clair,9 000 FCFA,https://www.jumia.sn/generic-armoire-de-rangement-de-chaussures-10-etageres-marron-clair-19239.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/93/291/1.jpg?4497,False,26 000 FCFA,65%,3.9 out of 5,(22)
