name,price,descrption_link,img_link,jumia_express,old_price,decrease_percentage,n_stars,n_votes
Bic Rasoir Bic 1 Sensitive Pochette X 5,390 FCFA,https://www.jumia.sn/bic-rasoir-bic-1-sensitive-pochette-x-5-9356688.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/88/66539/1.jpg?8201,True,,,4.5 out of 5,(8)
Bic Rasoir Bic Flex 3 Blister X 3 - Bleu,1 390 FCFA,https://www.jumia.sn/bic-rasoir-bic-flex-3-blister-x-3-bleu-9356686.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/68/66539/1.jpg?9614,True,,,,
Htc Tondeuse rechargeable AT-206 -,2 800 FCFA,https://www.jumia.sn/tondeuse-rechargeable-at-206-htc-mpg25065.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/46/7605/1.jpg?0069,False,9 900 FCFA,72%,4 out of 5,(48)
Gillette 2 1's,120 FCFA,https://www.jumia.sn/gillette-2-1s-9279767.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/76/79729/1.jpg?8594,True,,,2.5 out of 5,(2)
Generic Rasoir manuel multifonctionnel +1 lame,990 FCFA,https://www.jumia.sn/generic-rasoir-manuel-multifonctionnel-1-lame-9900585.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/58/50099/1.jpg?3714,False,2 500 FCFA,60%,3 out of 5,(1)
Other Tondeuse Rechargeable Professionnelle - Kiki NG - B,9 800 FCFA,https://www.jumia.sn/other-tondeuse-rechargeable-professionnelle-kiki-ng-b-3502254.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/45/22053/1.jpg?0794,False,60 000 FCFA,84%,3.9 out of 5,(10)
Generic Rasoir manuel a la main multifonction couleur au hasard (1 pièces),3 500 FCFA,https://www.jumia.sn/generic-rasoir-manuel-a-la-main-multifonction-couleur-au-hasard-1-pieces-9900751.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/15/70099/1.jpg?4928,False,7 500 FCFA,53%,2 out of 5,(1)
Htc 728 Tondeuse Pro Rechargeable AT-206 - Blanc,2 990 FCFA,https://www.jumia.sn/htc-728-tondeuse-pro-rechargeable-at-206-blanc-1215435.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/53/45121/1.jpg?0369,False,16 000 FCFA,81%,4.8 out of 5,(5)
LANCET Lot de 10 Lames tranchantes,100 FCFA,https://www.jumia.sn/lancet-lot-de-10-lames-tranchantes-9774423.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/32/44779/1.jpg?9088,True,,,3.5 out of 5,(2)
Williams Mousse à Raser Peaux Sensibles - 200ML,2 400 FCFA,https://www.jumia.sn/mousse-a-raser-protect-hydratant-200ml-williams-mpg30690.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/85/53219/1.jpg?3202,True,,,4 out of 5,(2)
