name,price,descrption_link,img_link,jumia_express,old_price,decrease_percentage,n_stars,n_votes
Soarin FER A VAPEUR ELECTRIQUE AUTOMATIQUE SOARIN,12 000 FCFA,https://www.jumia.sn/soarin-fer-a-vapeur-electrique-automatique-soarin-9974023.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/32/04799/1.jpg?8685,False,15 000 FCFA,20%,,
Soarin FER A VAPEUR ELECTRIQUE AUTOMATIQUE SOARIN,12 000 FCFA,https://www.jumia.sn/soarin-fer-a-vapeur-electrique-automatique-soarin-9963069.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/96/03699/1.jpg?3546,False,20 000 FCFA,40%,,
Sayona FER A REPASSER SAYONA MULTI FUNCTION SI-2255,13 900 FCFA,https://www.jumia.sn/sayona-fer-a-repasser-sayona-multi-function-si-2255-6077197.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/79/17706/1.jpg?4153,False,17 000 FCFA,18%,4.3 out of 5,(3)
Soarin FER A VAPEUR ELECTRIQUE AUTOMATIQUE SOARIN,12 000 FCFA,https://www.jumia.sn/soarin-fer-a-vapeur-electrique-automatique-soarin-9963068.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/86/03699/1.jpg?3546,False,20 000 FCFA,40%,,
White Label Fer à repasser 1000W,5 990 FCFA,https://www.jumia.sn/fer-a-repasser-1000w-white-label-mpg5702.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/17/48013/1.jpg?9704,False,10 000 FCFA,40%,3.6 out of 5,(28)
Soarin FER A VAPEUR ELECTRIQUE AUTOMATIQUE SOARIN,12 000 FCFA,https://www.jumia.sn/soarin-fer-a-vapeur-electrique-automatique-soarin-9970872.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/27/80799/1.jpg?2439,False,25 000 FCFA,52%,,
Soarin FER A VAPEUR ELECTRIQUE AUTOMATIQUE SOARIN,12 000 FCFA,https://www.jumia.sn/soarin-fer-a-vapeur-electrique-automatique-soarin-9963070.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/07/03699/1.jpg?3547,False,20 000 FCFA,40%,,
Soarin FER A VAPEUR ELECTRIQUE AUTOMATIQUE SOARIN,11 900 FCFA,https://www.jumia.sn/soarin-fer-a-vapeur-electrique-automatique-soarin-9999069.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/96/09999/1.jpg?4302,False,14 900 FCFA,20%,5 out of 5,(1)
Artisan Of Italy Défroisseur à main Horizontal Garantie 24 Mois- CA820897,17 900 FCFA,https://www.jumia.sn/artisan-of-italy-defroisseur-a-main-horizontal-garantie-24-mois-ca820897-5680401.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/10/40865/1.jpg?1904,False,21 480 FCFA,17%,4 out of 5,(1)
Sonashi Fer à vapeur Sonashi SI-5077t 1600W,12 900 FCFA,https://www.jumia.sn/sonashi-fer-a-vapeur-sonashi-si-5077t-1600w-9760656.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/65/60679/1.jpg?2892,False,19 000 FCFA,32%,5 out of 5,(1)
Soarin FER A VAPEUR ELECTRIQUE AUTOMATIQUE SOARIN,12 000 FCFA,https://www.jumia.sn/soarin-fer-a-vapeur-electrique-automatique-soarin-9963072.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/27/03699/1.jpg?3547,False,25 000 FCFA,52%,,
Soarin Fer à Vapeur Soarin SR-808,10 900 FCFA,https://www.jumia.sn/soarin-fer-a-vapeur-soarin-sr-808-8841065.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/56/01488/1.jpg?0075,False,14 000 FCFA,22%,,
Soarin FER A VAPEUR ELECTRIQUE AUTOMATIQUE SOARIN,12 000 FCFA,https://www.jumia.sn/soarin-fer-a-vapeur-electrique-automatique-soarin-9963071.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/17/03699/1.jpg?3547,False,25 000 FCFA,52%,,
Sayona Fer à Repasser Sayona - 1200 W,12 900 FCFA,https://www.jumia.sn/sayona-fer-a-repasser-sayona-1200-w-104215.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/51/2401/1.jpg?8884,False,17 000 FCFA,24%,,
Tefal Fer à Repasser à Sec Tefal - FS2620L0 - 1200W - Bleu Blanc,14 500 FCFA,https://www.jumia.sn/tefal-fer-a-repasser-a-sec-tefal-fs2620l0-1200w-bleu-blanc-475329.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/92/3574/1.jpg?8512,False,,,3.3 out of 5,(3)
Soarin FER A VAPEUR ELECTRIQUE AUTOMATIQUE SOARIN,15 000 FCFA,https://www.jumia.sn/soarin-fer-a-vapeur-electrique-automatique-soarin-9963066.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/66/03699/1.jpg?3546,False,20 000 FCFA,25%,,
Fer À Repasser À Vapeur,15 000 FCFA,https://www.jumia.sn/haeger-fer-a-repasser-a-vapeur-9845327.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/72/35489/1.jpg?4470,False,,,,
