name,price,descrption_link,img_link,jumia_express,old_price,decrease_percentage,n_stars,n_votes
Café Royal 1 Boîte De Café Royal Coffee Aggloméré - Arôme Corsé - 200G,2 500 FCFA,https://www.jumia.sn/cafe-royal-1-boite-de-cafe-royal-coffee-agglomere-arome-corse-200g-2780451.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/15/40872/1.jpg?4302,False,,,3.9 out of 5,(78)
Café Royal Royal Coffee Strong - Arôme Corsé - 100G,2 500 FCFA,https://www.jumia.sn/cafe-royal-royal-coffee-strong-arome-corse-100g-2780450.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/05/40872/1.jpg?3707,False,,,3.9 out of 5,(55)
Café Royal 1 Paquet De 16 capsules CAFE AU LAIT - Compatibles avec Dolce Gusto,3 000 FCFA,https://www.jumia.sn/cafe-royal-1-paquet-de-16-capsules-cafe-au-lait-compatibles-avec-dolce-gusto-2780443.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/34/40872/1.jpg?7139,False,,,3.8 out of 5,(11)
Café Royal 1 Paquet de 10 capsules Espresso Forte compatibles avec Nespresso - Arôme fruité,1 500 FCFA,https://www.jumia.sn/cafe-royal-1-paquet-de-10-capsules-espresso-forte-compatibles-avec-nespresso-arome-fruite-2780440.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/04/40872/1.jpg?3706,False,,,4.2 out of 5,(11)
Café Royal 1 Paquet De 16 Capsules Brasil comptablible avec Dolce Gusto- Arôme Noix & Chocolat,3 000 FCFA,https://www.jumia.sn/cafe-royal-1-paquet-de-16-capsules-brasil-comptablible-avec-dolce-gusto-arome-noix-chocolat-2780444.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/44/40872/1.jpg?5651,False,,,4.3 out of 5,(9)
Café Royal 1 Paquet De 16 capsules Caffe Grande -Compatibles avec Dolce Gusto,3 000 FCFA,https://www.jumia.sn/cafe-royal-1-paquet-de-16-capsules-caffe-grande-compatibles-avec-dolce-gusto-5617986.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/68/97165/1.jpg?3108,False,,,4.3 out of 5,(7)
Café Royal Lot de 1000 Agitateurs En Plastique à Café,3 050 FCFA,https://www.jumia.sn/cafe-royal-lot-de-1000-agitateurs-en-plastique-a-cafe-2780459.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/95/40872/1.jpg?5651,False,,,3.7 out of 5,(3)
Café Royal Tasse café - Lot de 100 Gobelets Espresso En Carton - 10 CL,5 850 FCFA,https://www.jumia.sn/cafe-royal-tasse-cafe-lot-de-100-gobelets-espresso-en-carton-10-cl-2780458.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/85/40872/1.jpg?5467,False,,,,
Café Royal 1 Paquet De 10 Capsules Guatémala - Compatible avec Nespresso - Arôme légèrement épicé,1 500 FCFA,https://www.jumia.sn/cafe-royal-1-paquet-de-10-capsules-guatemala-compatible-avec-nespresso-arome-legerement-epice-2780441.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/14/40872/1.jpg?3706,False,,,3.7 out of 5,(6)
Café Royal 1 Paquet De 16 Capsules Decaffeinato compatible avec Dolce Gusto,3 000 FCFA,https://www.jumia.sn/cafe-royal-1-paquet-de-16-capsules-decaffeinato-compatible-avec-dolce-gusto-5617987.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/78/97165/1.jpg?3107,False,,,4.1 out of 5,(23)
Café Royal 1 Paquet de 10 Capsules Agent's Choice compatible avec Nespresso- Arôme fruité,1 500 FCFA,https://www.jumia.sn/cafe-royal-1-paquet-de-10-capsules-agents-choice-compatible-avec-nespresso-arome-fruite-2780439.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/93/40872/1.jpg?3706,False,,,4.4 out of 5,(8)
Café Royal 1 Paquet De Café Royal Caramel - Arôme Caramel - 10 Capsules,1 500 FCFA,https://www.jumia.sn/cafe-royal-1-paquet-de-cafe-royal-caramel-arome-caramel-10-capsules-2780445.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/54/40872/1.jpg?3706,False,,,3.2 out of 5,(5)
Café Royal Tasse café - Lot de 50 Gobelets Lungo En Carton - 15 CL,5 235 FCFA,https://www.jumia.sn/cafe-royal-tasse-cafe-lot-de-50-gobelets-lungo-en-carton-15-cl-2780457.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/75/40872/1.jpg?5651,False,,,5 out of 5,(1)
Café Royal 1 Boîte De Bûchettes De Sucre Café Royal - 1000 Pièces - 4G,22 500 FCFA,https://www.jumia.sn/cafe-royal-1-boite-de-buchettes-de-sucre-cafe-royal-1000-pieces-4g-2780456.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/65/40872/1.jpg?5651,False,,,3 out of 5,(2)
