name,price,descrption_link,img_link,jumia_express,old_price,decrease_percentage,n_stars,n_votes
Chicco Sac à Langer 4 Pièces (2 Sacs+Trousse Biberon+Trousse accessoire,11 500 FCFA,https://www.jumia.sn/sac-a-langer-4-pieces-2-sacstrousse-biberontrousse-accessoire-chicco-mpg42997.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/06/15906/1.jpg?9463,False,23 000 FCFA,50%,3.7 out of 5,(6)
Generic Sac à Langer 4 en 1 (2 Sacs+Trousse Biberon & Trousse),10 500 FCFA,https://www.jumia.sn/generic-sac-a-langer-4-en-1-2-sacstrousse-biberon-trousse-9797431.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/13/47979/1.jpg?9912,False,15 000 FCFA,30%,4.7 out of 5,(3)
"Generic 4 PIECES SAC à LANGER (2 Sacs,Trousse Biberon & accessoire)",11 500 FCFA,https://www.jumia.sn/4-pieces-sac-a-langer-2-sacstrousse-biberon-accessoire-generic-mpg32308.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/67/30346/1.jpg?9645,False,25 000 FCFA,54%,4.5 out of 5,(4)
Chicco Sac à Langer 4 Pièces (2 Sacs+Trousse Biberon+Trousse accessoire,12 990 FCFA,https://www.jumia.sn/chicco-sac-a-langer-4-pieces-2-sacstrousse-biberontrousse-accessoire-6172434.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/43/42716/1.jpg?8671,False,25 000 FCFA,48%,,
Generic Sac à Langer 4 Pièces (2 Sacs +Trousse Biberon +Trousse),11 500 FCFA,https://www.jumia.sn/sac-a-langer-4-pieces-2-sacs-trousse-biberon-trousse-generic-mpg42587.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/43/46539/1.jpg?0712,False,12 500 FCFA,8%,4.3 out of 5,(7)
Generic Sac à Langer Bleu,5 400 FCFA,https://www.jumia.sn/generic-sac-a-langer-bleu-9812056.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/65/02189/1.jpg?3081,False,14 000 FCFA,61%,,
Chicco Sac à Langer 4 Pièces (2 Sacs+Trousse Biberon+Trousse accessoire) - CA820621,14 900 FCFA,https://www.jumia.sn/chicco-sac-a-langer-4-pieces-2-sacstrousse-biberontrousse-accessoire-ca820621-9826744.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/44/76289/1.jpg?1595,False,25 000 FCFA,40%,,
White Lit Bébé Bassinet Et Sac à Coucher,18 000 FCFA,https://www.jumia.sn/white-lit-bebe-bassinet-et-sac-a-coucher-9250507.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/70/50529/1.jpg?3312,False,22 000 FCFA,18%,,
Chicco Sac à Langer 4 Pièces (2 Sacs+Trousse Biberon+Trousse accessoire rose,12 990 FCFA,https://www.jumia.sn/chicco-sac-a-langer-4-pieces-2-sacstrousse-biberontrousse-accessoire-rose-6172436.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/63/42716/1.jpg?8671,False,20 000 FCFA,35%,1 out of 5,(1)
Chicco Sac à Langer 4 Pièces (2 Sacs+Trousse Biberon+Trousse accessoire rouge Noir,11 500 FCFA,https://www.jumia.sn/sac-a-langer-4-pieces-2-sacstrousse-biberontrousse-accessoire-rouge-noir-chicco-mpg31324.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/68/16109/1.jpg?8649,False,15 000 FCFA,23%,4 out of 5,(3)
