name,price,descrption_link,img_link,jumia_express,old_price,decrease_percentage,n_stars,n_votes
Fashion Sac à Main Sac à Bandoulière 4 En 1 - Noir,5 240 FCFA,https://www.jumia.sn/fashion-sac-a-main-sac-a-bandouliere-4-en-1-noir-9802475.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/57/42089/1.jpg?6260,True,10 320 FCFA,49%,,
Fashion Sac à Main Trois Sacs à Bandoulière - Noir,5 500 FCFA,https://www.jumia.sn/fashion-sac-a-main-trois-sacs-a-bandouliere-noir-9802478.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/87/42089/1.jpg?2113,True,9 700 FCFA,43%,3 out of 5,(2)
Generic Sac à Bandoulière Mode Coréenne,4 490 FCFA,https://www.jumia.sn/generic-sac-a-bandouliere-mode-coreenne-8934758.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/85/74398/1.jpg?7078,True,8 804 FCFA,49%,3.3 out of 5,(12)
Fashion 4 Sacs à Bandoulière Pour Femmes,6 200 FCFA,https://www.jumia.sn/fashion-4-sacs-a-bandouliere-pour-femmes-9207073.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/37/07029/1.jpg?1607,True,9 600 FCFA,35%,4.4 out of 5,(18)
Generic Portefeuille Simili Cuir - Unisexe - Marron,2 988 FCFA,https://www.jumia.sn/generic-portefeuille-simili-cuir-unisexe-marron-2776484.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/48/46772/1.jpg?3456,False,15 000 FCFA,80%,4 out of 5,(26)
Fashion Sac à Main Bandoulière Femme 4 En 1 - Rose,5 240 FCFA,https://www.jumia.sn/fashion-sac-a-main-bandouliere-femme-4-en-1-rose-9802474.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/47/42089/1.jpg?9258,True,8 600 FCFA,39%,,
Generic motif litchi sac diagonale d'une épaule,5 698 FCFA,https://www.jumia.sn/generic-motif-litchi-sac-diagonale-dune-epaule-8934759.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/95/74398/1.jpg?7077,True,10 800 FCFA,47%,3.7 out of 5,(7)
Fashion Sac à Main 3 En 1 Cuir Imperméable - Rose,5 500 FCFA,https://www.jumia.sn/fashion-sac-a-main-3-en-1-cuir-impermeable-rose-9802477.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/77/42089/1.jpg?9260,True,10 784 FCFA,49%,4 out of 5,(1)
"Fashion Set De 4, Sac à Main Femme Sac Bandoulière Femme Cabas",10 800 FCFA,https://www.jumia.sn/fashion-set-de-4-sac-a-main-femme-sac-bandouliere-femme-cabas-9792859.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/95/82979/1.jpg?9578,True,18 900 FCFA,43%,,
Fashion Sac Bandoulière Femme En Cuir Sling Sac Rond-marron,2 990 FCFA,https://www.jumia.sn/fashion-sac-bandouliere-femme-en-cuir-sling-sac-rond-marron-9764026.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/62/04679/1.jpg?5182,True,9 999 FCFA,70%,4.8 out of 5,(4)
