name,price,descrption_link,img_link,jumia_express,old_price,decrease_percentage,n_stars,n_votes
Generic Distributeur De Dentifrices Automatique - Blanc,4 273 FCFA,https://www.jumia.sn/distributeur-de-dentifrices-automatique-blanc-generic-mpg33178.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/57/75016/1.jpg?0715,True,8 378 FCFA,49%,3.6 out of 5,(27)
Generic Porte-éponge Brosse Savon Organisateur salle de bains,3 300 FCFA,https://www.jumia.sn/generic-porte-eponge-brosse-savon-organisateur-salle-de-bains-9962965.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/56/92699/1.jpg?9082,False,5 000 FCFA,34%,3 out of 5,(3)
Generic Porte-brosse à dents & Distributeur automatique dentifrice,2 900 FCFA,https://www.jumia.sn/generic-porte-brosse-a-dents-distributeur-automatique-dentifrice-9833373.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/37/33389/1.jpg?1452,False,7 900 FCFA,63%,5 out of 5,(1)
"Utopia Serviette de Bain, Drap de Bain Gris - 1 m 50",4 900 FCFA,https://www.jumia.sn/utopia-serviette-de-bain-drap-de-bain-gris-1-m-50-6070294.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/49/20706/1.jpg?0599,False,,,3.6 out of 5,(39)
Generic Pomme de douche à Main Haute Pression 4.1'' CA820328,2 500 FCFA,https://www.jumia.sn/generic-pomme-de-douche-a-main-haute-pression-4.1-ca820328-9803328.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/82/33089/1.jpg?0900,False,10 000 FCFA,75%,2 out of 5,(1)
Generic Pomme de douche à Main Haute Réglable 3 Modes,2 338 FCFA,https://www.jumia.sn/generic-pomme-de-douche-a-main-haute-reglable-3-modes-9099069.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/96/09909/1.jpg?7612,True,5 996 FCFA,61%,4.6 out of 5,(8)
"Generic Etagère de Salle de Bain, Meuble de Rangement au-Dessus des Toilettes WC - Blanc",12 500 FCFA,https://www.jumia.sn/etagere-de-salle-de-bain-meuble-de-rangement-au-dessus-des-toilettes-wc-blanc-generic-mpg43165.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/48/46205/1.jpg?5479,False,,,4.2 out of 5,(43)
Generic Serviette de Bain - Environ 2 m - 100% coton - bleue,5 928 FCFA,https://www.jumia.sn/serviette-de-bain-environ-2-m-100-coton-bleue-generic-mpg35405.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/76/50929/1.jpg?7834,False,14 000 FCFA,58%,4.3 out of 5,(3)
Serviette De Toilette en Coton - 50x90cm - Fuchsia,2 300 FCFA,https://www.jumia.sn/carrefour-serviette-de-toilette-en-coton-50x90cm-fuchsia-6072580.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/08/52706/1.jpg?6367,False,4 500 FCFA,49%,1 out of 5,(1)
"Utopia Serviette de Bain, Absorbant grise",6 500 FCFA,https://www.jumia.sn/utopia-serviette-de-bain-absorbant-grise-9846973.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/37/96489/1.jpg?7029,False,15 000 FCFA,57%,,
