name,price,descrption_link,img_link,jumia_express,old_price,decrease_percentage,n_stars,n_votes
NIVEA Gel Douche - 3En1 - Corps/Visage/Cheveux - Homme,1 490 FCFA,https://www.jumia.sn/nivea-gel-douche-3en1-corpsvisagecheveux-homme-9840441.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/14/40489/1.jpg?7723,False,,,,
Generic Gel douche éclaircissant bonne qualité-500ml,2 500 FCFA,https://www.jumia.sn/generic-gel-douche-eclaircissant-bonne-qualite-500ml-9806357.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/75/36089/1.jpg?0122,False,4 500 FCFA,44%,,
Malizia Bain Mousse - Mûre Et Musc - 1000 ml,2 500 FCFA,https://www.jumia.sn/malizia-bain-mousse-mure-et-musc-1000-ml-5198992.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/29/98915/1.jpg?6890,False,,,3.7 out of 5,(7)
Jra Foundation Crème Pour Le visage (Petit Format) - 40 Gr,1 700 FCFA,https://www.jumia.sn/jra-foundation-creme-pour-le-visage-petit-format-40-gr-9807538.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/83/57089/1.jpg?3455,False,5 000 FCFA,66%,,
Fair & White Gel de Douche Gommage tonique - 940 Gr,4 600 FCFA,https://www.jumia.sn/gel-de-douche-gommage-tonique-940-gr-fair-white-mpg28209.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/00/89319/1.jpg?5639,False,5 600 FCFA,18%,5 out of 5,(1)
Fair & White Gel Douche Exfoliant - Gommant 940 ml,4 600 FCFA,https://www.jumia.sn/gel-douche-exfoliant-gommant-940-ml-fair-white-mpg28208.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/77/07606/1.jpg?8685,False,,,4 out of 5,(1)
Fair & White Gel de Douche - Éclat à l'Argan - Gold - 1000 ml,5 200 FCFA,https://www.jumia.sn/gel-de-douche-eclat-a-largan-gold-1000-ml-fair-white-mpg43024.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/76/78389/1.jpg?4719,False,7 000 FCFA,26%,3 out of 5,(1)
Malizia Bain Mousse -Mûre Et Musc - 1000 ml,2 500 FCFA,https://www.jumia.sn/malizia-bain-mousse-mure-et-musc-1000-ml-486082.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/28/0684/1.jpg?0537,False,,,4.7 out of 5,(3)
Fair & White Exfoliant Gel De Douche Gommage Éclatant - 940 ml,6 899 FCFA,https://www.jumia.sn/fair-white-exfoliant-gel-de-douche-gommage-eclatant-940-ml-9972626.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/62/62799/1.jpg?0638,False,15 000 FCFA,54%,,
Fa Crème De Douche Au Lait De Coco - 550ML,1 990 FCFA,https://www.jumia.sn/fa-creme-de-douche-au-lait-de-coco-550ml-5978338.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/83/38795/1.jpg?2395,False,,,,
