name,price,descrption_link,img_link,jumia_express,old_price,decrease_percentage,n_stars,n_votes
La Cigale Savon De Marseille 4 x 100 Gr Miel,1 390 FCFA,https://www.jumia.sn/la-cigale-savon-de-marseille-4-x-100-gr-miel-10030535.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/53/503001/1.jpg?6054,True,,,,
Renova Essuie-Tout Maxi Absorption - 1 Rouleaux XXL Extra,1 000 FCFA,https://www.jumia.sn/renova-essuie-tout-maxi-absorption-1-rouleaux-xxl-extra-10030537.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/73/503001/1.jpg?5478,True,,,,
La Cigale Savon De Marseille 4 x 100 Gr Glycerine,1 390 FCFA,https://www.jumia.sn/la-cigale-savon-de-marseille-4-x-100-gr-glycerine-10030534.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/43/503001/1.jpg?6166,True,,,,
Sivoderm Savon Gommant - 230G,590 FCFA,https://www.jumia.sn/sivoderm-savon-gommant-230g-9156300.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/00/36519/1.jpg?4632,True,,,4.6 out of 5,(5)
Nova Gel Douche Classic Nova - 300ML,390 FCFA,https://www.jumia.sn/nova-gel-douche-classic-nova-300ml-9156286.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/68/26519/1.jpg?9815,True,,,4.2 out of 5,(5)
La Cigale Savon De Marseille 4 x 100 Gr Glycerine,1 460 FCFA,https://www.jumia.sn/la-cigale-savon-de-marseille-4-x-100-gr-glycerine-9790295.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/59/20979/1.jpg?9557,True,,,5 out of 5,(3)
Generic Lot de 2 Savons au Lait de Riz - 60 Gr,980 FCFA,https://www.jumia.sn/lot-de-2-savons-au-lait-de-riz-60-gr-generic-mpg34099.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/46/31042/1.jpg?9061,False,3 000 FCFA,67%,4.3 out of 5,(80)
Generic Lot de 2 Savons au Lait de Riz - 60 Gr - Beige,1 050 FCFA,https://www.jumia.sn/generic-lot-de-2-savons-au-lait-de-riz-60-gr-beige-3233698.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/89/63323/1.jpg?9479,False,3 000 FCFA,65%,4.5 out of 5,(21)
Generic Lot de 12 Savons au Lait de Riz,4 900 FCFA,https://www.jumia.sn/generic-lot-de-12-savons-au-lait-de-riz-9210804.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/40/80129/1.jpg?5333,False,6 900 FCFA,29%,4.8 out of 5,(5)
Souplesse Savon noir du Maroc à l'huile d'aloe vera - Souplesse - Pot de 400 g,2 999 FCFA,https://www.jumia.sn/savon-noir-du-maroc-a-lhuile-daloe-vera-souplesse-pot-de-400-g-souplesse-mpg42022.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/89/28289/1.jpg?2644,False,10 000 FCFA,70%,,
MAYANA Savon Mayana anti boutons et taches tout type de peau - 225g,1 250 FCFA,https://www.jumia.sn/savon-mayana-anti-boutons-et-taches-tout-type-de-peau-225g-generic-mpg35338.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/85/31895/1.jpg?4685,False,5 000 FCFA,75%,3.5 out of 5,(12)
Generic Savon éclaircissant anti acné et collagène 150gr,1 250 FCFA,https://www.jumia.sn/generic-savon-eclaircissant-anti-acne-et-collagene-150gr-9772820.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/02/82779/1.jpg?7129,False,2 960 FCFA,58%,,
Bio Naturelle Savon Noir Collagène Eclaircissant Bio - 500 Gr,2 499 FCFA,https://www.jumia.sn/savon-noir-collagene-eclaircissant-bio-500-gr-bio-naturelle-mpg716.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/29/548/1.jpg?3275,False,4 499 FCFA,44%,4.2 out of 5,(20)
Pharma Care SAVON PHARMACARE ANTIBACTERIEN HERBAL 200 G,476 FCFA,https://www.jumia.sn/savon-pharmacare-antibacterien-herbal-200-g-pharma-care-mpg43549.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/91/34406/1.jpg?9857,True,525 FCFA,9%,4.5 out of 5,(4)
Pharma Care SAVON PHARMACARE ANTIBACTERIEN FRESH 200 G,476 FCFA,https://www.jumia.sn/savon-pharmacare-antibacterien-fresh-200-g-pharma-care-mpg43548.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/02/34406/1.jpg?9857,True,525 FCFA,9%,4.5 out of 5,(8)
