name,price,descrption_link,img_link,jumia_express,old_price,decrease_percentage,n_stars,n_votes
Hp Imprimante Tout-en-Un DeskJet 2710 Avec WiFi - Blanc,26 900 FCFA,https://www.jumia.sn/imprimante-tout-en-un-deskjet-2630-avec-wifi-blanc-hp-mpg23099.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/10/42553/1.jpg?8512,True,70 000 FCFA,62%,4.1 out of 5,(8)
Generic Détecteur de Faux Billets - Noir,9 800 FCFA,https://www.jumia.sn/detecteur-de-faux-billets-noir-generic-mpg1616.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/40/83788/1.jpg?2130,False,25 000 FCFA,61%,5 out of 5,(1)
Hp Scanjet Pro 2500 f1 - scanner de documents - modèle bureau - USB 2.0,320 000 FCFA,https://www.jumia.sn/hp-scanjet-pro-2500-f1-scanner-de-documents-modele-bureau-usb-2.0-9990232.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/23/20999/1.jpg?8205,False,360 000 FCFA,11%,,
Hp Cartouche de Toner LaserJet HP 647A - CE260A - Noir - Garantie 6 Mois,150 000 FCFA,https://www.jumia.sn/hp-cartouche-de-toner-laserjet-hp-647a-ce260a-noir-garantie-6-mois-27346.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/64/372/1.jpg?2963,False,,,,
Hp Scanner OCR réseau HP ScanJet Pro 4500 fn1,560 000 FCFA,https://www.jumia.sn/hp-scanner-ocr-reseau-hp-scanjet-pro-4500-fn1-9990233.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/33/20999/1.jpg?8208,False,585 000 FCFA,4%,,
Hp Cartouches d'encre HP 125A - CB542A - Jaune - Garantie 6 Mois,60 000 FCFA,https://www.jumia.sn/hp-cartouches-dencre-hp-125a-cb542a-jaune-garantie-6-mois-27325.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/52/372/1.jpg?0784,False,,,,
Hp Cartouches d'encre HP 125A - CB541A - Cyan - Garantie 6 Mois,60 000 FCFA,https://www.jumia.sn/hp-cartouches-dencre-hp-125a-cb541a-cyan-garantie-6-mois-27324.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/42/372/1.jpg?0245,False,,,,
Hp Cartouches d'encre Toner LaserJet HP 126A - CE312A - Jaune - Garantie 6 Mois,53 245 FCFA,https://www.jumia.sn/hp-cartouches-dencre-toner-laserjet-hp-126a-ce312a-jaune-garantie-6-mois-27681.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/18/672/1.jpg?3184,False,,,,
Hp 11A Toner LaserJet Noir – Q6511A,38 000 FCFA,https://www.jumia.sn/hp-11a-toner-laserjet-noir-q6511a-51341.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/14/315/1.jpg?3744,False,,,,
Hp Pack de 2 Cartouches d'encre HP 125A - CB540AD - Noir - Garantie 6 Mois,111 000 FCFA,https://www.jumia.sn/hp-pack-de-2-cartouches-dencre-hp-125a-cb540ad-noir-garantie-6-mois-27323.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/32/372/1.jpg?9885,False,,,,
Hp Tête d'impression HP 11 - C4811A - Cyan - Garantie 6 Mois,40 000 FCFA,https://www.jumia.sn/hp-tete-dimpression-hp-11-c4811a-cyan-garantie-6-mois-27582.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/28/572/1.jpg?5294,False,,,,
Hp Cartouches d'encre HP 304 - CC531A - Cyan- Garantie 6 Mois,95 000 FCFA,https://www.jumia.sn/hp-cartouches-dencre-hp-304-cc531a-cyan-garantie-6-mois-27328.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/82/372/1.jpg?3004,False,,,,
Hp Cartouches d'encre HP 64A - CC364A - Noir - Garantie 6 Mois,160 000 FCFA,https://www.jumia.sn/hp-cartouches-dencre-hp-64a-cc364a-noir-garantie-6-mois-27327.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/72/372/1.jpg?2044,False,,,,
