name,price,descrption_link,img_link,jumia_express,old_price,decrease_percentage,n_stars,n_votes
Gamme Cantu kids shampoo pour enfant Plus cantu detrangler,6 900 FCFA,https://www.jumia.sn/gamme-cantu-kids-shampoo-pour-enfant-plus-cantu-detrangler-cantu-mpg25913.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/17/76606/1.jpg?5107,False,,,4.3 out of 5,(7)
Shampoo kids Cantu,3 900 FCFA,https://www.jumia.sn/cantu-shampoo-kids-cantu-6066776.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/67/76606/1.jpg?5107,False,,,3 out of 5,(1)
Canbebe Shampoing Pour Bébé - 200ML,750 FCFA,https://www.jumia.sn/canbebe-shampoing-pour-bebe-200ml-9128014.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/41/08219/1.jpg?2034,False,,,,
Conditioner Cantu - 237ml,3 900 FCFA,https://www.jumia.sn/conditioner-cantu-237ml-cantu-mpg28122.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/47/76606/1.jpg?5107,False,,,,
Mixa Shampooing Démêlant Très Doux Au Karité Pour Bébé - 250ml,3 310 FCFA,https://www.jumia.sn/mixa-shampooing-demelant-tres-doux-au-karite-pour-bebe-250ml-6072683.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/38/62706/1.jpg?6418,False,,,5 out of 5,(1)
Canbebe Shampoing Pour Bébé - 700 ML,2 000 FCFA,https://www.jumia.sn/canbebe-shampoing-pour-bebe-700-ml-9128013.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/31/08219/1.jpg?2035,False,,,,
Conditioner Cantu - 237ml,3 600 FCFA,https://www.jumia.sn/conditioner-cantu-237ml-cantu-mpg9498.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/03/38795/1.jpg?2395,False,,,5 out of 5,(1)
Conditioner Cantu - 237ml,3 600 FCFA,https://www.jumia.sn/cantu-conditioner-cantu-237ml-4776537.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/73/56774/1.jpg?6684,False,3 900 FCFA,8%,4 out of 5,(1)
Generic Portable Hight QC Bedding Canopy Mosquito Net Tent Queen Size For Bed NEW,37 184 FCFA,https://www.jumia.sn/generic-portable-hight-qc-bedding-canopy-mosquito-net-tent-queen-size-for-bed-new-719559.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/95/5917/1.jpg?5062,False,72 910 FCFA,49%,,
Gamme Cantu kids shampoo pour enfant Plus cantu detrangler,8 900 FCFA,https://www.jumia.sn/cantu-gamme-cantu-kids-shampoo-pour-enfant-plus-cantu-detrangler-9988334.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/43/38899/1.jpg?2379,False,11 900 FCFA,25%,,
