name,price,descrption_link,img_link,jumia_express,old_price,decrease_percentage,n_stars,n_votes
Zena Sirop Gingembre 75cl,1 600 FCFA,https://www.jumia.sn/zena-sirop-gingembre-75cl-9788124.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/42/18879/1.jpg?2963,True,,,4.3 out of 5,(4)
Duval Sirop De Menthe - 75CL,1 590 FCFA,https://www.jumia.sn/duval-sirop-de-menthe-75cl-9346453.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/35/46439/1.jpg?8383,True,,,3.7 out of 5,(3)
Zena Sirop Citron 75cl,1 600 FCFA,https://www.jumia.sn/zena-sirop-citron-75cl-9788125.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/52/18879/1.jpg?3138,True,,,5 out of 5,(2)
Fruitales Sirop De Citron Vert 750ml,1 830 FCFA,https://www.jumia.sn/fruitales-sirop-de-citron-vert-750ml-9804691.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/19/64089/1.jpg?8658,True,,,4.3 out of 5,(4)
Zena Sirop Bissap 75cl,1 600 FCFA,https://www.jumia.sn/zena-sirop-bissap-75cl-9788123.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/32/18879/1.jpg?2869,True,,,3.3 out of 5,(3)
Fruitales Purée De Piment Forte 100g,730 FCFA,https://www.jumia.sn/fruitales-puree-de-piment-forte-100g-9804685.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/58/64089/1.jpg?1204,True,,,3.8 out of 5,(4)
Zena Sirop Tamarin75cl,1 600 FCFA,https://www.jumia.sn/zena-sirop-tamarin75cl-9788122.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/22/18879/1.jpg?2616,True,,,2.8 out of 5,(4)
Fruitales Purée De Piment Au Gingembre 100g,760 FCFA,https://www.jumia.sn/fruitales-puree-de-piment-au-gingembre-100g-9804686.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/68/64089/1.jpg?1216,True,,,,
Fruitales Sirop De Bissap 750ml,1 830 FCFA,https://www.jumia.sn/fruitales-sirop-de-bissap-750ml-9804692.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/29/64089/1.jpg?8635,True,,,,
Zena Sirop Exotique 75cl,1 450 FCFA,https://www.jumia.sn/zena-sirop-exotique-75cl-9788121.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/12/18879/1.jpg?5437,True,,,,
Fruitales Purée De Piment Jaune Extra Forte 100g,920 FCFA,https://www.jumia.sn/fruitales-puree-de-piment-jaune-extra-forte-100g-9804687.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/78/64089/1.jpg?1231,True,,,5 out of 5,(1)
Zena Sirop Bouye 75cl,1 600 FCFA,https://www.jumia.sn/zena-sirop-bouye-75cl-9788126.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/62/18879/1.jpg?3233,True,,,5 out of 5,(1)
Zena Sirop Menthe 75cl,1 450 FCFA,https://www.jumia.sn/zena-sirop-menthe-75cl-9788120.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/02/18879/1.jpg?1944,True,,,3 out of 5,(5)
Kangoo Bouteille De Sirop Grenadine - 880ML,1 600 FCFA,https://www.jumia.sn/kangoo-bouteille-de-sirop-grenadine-880ml-8790079.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/97/00978/1.jpg?7852,True,,,4.5 out of 5,(2)
Sunquick Sirop Tropical - 84CL,3 190 FCFA,https://www.jumia.sn/sunquick-sirop-tropical-84cl-6064454.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/45/44606/1.jpg?9300,False,,,4.5 out of 5,(2)
Kangoo Bouteille De Sirop Grenadine - 340ML,890 FCFA,https://www.jumia.sn/kangoo-bouteille-de-sirop-grenadine-340ml-8790085.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/58/00978/1.jpg?7852,True,,,5 out of 5,(1)
Darci Sirop d'Ananas - 84CL,3 190 FCFA,https://www.jumia.sn/darci-sirop-dananas-84cl-6064799.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/99/74606/1.jpg?9300,False,,,,
Sirop D'Érable - 250G,3 490 FCFA,https://www.jumia.sn/carrefour-sirop-derable-250g-2210098.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/89/00122/1.jpg?4827,False,,,5 out of 5,(1)
