name,price,descrption_link,img_link,jumia_express,old_price,decrease_percentage,n_stars,n_votes
"Samsung Galaxy A03 Core - 4G - 6.5"" - RAM 2Go - ROM 32Go - Caméra 13+2MP - 5000mAh- Noir",48 900 FCFA,https://www.jumia.sn/samsung-galaxy-a03-core-4g-6.5-ram-2go-rom-32go-camera-132mp-5000mah-noir-6100199.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/99/10016/1.jpg?8517,True,75 000 FCFA,35%,4 out of 5,(56)
"Samsung Galaxy A03 Core - 4G - 6.5"" - RAM 2Go - ROM 32Go - Caméra 13+2MP - 5000mAh- Bleu",48 900 FCFA,https://www.jumia.sn/samsung-galaxy-a03-core-4g-6.5-ram-2go-rom-32go-camera-132mp-5000mah-bleu-9845388.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/88/35489/1.jpg?6701,True,75 000 FCFA,35%,3.9 out of 5,(34)
Tecno POP 2F - 5.5’’ - Double SIM - ROM 16 Go - RAM 1 Go - Caméra 8/5 Mp - Batterie : 2400mAh - Noir,32 900 FCFA,https://www.jumia.sn/tecno-pop-2f-5.5-double-sim-rom-16-go-ram-1-go-camera-85-mp-batterie-2400mah-noir-5977478.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/87/47795/1.jpg?5803,True,47 970 FCFA,31%,3.7 out of 5,(64)
"Tecno Spark 8P- 6.6"" - ROM 64Go - RAM 4Go - Caméra 50MP/8MP - 5000mAh - Tahiti Gold",73 550 FCFA,https://www.jumia.sn/tecno-spark-8p-6.6-rom-64go-ram-4go-camera-50mp8mp-5000mah-tahiti-gold-9790229.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/92/20979/1.jpg?6263,True,95 000 FCFA,23%,4.7 out of 5,(19)
"Tecno Pova Neo- Ecran 6.8"" - ROM 64Go - RAM 4Go - Caméra13MP/8MP Dual flash Batterie 6000mAh - Bleu",60 900 FCFA,https://www.jumia.sn/tecno-pova-neo-ecran-6.8-rom-64go-ram-4go-camera13mp8mp-dual-flash-batterie-6000mah-bleu-9844854.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/45/84489/1.jpg?0177,True,100 000 FCFA,39%,4 out of 5,(1)
"Tecno POP 5 Go - 3G - Ecran 5.71"" - ROM 16Go Ram 1Go - Caméra front 5MP arrière 5MP - Batterie 4000mAh - Bleu",35 750 FCFA,https://www.jumia.sn/tecno-pop-5-go-3g-ecran-5.71-rom-16go-ram-1go-camera-front-5mp-arriere-5mp-batterie-4000mah-bleu-9844336.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/63/34489/1.jpg?2473,True,50 000 FCFA,29%,4 out of 5,(3)
Samsung Galaxy A12 – Ecran 6.5″ - ROM 128GB - RAM 4GB - Caméra 48MP - Bleu,87 700 FCFA,https://www.jumia.sn/samsung-galaxy-a12-ecran-6.5-rom-128gb-ram-4gb-camera-48mp-bleu-10001120.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/02/110001/1.jpg?4777,True,95 000 FCFA,8%,5 out of 5,(1)
Tecno Spark 8C – Écran 6.6″ – ROM 64GB – RAM 2GB – Caméra 13/8MP – Gris,63 900 FCFA,https://www.jumia.sn/tecno-spark-8c-ecran-6.6-rom-64gb-ram-2gb-camera-138mp-gris-9979136.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/63/19799/1.jpg?8434,True,100 000 FCFA,36%,4 out of 5,(7)
"Samsung Galaxy A03S - 4G - 6.5"" - RAM 4Go - ROM 64Go - Caméra 13+2+2MP - Empreinte digitale",74 500 FCFA,https://www.jumia.sn/samsung-galaxy-a03s-4g-6.5-ram-4go-rom-64go-camera-1322mp-empreinte-digitale-9795740.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/04/75979/1.jpg?0977,True,80 000 FCFA,7%,4.5 out of 5,(13)
"Samsung Galaxy A13 - 6.6"" - RAM 4Go - ROM 64Go - Caméra 50+5+2+2MP - 5000mAh – Black",96 960 FCFA,https://www.jumia.sn/samsung-galaxy-a13-6.6-ram-4go-rom-64go-camera-50522mp-5000mah-black-9961272.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/27/21699/1.jpg?6949,True,104 900 FCFA,8%,5 out of 5,(3)
