name,price,descrption_link,img_link,jumia_express,old_price,decrease_percentage,n_stars,n_votes
Crème Douche Surgras Beurre De Karite - 400ML,2 780 FCFA,https://www.jumia.sn/cadum-creme-douche-surgras-beurre-de-karite-400ml-9123535.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/53/53219/1.jpg?7011,True,,,3 out of 5,(1)
Boudchou Gamme boudchou 8 articles ROSE,3 900 FCFA,https://www.jumia.sn/gamme-boudchou-8-articles-rose-boudchou-mpg25916.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/84/24116/1.jpg?7703,False,,,4.3 out of 5,(3)
Gel Douche Hypoallergenique 400ML,2 780 FCFA,https://www.jumia.sn/cadum-gel-douche-hypoallergenique-400ml-9123536.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/63/53219/1.jpg?7511,True,,,4 out of 5,(2)
Generic Ensemble baby bank bébé,9 999 FCFA,https://www.jumia.sn/generic-ensemble-baby-bank-bebe-6172443.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/34/42716/1.jpg?8672,False,15 000 FCFA,33%,,
"Boudchou Game Boudchou - Huile bébé, Savon,Parfum, Crème, Vaseline, Biberon, Poudre, Lait de corps",3 900 FCFA,https://www.jumia.sn/game-boudchou-huile-bebe-savonparfum-creme-vaseline-biberon-poudre-lait-de-corps-boudchou-mpg43037.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/93/07606/1.jpg?8682,False,,,4 out of 5,(4)
Chicco Lait De Corps Pour Bébé - 200ML,2 720 FCFA,https://www.jumia.sn/chicco-lait-de-corps-pour-bebe-200ml-9172887.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/78/82719/1.jpg?5605,True,,,,
Chicco Shampoing Bebe 500ML 0M,3 900 FCFA,https://www.jumia.sn/chicco-shampoing-bebe-500ml-0m-9753790.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/09/73579/1.jpg?9894,True,,,,
Chicco Lingette Lot de 72Pcs 0M,2 640 FCFA,https://www.jumia.sn/chicco-lingette-lot-de-72pcs-0m-9753795.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/59/73579/1.jpg?8957,True,,,4 out of 5,(1)
Klorane Eau Fraiche Parfumée Spray 500ml - Klorane,6 690 FCFA,https://www.jumia.sn/klorane-eau-fraiche-parfumee-spray-500ml-klorane-9812308.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/80/32189/1.jpg?2671,True,,,,
Dream Lait de Toilette Douceur - Babymed - 800 ml,1 700 FCFA,https://www.jumia.sn/lait-de-toilette-douceur-babymed-800-ml-dream-mpg28157.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/75/62716/1.jpg?7706,False,,,4.5 out of 5,(2)
Chicco Bain de Douche Bebe 500ML T.0M,4 080 FCFA,https://www.jumia.sn/chicco-bain-de-douche-bebe-500ml-t.0m-9753787.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/78/73579/1.jpg?9714,True,,,,
"Generic Gamme pour Bébé 5 éléments essentiel - lait de corps , shampooing , savon , poudre , huile",3 490 FCFA,https://www.jumia.sn/gamme-pour-bebe-5-elements-essentiel-lait-de-corps-shampooing-savon-poudre-huile-generic-mpg45422.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/76/61589/1.jpg?4340,False,5 000 FCFA,30%,4 out of 5,(3)
Generic Gamme complet pour Bébé 5 en 1,3 400 FCFA,https://www.jumia.sn/generic-gamme-complet-pour-bebe-5-en-1-9731349.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/94/31379/1.jpg?2253,False,5 500 FCFA,38%,,
"Lubriderm Lotion sans parfum, pour peaux normales à sèches - 709 ml",8 600 FCFA,https://www.jumia.sn/lotion-sans-parfum-pour-peaux-normales-a-seches-709-ml-lubriderm-mpg43495.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/23/45606/1.jpg?4321,False,,,4.5 out of 5,(2)
Style Parfum - 70ml,590 FCFA,https://www.jumia.sn/style-parfum-70ml-9960532.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/23/50699/1.jpg?2433,False,,,,
"Boudchou Gamme Boudchou - Huile bébé, Savon,Parfum, Crème, Vaseline, Biberon, Poudre, Lait de corps",5 900 FCFA,https://www.jumia.sn/gamme-boudchou-huile-bebe-savonparfum-creme-vaseline-biberon-poudre-lait-de-corps-boudchou-mpg43038.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/19/26472/1.jpg?1713,False,,,4 out of 5,(1)
Chicco Coton Tige 160 Pcs T.0M,1 270 FCFA,https://www.jumia.sn/chicco-coton-tige-160-pcs-t.0m-9753785.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/58/73579/1.jpg?8742,True,,,,
Generic Boudchou - Poudre Parfumée Pour Bébé - 400 Gr,990 FCFA,https://www.jumia.sn/generic-boudchou-poudre-parfumee-pour-bebe-400-gr-6070311.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/11/30706/1.jpg?0600,False,,,,
Klorane Poudre De Toilette Pour Bébé Protectrice - 100g,4 990 FCFA,https://www.jumia.sn/klorane-poudre-de-toilette-pour-bebe-protectrice-100g-6072047.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/74/02706/1.jpg?6377,False,,,,
Klorane Lait de Toilette Bébé - 750 ml,10 900 FCFA,https://www.jumia.sn/klorane-lait-de-toilette-bebe-750-ml-4838030.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/03/08384/1.jpg?8721,False,,,4 out of 5,(3)
P'Tit Cheri Talc Rose Pour Bébé - 200g,450 FCFA,https://www.jumia.sn/ptit-cheri-talc-rose-pour-bebe-200g-6072016.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/61/02706/1.jpg?6375,False,,,,
Klorane LAIT DE TOILETTE DOUX BÉBÉ À L'EXTRAIT DE COTON - VISAGE & CORPS - 500ML,5 000 FCFA,https://www.jumia.sn/klorane-lait-de-toilette-doux-bebe-a-lextrait-de-coton-visage-corps-500ml-215113.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/31/1512/1.jpg?1381,False,,,,
Klorane Lait de Toilette Bébé - 750 ml,8 900 FCFA,https://www.jumia.sn/lait-de-toilette-bebe-750-ml-klorane-mpg43487.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/50/95795/1.jpg?1322,False,9 900 FCFA,10%,4.8 out of 5,(6)
Cetaphil baby lotion,7 000 FCFA,https://www.jumia.sn/cetaphil-baby-lotion-3703655.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/55/63073/1.jpg?4359,False,,,5 out of 5,(1)
Crème Douche Hydratante - 400ML,2 780 FCFA,https://www.jumia.sn/cadum-creme-douche-hydratante-400ml-9123534.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/43/53219/1.jpg?6827,True,,,4 out of 5,(1)
Talc Pour Bébé - 200g,515 FCFA,https://www.jumia.sn/carrefour-talc-pour-bebe-200g-6072007.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/70/02706/1.jpg?6375,False,,,5 out of 5,(1)
Lubriderm Daily Moisture Lotion - Paquet de 3,15 900 FCFA,https://www.jumia.sn/daily-moisture-lotion-paquet-de-3-lubriderm-mpg17219.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/34/18606/1.jpg?1874,False,,,4.7 out of 5,(3)
Lait De Toilette Pour Bébé Bio - 250ml,1 845 FCFA,https://www.jumia.sn/carrefour-lait-de-toilette-pour-bebe-bio-250ml-6073390.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/09/33706/1.jpg?7243,False,,,,
Babymed Lait de Toilette Douceur - Babymed - 800 ml,1 875 FCFA,https://www.jumia.sn/lait-de-toilette-douceur-babymed-800-ml-dream-mpg18805.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/50/58706/1.jpg?5494,False,2 900 FCFA,35%,4.5 out of 5,(2)
"Boudchou Gamme Boudchou - Huile bébé, Savon,Parfum, Crème, Vaseline, Biberon, Poudre, Lait de corps",4 900 FCFA,https://www.jumia.sn/boudchou-gamme-boudchou-huile-bebe-savonparfum-creme-vaseline-biberon-poudre-lait-de-corps-2746021.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/12/06472/1.jpg?1712,False,,,,
Crème Bébé Hydratante - 75ml,1 650 FCFA,https://www.jumia.sn/carrefour-creme-bebe-hydratante-75ml-6073388.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/88/33706/1.jpg?7243,False,,,5 out of 5,(1)
"Lubriderm Lotion sans parfum, pour peaux normales à sèches - 709 ml",8 900 FCFA,https://www.jumia.sn/lubriderm-lotion-sans-parfum-pour-peaux-normales-a-seches-709-ml-6071646.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/64/61706/1.jpg?6086,False,,,,
"Boudchou Game Boudchou - Huile bébé, Savon,Parfum, Crème, Vaseline, Biberon, Poudre, Lait de corps",4 200 FCFA,https://www.jumia.sn/game-boudchou-huile-bebe-savonparfum-creme-vaseline-biberon-poudre-lait-de-corps-boudchou-mpg1251.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/28/35549/1.jpg?8149,False,4 900 FCFA,14%,3.5 out of 5,(2)
P'Tit Cheri Talc Bleu Pour Bébé - 200g,575 FCFA,https://www.jumia.sn/ptit-cheri-talc-bleu-pour-bebe-200g-6172669.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/96/62716/1.jpg?7706,False,,,,
Generic Babymed - Lait de Toilette - Douceur - 800 ml,2 280 FCFA,https://www.jumia.sn/babymed-lait-de-toilette-douceur-800-ml-generic-mpg1332.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/26/3021/1.jpg?3538,False,,,,
Babiva Lait Corporel pour Bébé - Babivéa - 205 ml,1 500 FCFA,https://www.jumia.sn/lait-corporel-pour-bebe-babivea-205-ml-babiva-mpg21210.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/91/49343/1.jpg?6061,False,,,,
Boudchou - Poudre Parfumée Pour Bébé - 400 Gr,999 FCFA,https://www.jumia.sn/poudre-parfumee-pour-bebe-400-gr-boudchou-mpg28042.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/11/95795/1.jpg?1325,False,,,,
Boudchou Gamme Boudchou,3 900 FCFA,https://www.jumia.sn/gamme-boudchou-boudchou-mpg32019.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/87/97606/1.jpg?1720,False,,,4.5 out of 5,(2)
Pretty Baby PRETTY BABY- 5 pièces pour enfant- Bleu,3 519 FCFA,https://www.jumia.sn/pretty-baby-5-pieces-pour-enfant-bleu-pretty-baby-mpg41209.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/99/80529/1.jpg?1275,False,3 900 FCFA,10%,,
Le Chat Savon Bébé - 175g,750 FCFA,https://www.jumia.sn/le-chat-savon-bebe-175g-6073164.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/46/13706/1.jpg?6374,False,,,4.3 out of 5,(3)
