name,price,descrption_link,img_link,jumia_express,old_price,decrease_percentage,n_stars,n_votes
Generic Tondeuse A Cheveux Electrique Rechargeable,4 273 FCFA,https://www.jumia.sn/generic-tondeuse-a-cheveux-electrique-rechargeable-9106321.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/12/36019/1.jpg?9795,True,8 378 FCFA,49%,3.6 out of 5,(78)
Htc Tondeuse Professionnelle Sans Fil - Rechargeable AT 209 - 3W - Bleu,2 500 FCFA,https://www.jumia.sn/htc-tondeuse-professionnelle-sans-fil-rechargeable-at-209-3w-bleu-9368715.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/51/78639/1.jpg?0413,False,3 990 FCFA,37%,3.6 out of 5,(149)
Generic Tondeuse A Cheveux - USB - Noir,4 800 FCFA,https://www.jumia.sn/generic-tondeuse-a-cheveux-usb-noir-6105781.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/18/75016/1.jpg?9663,True,9 875 FCFA,51%,3.9 out of 5,(59)
Lanbena hair growth pousse barbe,1 490 FCFA,https://www.jumia.sn/hair-growth-pousse-barbe-lanbena-mpg36814.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/26/61488/1.jpg?3161,True,10 000 FCFA,85%,3.3 out of 5,(127)
Original Huile de Chébé - Pousse cheveux Rapide - 60 ml,1 050 FCFA,https://www.jumia.sn/huile-de-chebe-pousse-cheveux-rapide-60-ml-original-mpg27435.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/42/64016/1.jpg?6210,False,2 000 FCFA,48%,3.8 out of 5,(66)
Disaar Huile pousse barbe rapide - Zéro à Héro - 30 ml,1 250 FCFA,https://www.jumia.sn/huile-pousse-barbe-rapide-zero-a-hero-30-ml-disaar-mpg40691.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/37/30705/1.jpg?7013,False,10 000 FCFA,88%,3.5 out of 5,(8)
Generic Pousse Cheveux Rapide - Huile de Chébé pur du Tchad - 60 ml,1 600 FCFA,https://www.jumia.sn/pousse-cheveux-rapide-huile-de-chebe-pur-du-tchad-60-ml-generic-mpg46226.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/17/87099/1.jpg?7078,False,4 500 FCFA,64%,5 out of 5,(2)
Generic Pousse Cheveux rapide - Huile de Chébé pur du Tchad - 60ml,1 250 FCFA,https://www.jumia.sn/generic-pousse-cheveux-rapide-huile-de-chebe-pur-du-tchad-60ml-1213226.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/62/23121/1.jpg?5347,False,1 900 FCFA,34%,4.1 out of 5,(19)
"Minoxidil 5% pousse barbe , une bouteille",6 000 FCFA,https://www.jumia.sn/5-pousse-barbe-une-bouteille-minoxidil-mpg36936.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/52/36729/1.jpg?2980,False,15 000 FCFA,60%,3.3 out of 5,(45)
"Minoxidil Kirkland 5% pousse barbe , une bouteille",4 990 FCFA,https://www.jumia.sn/minoxidil-kirkland-5-pousse-barbe-une-bouteille-9838218.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/81/28389/1.jpg?2389,False,10 000 FCFA,50%,4.3 out of 5,(3)
