name,price,descrption_link,img_link,jumia_express,old_price,decrease_percentage,n_stars,n_votes
TOPICREM Soins bébé : Mon 1er Lait Ultra-Hydratant 500ml+ Pain surgras 150 gr,8 990 FCFA,https://www.jumia.sn/topicrem-soins-bebe-mon-1er-lait-ultra-hydratant-500ml-pain-surgras-150-gr-6034269.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/96/24306/1.jpg?4646,True,22 000 FCFA,59%,4 out of 5,(6)
Babymed Gamme Complete BABYMED pour Bébé - 7 articles,3 700 FCFA,https://www.jumia.sn/gamme-complete-babymed-pour-bebe-7-articles-babymed-mpg30238.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/39/13588/1.jpg?1794,False,,,4.1 out of 5,(10)
Babymed Gamme Complet Babymed,3 990 FCFA,https://www.jumia.sn/gamme-complet-babymed-babymed-mpg24871.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/44/66289/1.jpg?8165,False,15 000 FCFA,73%,4.8 out of 5,(8)
Babymed Gamme Complete BABYMED pour Bébé - 7 pièces,3 990 FCFA,https://www.jumia.sn/gamme-complete-babymed-pour-bebe-7-pieces-babymed-mpg32022.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/87/13489/1.jpg?5803,False,15 000 FCFA,73%,,
Mixa Lait de Toilette Bébé Très Doux - 250ml,1 890 FCFA,https://www.jumia.sn/mixa-lait-de-toilette-bebe-tres-doux-250ml-8834175.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/57/14388/1.jpg?8808,True,2 300 FCFA,18%,4.7 out of 5,(3)
TOPICREM Mon 1er Pain surgras douceur 150 g,1 990 FCFA,https://www.jumia.sn/topicrem-mon-1er-pain-surgras-douceur-150-g-6034174.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/47/14306/1.jpg?1102,True,6 000 FCFA,67%,4.8 out of 5,(4)
TOPICREM Mon 1er Lait Ultra-Hydratant 500 ml,8 990 FCFA,https://www.jumia.sn/topicrem-mon-1er-lait-ultra-hydratant-500-ml-448369.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/96/3844/1.jpg?7965,True,16 000 FCFA,44%,4.1 out of 5,(13)
Baby Gamme De Soin H Baby pour Bébé - Rose,3 000 FCFA,https://www.jumia.sn/baby-gamme-de-soin-h-baby-pour-bebe-rose-9799072.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/27/09979/1.jpg?2961,False,4 500 FCFA,33%,4 out of 5,(2)
Generic Gamme Complet Day By Day Pour Bébé,5 900 FCFA,https://www.jumia.sn/gamme-complet-day-by-day-pour-bebe-generic-mpg24429.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/49/39735/1.jpg?5713,False,,,,
Babymed Lait de Toilette 800ml,1 875 FCFA,https://www.jumia.sn/lait-de-toilette-800ml-babymed-mpg27983.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/98/47319/1.jpg?8896,False,,,,
Babymed Gamme Complet,4 500 FCFA,https://www.jumia.sn/gamme-complet-babymed-mpg27981.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/11/36906/1.jpg?2006,False,10 000 FCFA,55%,,
Generic 7 pièces de Gamme BABYMED Complete pour Bébé,6 900 FCFA,https://www.jumia.sn/generic-7-pieces-de-gamme-babymed-complete-pour-bebe-9407184.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/48/17049/1.jpg?8940,False,8 000 FCFA,14%,,
Baby Gamme De Soin H Baby pour Bébé - Bleu,3 000 FCFA,https://www.jumia.sn/baby-gamme-de-soin-h-baby-pour-bebe-bleu-9799073.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/37/09979/1.jpg?2962,False,4 500 FCFA,33%,,
Generic Douche nasale pour enfants et adultes 300 ML,5 000 FCFA,https://www.jumia.sn/generic-douche-nasale-pour-enfants-et-adultes-300-ml-9488496.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/69/48849/1.jpg?3953,False,,,4 out of 5,(1)
Babymed Gamme Lait + Gel de Bain + Parfum + Crème Nourrissante,5 900 FCFA,https://www.jumia.sn/gamme-lait-gel-de-bain-parfum-creme-nourrissante-babymed-mpg27982.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/98/07319/1.jpg?6396,False,8 900 FCFA,34%,,
Generic Pack de 6 Lait de toilette Douceur Babymed de 200ml,2 990 FCFA,https://www.jumia.sn/pack-de-6-lait-de-toilette-douceur-babymed-de-200ml-generic-mpg26646.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/97/59735/1.jpg?5713,False,3 600 FCFA,17%,,
Babymed Gamme Complet Babymed Lait + Huile de massage + Savon douceur + Parfum + Pommade + Talc + Lingette,3 900 FCFA,https://www.jumia.sn/gamme-complet-babymed-lait-huile-de-massage-savon-douceur-parfum-pommade-talc-lingette-babymed-mpg25915.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/98/68738/1.jpg?3452,False,,,3.8 out of 5,(5)
Babymed Pack de 6 Lait de toilette Douceur Babymed de 200ml,3 600 FCFA,https://www.jumia.sn/pack-de-6-lait-de-toilette-douceur-babymed-de-200ml-babymed-mpg37323.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/72/83616/1.jpg?7712,False,,,1 out of 5,(1)
Babymed Gamme Complete BABYMED pour Bébé - 7 articles,7 000 FCFA,https://www.jumia.sn/babymed-gamme-complete-babymed-pour-bebe-7-articles-9974252.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/25/24799/1.jpg?8269,False,8 000 FCFA,13%,,
Boudchou gamme complète boudchou pour bébé rose,4 900 FCFA,https://www.jumia.sn/gamme-complete-boudchou-pour-bebe-rose-boudchou-mpg38891.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/66/83616/1.jpg?8662,False,,,,
Babymed Gamme Complete BABYMED pour Bébé - 7 articles,6 500 FCFA,https://www.jumia.sn/babymed-gamme-complete-babymed-pour-bebe-7-articles-9974262.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/26/24799/1.jpg?8269,False,8 000 FCFA,19%,,
Babymed Gamme Complete BABYMED pour Bébé - 7 articles,6 500 FCFA,https://www.jumia.sn/babymed-gamme-complete-babymed-pour-bebe-7-articles-9974250.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/05/24799/1.jpg?8271,False,8 000 FCFA,19%,,
Generic Babymed Gamme Lait Lot 5 pièce -Gel de Bain Parfum Crème Nourrissante,5 610 FCFA,https://www.jumia.sn/generic-babymed-gamme-lait-lot-5-piece-gel-de-bain-parfum-creme-nourrissante-9486991.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/19/96849/1.jpg?5771,False,8 800 FCFA,36%,,
Generic Lait de toilette Douceur Babymed - 200ml,990 FCFA,https://www.jumia.sn/lait-de-toilette-douceur-babymed-200ml-generic-mpg11780.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/50/80003/1.jpg?7989,False,,,5 out of 5,(1)
Babymed Gamme Complete BABYMED pour Bébé - 7 articles,7 000 FCFA,https://www.jumia.sn/babymed-gamme-complete-babymed-pour-bebe-7-articles-9974253.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/35/24799/1.jpg?8269,False,8 000 FCFA,13%,,
Babymed GAMME COMPLÈTE-VERT,3 900 FCFA,https://www.jumia.sn/gamme-complete-vert-babymed-mpg27980.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/51/15979/1.jpg?6502,False,4 900 FCFA,20%,4.3 out of 5,(3)
Bain Douche Extra Doux Enfants - 300ml,1 040 FCFA,https://www.jumia.sn/carrefour-bain-douche-extra-doux-enfants-300ml-2525353.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/35/35252/1.jpg?3947,False,,,5 out of 5,(1)
Babymed Lait BABYMED - 200ml,690 FCFA,https://www.jumia.sn/lait-babymed-200ml-babymed-mpg22084.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/08/45774/1.jpg?5915,False,990 FCFA,30%,4 out of 5,(2)
Boite 50 Coton Tiges - Bébé,650 FCFA,https://www.jumia.sn/carrefour-boite-50-coton-tiges-bebe-3381029.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/92/01833/1.jpg?1949,False,,,3.7 out of 5,(6)
Unbrand Gel Adex Crème Hydratante Efficace pour les Peaux Sèches Tout Âge,9 000 FCFA,https://www.jumia.sn/unbrand-gel-adex-creme-hydratante-efficace-pour-les-peaux-seches-tout-age-8828613.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/31/68288/1.jpg?5383,False,20 000 FCFA,55%,,
White Lot 5 pièces Gamme bébé Lait -Gel de Bain Parfum Crème Nourrissante,8 800 FCFA,https://www.jumia.sn/lot-5-pieces-gamme-bebe-lait-gel-de-bain-parfum-creme-nourrissante-white-mpg40282.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/49/90879/1.jpg?3555,False,15 000 FCFA,41%,,
Generic Sac d'école pour garçons & filles,6 940 FCFA,https://www.jumia.sn/generic-sac-decole-pour-garcons-filles-9356722.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/22/76539/1.jpg?5484,False,9 200 FCFA,25%,,
