name,price,descrption_link,img_link,jumia_express,old_price,decrease_percentage,n_stars,n_votes
Sensodyne Dentifrice Soin Blancheur - 75 ML,2 600 FCFA,https://www.jumia.sn/sensodyne-dentifrice-soin-blancheur-75-ml-9123551.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/15/53219/1.jpg?1640,True,,,4.6 out of 5,(9)
Oral B Dentifrice - Pro Health - Fresh Mint - 93G,1 050 FCFA,https://www.jumia.sn/oral-b-dentifrice-pro-health-fresh-mint-93g-9287972.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/27/97829/1.jpg?3389,True,,,4.3 out of 5,(4)
White Label Dental White 20 minutes dents blanches,4 165 FCFA,https://www.jumia.sn/white-label-dental-white-20-minutes-dents-blanches-10019800.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/00/891001/1.jpg?5478,False,11 000 FCFA,62%,2.5 out of 5,(2)
Oral B Dentifrice - Pro Health - Herbal Mint Gel - 140G,675 FCFA,https://www.jumia.sn/oral-b-dentifrice-pro-health-herbal-mint-gel-140g-9287974.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/47/97829/1.jpg?3944,True,,,,
SIGNAL Dentifrice Systeme Blancheur Eclat Brillance - 75ML,1 140 FCFA,https://www.jumia.sn/signal-dentifrice-systeme-blancheur-eclat-brillance-75ml-9123574.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/47/53219/1.jpg?9853,True,,,3.5 out of 5,(4)
Sensodyne Bain De Bouche - 500ML,2 780 FCFA,https://www.jumia.sn/sensodyne-bain-de-bouche-500ml-9123552.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/25/53219/1.jpg?1786,True,,,4.3 out of 5,(4)
White Label Kit Whiting White 20 minutes dents blanches,5 000 FCFA,https://www.jumia.sn/white-label-kit-whiting-white-20-minutes-dents-blanches-9957137.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/73/17599/1.jpg?3313,False,10 000 FCFA,50%,,
Aichun Beauty Pâte dentifrice vitamine dents Extra blanchies - Charbon,1 290 FCFA,https://www.jumia.sn/pate-dentifrice-vitamine-dents-extra-blanchies-charbon-aichun-beauty-mpg30840.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/55/62549/1.jpg?0217,False,8 000 FCFA,84%,4 out of 5,(2)
Generic Cure-Dents avec Fil Dentaire - 30 Pièces,1 500 FCFA,https://www.jumia.sn/cure-dents-avec-fil-dentaire-30-pieces-generic-mpg9919.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/18/9754/1.jpg?9147,False,3 000 FCFA,50%,4.1 out of 5,(14)
Generic Sonic Pic dent tache de nettoyage dentaire Kit dents blanchiment,3 800 FCFA,https://www.jumia.sn/sonic-pic-dent-tache-de-nettoyage-dentaire-kit-dents-blanchiment-generic-mpg35511.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/46/29137/1.jpg?3397,False,10 000 FCFA,62%,3.3 out of 5,(4)
"Pack De 5 Brossettes Interdentaires Ultra Fines 2,5mm ",1 250 FCFA,https://www.jumia.sn/carrefour-pack-de-5-brossettes-interdentaires-ultra-fines-25mm-2509845.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/54/89052/1.jpg?2519,False,,,4 out of 5,(2)
Longrich pâte dentifrice à base du thé blanc et d'aloe Vera 100g,2 500 FCFA,https://www.jumia.sn/longrich-pate-dentifrice-a-base-du-the-blanc-et-daloe-vera-100g-9998374.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/47/38999/1.jpg?7273,False,3 000 FCFA,17%,,
WhiteLight DENTS GEL DE BLANCHIMENT DES DENTS SUPER LUMINEUX LED DE BLANCHIMENT ORAL,4 000 FCFA,https://www.jumia.sn/whitelight-dents-gel-de-blanchiment-des-dents-super-lumineux-led-de-blanchiment-oral-10002752.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/25/720001/1.jpg?8531,False,8 000 FCFA,50%,,
White Label KIT DENTS GEL DE BLANCHIMENT DES DENTS SUPER LUMINEUX LED DE BLANCHIMENT ORAL,4 000 FCFA,https://www.jumia.sn/kit-dents-gel-de-blanchiment-des-dents-super-lumineux-led-de-blanchiment-oral-white-label-mpg45969.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/85/52099/1.jpg?8701,False,8 000 FCFA,50%,3 out of 5,(2)
Generic Lanbena Blanchissement Des Dents hygiene buccale,3 250 FCFA,https://www.jumia.sn/lanbena-blanchissement-des-dents-hygiene-buccale-generic-mpg28894.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/38/87289/1.jpg?0039,False,10 000 FCFA,68%,3.5 out of 5,(4)
Sensodyne dentifrice Soin Complet - 75 ml,3 200 FCFA,https://www.jumia.sn/sensodyne-dentifrice-soin-complet-75-ml-sensodyne-mpg15174.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/54/30706/1.jpg?0604,False,,,4.3 out of 5,(16)
SIGNAL Dentifrice Protection Caries Fraîcheur Naturelle - 75ML,850 FCFA,https://www.jumia.sn/signal-dentifrice-protection-caries-fraicheur-naturelle-75ml-9123570.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/07/53219/1.jpg?5137,True,,,4.5 out of 5,(2)
SIGNAL Bain De Bouche Expert Protection - Complet - 500ML,2 340 FCFA,https://www.jumia.sn/signal-bain-de-bouche-expert-protection-complet-500ml-9123567.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/76/53219/1.jpg?2599,True,,,3.3 out of 5,(3)
Brosse À Dents Bambou - Medium,1 090 FCFA,https://www.jumia.sn/carrefour-brosse-a-dents-bambou-medium-6073372.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/27/33706/1.jpg?7242,False,,,,
Generic 1/7Pcs LANBENA Teeth Whitestrips Night Use Non-Stimulating,1 065 FCFA,https://www.jumia.sn/generic-17pcs-lanbena-teeth-whitestrips-night-use-non-stimulating-3820669.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/96/60283/1.jpg?1747,False,2 088 FCFA,49%,,
White Label Blanchissement dentaire rapide 20 Minute Dental White,4 849 FCFA,https://www.jumia.sn/blanchissement-dentaire-rapide-20-minute-dental-white-white-label-mpg38308.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/24/73579/1.jpg?4636,False,19 900 FCFA,76%,1 out of 5,(1)
WhiteLight DENTS GEL DE BLANCHIMENT DES DENTS SUPER LUMINEUX LED DE BLANCHIMENT ORAL,4 500 FCFA,https://www.jumia.sn/whitelight-dents-gel-de-blanchiment-des-dents-super-lumineux-led-de-blanchiment-oral-10007911.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/11/970001/1.jpg?8754,False,5 000 FCFA,10%,4 out of 5,(1)
Generic Blanchiment automatique brosse à dents électrique à ultrasons USB connecté pour les gens paresseux brosse à dents électrique à Vibration à grande vitesse(Blue),5 525 FCFA,https://www.jumia.sn/blanchiment-automatique-brosse-a-dents-electrique-a-ultrasons-usb-connecte-pour-les-gens-paresseux-brosse-a-dents-electrique-a-vibration-a-grande-vitesseblue-generic-mpg30318.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/53/45416/1.jpg?7040,False,6 500 FCFA,15%,4.8 out of 5,(4)
Generic Kit blanchissement dentaire Laser-Qualité authentique,4 000 FCFA,https://www.jumia.sn/generic-kit-blanchissement-dentaire-laser-qualite-authentique-9842041.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/14/02489/1.jpg?1288,False,20 000 FCFA,80%,,
