name,price,descrption_link,img_link,jumia_express,old_price,decrease_percentage,n_stars,n_votes
Generic Répéteur Amplificateur wifi 300mbps internet rapide,9 550 FCFA,https://www.jumia.sn/generic-repeteur-amplificateur-wifi-300mbps-internet-rapide-8871388.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/88/31788/1.jpg?2931,False,12 500 FCFA,24%,,
Generic Adaptateur USB WIFI MT7601 150Mbps USB 2.0 avec antenne rotative,5 500 FCFA,https://www.jumia.sn/generic-adaptateur-usb-wifi-mt7601-150mbps-usb-2.0-avec-antenne-rotative-9825385.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/58/35289/1.jpg?5398,True,8 400 FCFA,35%,,
XIAOMI Répéteur (amplificateur) Extender Répétieur Wifi Pro 300Mbps - Noir,14 400 FCFA,https://www.jumia.sn/xiaomi-repeteur-amplificateur-extender-repetieur-wifi-pro-300mbps-noir-9838855.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/55/88389/1.jpg?5877,False,20 000 FCFA,28%,3 out of 5,(2)
Generic Répéteur Booster amplificateur wifi 300mbps internet rapide,9 550 FCFA,https://www.jumia.sn/repeteur-booster-amplificateur-wifi-300mbps-internet-rapide-generic-mpg35234.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/98/31788/1.jpg?2931,False,12 500 FCFA,24%,4.2 out of 5,(23)
Generic Répéteur Amplificateur wifi 300mbps internet rapide,9 550 FCFA,https://www.jumia.sn/generic-repeteur-amplificateur-wifi-300mbps-internet-rapide-8871697.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/79/61788/1.jpg?8984,False,12 500 FCFA,24%,,
Generic Adaptateur Macbook/PC Windows de type C 4 in 1 Hub,18 900 FCFA,https://www.jumia.sn/generic-adaptateur-macbookpc-windows-de-type-c-4-in-1-hub-9959234.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/43/29599/1.jpg?3282,False,50 000 FCFA,62%,,
Generic Boost Amplificateur WiFi Extender 300 Mbps Répéteur Sans Fil Prise FR - Blanc,9 860 FCFA,https://www.jumia.sn/boost-amplificateur-wifi-extender-300-mbps-repeteur-sans-fil-prise-fr-blanc-generic-mpg32711.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/69/19529/1.jpg?3288,False,12 800 FCFA,23%,3.8 out of 5,(51)
Unbrand Répéteur Amplificateur Booster Wifi 300mbps 2.4GHz IEEE 802.11 b/g/n Noir,9 850 FCFA,https://www.jumia.sn/unbrand-repeteur-amplificateur-booster-wifi-300mbps-2.4ghz-ieee-802.11-bgn-noir-8872813.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/31/82788/1.jpg?4135,False,25 000 FCFA,61%,4 out of 5,(3)
Unbrand Répéteur Amplificateur Extenseur Booster Wifi 300mbps 2.4Ghz,9 550 FCFA,https://www.jumia.sn/unbrand-repeteur-amplificateur-extenseur-booster-wifi-300mbps-2.4ghz-6423864.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/46/83246/1.jpg?9868,False,20 000 FCFA,52%,,
XIAOMI Répéteur (amplificateur) Extender Répétieur Wifi double bande AC 1200 Mbps,24 900 FCFA,https://www.jumia.sn/xiaomi-repeteur-amplificateur-extender-repetieur-wifi-double-bande-ac-1200-mbps-9259691.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/19/69529/1.jpg?5736,False,35 000 FCFA,29%,4.3 out of 5,(4)
Generic Modem Wifi 4G LTE Clé internet Routeur USB sans fil,17 500 FCFA,https://www.jumia.sn/generic-modem-wifi-4g-lte-cle-internet-routeur-usb-sans-fil-9998565.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/56/58999/1.jpg?1403,False,,,,
Unbranded Répétiteur Booster Amplificateur Wifi 300mbps,11 550 FCFA,https://www.jumia.sn/repetiteur-booster-amplificateur-wifi-300mbps-unbranded-mpg40191.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/68/54888/1.jpg?7117,False,20 000 FCFA,42%,4 out of 5,(1)
