name,price,descrption_link,img_link,jumia_express,old_price,decrease_percentage,n_stars,n_votes
Generic Gaine ou Corset amincissant détachable à haute Compression,5 875 FCFA,https://www.jumia.sn/gaine-ou-corset-amincissant-detachable-a-haute-compression-generic-mpg40862.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/99/46299/1.jpg?1056,False,6 900 FCFA,15%,4 out of 5,(5)
Generic Pack de 12 Silip femme 100% coton,7 990 FCFA,https://www.jumia.sn/generic-pack-de-12-silip-femme-100-coton-8872603.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/30/62788/1.jpg?8659,False,12 000 FCFA,33%,4.8 out of 5,(5)
Generic lots de 6 boxer femme invisble,3 180 FCFA,https://www.jumia.sn/lots-de-6-boxer-femme-invisble-generic-mpg36174.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/97/24016/1.jpg?6354,False,8 000 FCFA,60%,3.1 out of 5,(17)
Generic Pack de 3 Soutiens Gorge Bustier sans couture - N4,3 900 FCFA,https://www.jumia.sn/pack-de-3-soutiens-gorge-bustier-sans-couture-n4-generic-mpg34845.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/99/50529/1.jpg?3807,False,5 900 FCFA,34%,4.3 out of 5,(7)
Generic Soutien-Gorge Push - Bretelle et Dos Invisible - Noir,1 590 FCFA - 4 000 FCFA,https://www.jumia.sn/generic-soutien-gorge-push-bretelle-et-dos-invisible-noir-50928.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/82/905/1.jpg?5507,False,4 000 FCFA,60%,3.3 out of 5,(90)
Generic Lot de 6 Slips en Coton invisible - Multicolore,2 690 FCFA,https://www.jumia.sn/generic-lot-de-6-slips-en-coton-invisible-multicolore-6074185.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/58/14706/1.jpg?0367,False,8 000 FCFA,66%,3.1 out of 5,(20)
Generic Gaine Amincissante de Ventre Corset De Femmes - Noir,990 FCFA,https://www.jumia.sn/generic-gaine-amincissante-de-ventre-corset-de-femmes-noir-8934760.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/06/74398/1.jpg?7077,True,1 941 FCFA,49%,3.7 out of 5,(3)
Generic Lot de 6 Cuissards femme,8 000 FCFA,https://www.jumia.sn/lot-de-6-cuissards-femme-generic-mpg34174.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/22/09489/1.jpg?8230,False,10 000 FCFA,20%,3.6 out of 5,(8)
Generic Lo de 3 cuizar femme taille standart,6 000 FCFA,https://www.jumia.sn/generic-lo-de-3-cuizar-femme-taille-standart-9763028.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/82/03679/1.jpg?3533,False,8 000 FCFA,25%,2 out of 5,(1)
Generic Pack de 2 Soutiens Gorge Sexy déesse sans bretelles; sans couture,3 000 FCFA,https://www.jumia.sn/pack-de-2-soutiens-gorge-sexy-deesse-sans-bretelles-sans-couture-generic-mpg45551.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/93/14679/1.jpg?4591,False,10 000 FCFA,70%,1.7 out of 5,(3)
