name,price,descrption_link,img_link,jumia_express,old_price,decrease_percentage,n_stars,n_votes
Kipsta Chaussure de football adulte terrains secs Agility 100 FG adulte noire by decathlon,13 910 FCFA,https://www.jumia.sn/kipsta-chaussure-de-football-adulte-terrains-secs-agility-100-fg-adulte-noire-by-decathlon-6044498.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/89/44406/1.jpg?6772,False,,,4.4 out of 5,(25)
TARMAK Ballon de basket adulte R100 taille 7 orange pour enfant et adulte. by decathlon,5 350 FCFA,https://www.jumia.sn/tarmak-ballon-de-basket-adulte-r100-taille-7-orange-pour-enfant-et-adulte.-by-decathlon-6093393.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/39/33906/1.jpg?4357,False,,,3.7 out of 5,(27)
Generic Genouillère Ligamentaire et Ouverte Rotulienne - Néoprène - Noir,3 900 FCFA,https://www.jumia.sn/generic-genouillere-ligamentaire-et-ouverte-rotulienne-neoprene-noir-506486.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/68/4605/1.jpg?4071,False,8 000 FCFA,51%,4.1 out of 5,(11)
Kipsta Ballon De Football Cousu Machine F100 Taille 5 Blanc,8 025 FCFA,https://www.jumia.sn/kipsta-ballon-de-football-cousu-machine-f100-taille-5-blanc-10024806.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/60/842001/1.jpg?4083,False,,,,
Molten Ballon de basket Molten taille 7,25 000 FCFA,https://www.jumia.sn/molten-ballon-de-basket-molten-taille-7-8908301.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/10/38098/1.jpg?8133,False,,,4.2 out of 5,(10)
Kipsta Sac a dos ULPP 17L noir by Decathlon,4 815 FCFA,https://www.jumia.sn/kipsta-sac-a-dos-ulpp-17l-noir-by-decathlon-6094997.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/79/94906/1.jpg?4691,False,,,3.4 out of 5,(14)
Kipsta Chasubles sports collectifs enfant gris by decathlon,1 605 FCFA,https://www.jumia.sn/kipsta-chasubles-sports-collectifs-enfant-gris-by-decathlon-6095103.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/30/15906/1.jpg?5444,False,,,,
Kipsta Filet de 10 a 14 Ballons By Decathlon,6 955 FCFA,https://www.jumia.sn/kipsta-filet-de-10-a-14-ballons-by-decathlon-6075833.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/33/85706/1.jpg?2138,False,,,5 out of 5,(2)
Original Corde à Sauter Ultra Légère - Sport Fitness Exercice - Noir,1 300 FCFA,https://www.jumia.sn/corde-a-sauter-ultra-legere-sport-fitness-exercice-noir-original-mpg22887.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/24/42791/1.jpg?5665,False,,,3.8 out of 5,(53)
Kipsta Chasuble sports collectifs enfant orange fluo by decathlon,1 605 FCFA,https://www.jumia.sn/kipsta-chasuble-sports-collectifs-enfant-orange-fluo-by-decathlon-6093508.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/80/53906/1.jpg?6948,False,,,,
