name,price,descrption_link,img_link,jumia_express,old_price,decrease_percentage,n_stars,n_votes
Generic Clé USB 2.0 - 32GB - Argent,2 968 FCFA,https://www.jumia.sn/generic-cle-usb-2.0-32gb-argent-6094106.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/60/14906/1.jpg?4413,True,5 820 FCFA,49%,3.7 out of 5,(40)
Disque Dur Externe Seagate - 1 To - Noir,26 900 FCFA,https://www.jumia.sn/disque-dur-externe-1-to-noir-seagate-mpg27579.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/17/756/1.jpg?2038,True,57 215 FCFA,53%,4.4 out of 5,(81)
Generic Clé USB Clé USB 64G avec porte-clés,5 200 FCFA,https://www.jumia.sn/generic-cle-usb-cle-usb-64g-avec-porte-cles-9843713.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/31/73489/1.jpg?6206,True,10 000 FCFA,48%,4.5 out of 5,(2)
Nb Clé USB - 32Go - Noir,2 800 FCFA,https://www.jumia.sn/cle-usb-32go-noir-nb-mpg7833.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/86/46539/1.jpg?2442,False,7 000 FCFA,60%,4.1 out of 5,(130)
Generic Adaptateur OTG Micro USB mâle vers USB 3.1 femelle COULEUR NOIRE,665 FCFA,https://www.jumia.sn/generic-adaptateur-otg-micro-usb-male-vers-usb-3.1-femelle-couleur-noire-9792116.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/61/12979/1.jpg?3965,False,801 FCFA,17%,4.1 out of 5,(10)
Imation Clé USB IMATION - 32 GB - Noir,2 800 FCFA,https://www.jumia.sn/cle-usb-imation-32-gb-noir-imation-mpg10140.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/93/72739/1.jpg?6184,False,5 000 FCFA,44%,4.1 out of 5,(49)
Generic Adaptateur OTG Type-C mâle vers USB 3.1 femelle COULEUR BLANCHE,801 FCFA,https://www.jumia.sn/generic-adaptateur-otg-type-c-male-vers-usb-3.1-femelle-couleur-blanche-9792115.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/51/12979/1.jpg?3963,False,,,2 out of 5,(4)
Generic Lecteur multifonction 6 en 1 Portable USB/Type C/Micro/disque U/carte TF/adaptateur de carte SD,2 870 FCFA,https://www.jumia.sn/generic-lecteur-multifonction-6-en-1-portable-usbtype-cmicrodisque-ucarte-tfadaptateur-de-carte-sd-9841312.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/21/31489/1.jpg?4806,True,5 396 FCFA,47%,,
Generic Adaptateur OTG Micro USB mâle vers USB 3.1 femelle COULEUR OR,907 FCFA,https://www.jumia.sn/generic-adaptateur-otg-micro-usb-male-vers-usb-3.1-femelle-couleur-or-9792118.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/81/12979/1.jpg?3962,False,,,,
Generic Adaptateur OTG Type-C mâle vers USB 3.1 femelle COULEUR Gris,962 FCFA,https://www.jumia.sn/generic-adaptateur-otg-type-c-male-vers-usb-3.1-femelle-couleur-gris-6103563.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/36/53016/1.jpg?2561,False,,,3.9 out of 5,(18)
Generic 2 En 1 Clé USB De Mémoire Flash OTG De 32 Go Pour Android/PC,3 590 FCFA,https://www.jumia.sn/generic-2-en-1-cle-usb-de-memoire-flash-otg-de-32-go-pour-androidpc-9790737.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/73/70979/1.jpg?5453,True,4 550 FCFA,21%,,
Generic Clé Imation 32Go Usb 2.0,4 500 FCFA,https://www.jumia.sn/generic-cle-imation-32go-usb-2.0-6026091.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/19/06206/1.jpg?8505,False,20 000 FCFA,78%,5 out of 5,(1)
WD ELEMENT Boitier disque dur externe 3.0 WD Elément,4 500 FCFA,https://www.jumia.sn/wd-element-boitier-disque-dur-externe-3.0-wd-element-9977654.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/45/67799/1.jpg?4456,False,7 000 FCFA,36%,,
Generic 2 En 1 Clé USB De Mémoire Flash OTG De 64 Go Pour Android/PC,5 200 FCFA,https://www.jumia.sn/generic-2-en-1-cle-usb-de-memoire-flash-otg-de-64-go-pour-androidpc-9790744.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/44/70979/1.jpg?5457,True,6 520 FCFA,20%,,
Generic Clé USB - 64 Go - Gris,5 800 FCFA,https://www.jumia.sn/generic-cle-usb-64-go-gris-4092979.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/97/92904/1.jpg?7906,False,15 000 FCFA,61%,3.4 out of 5,(8)
Generic Adaptateur OTG Micro USB mâle vers USB 3.1 femelle COULEUR Gris,962 FCFA,https://www.jumia.sn/generic-adaptateur-otg-micro-usb-male-vers-usb-3.1-femelle-couleur-gris-9792117.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/71/12979/1.jpg?3964,False,,,,
Western Digital Boîtier de disque dur USB 3.0 Boîtier pour disque dur externe WD My Passport Ultra,6 500 FCFA,https://www.jumia.sn/western-digital-boitier-de-disque-dur-usb-3.0-boitier-pour-disque-dur-externe-wd-my-passport-ultra-9998559.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/95/58999/1.jpg?1404,False,12 000 FCFA,46%,,
Pomme Boitier Disque dur Externe WD 2.0,5 250 FCFA,https://www.jumia.sn/pomme-boitier-disque-dur-externe-wd-2.0-9459701.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/10/79549/1.jpg?8307,False,7 500 FCFA,30%,3 out of 5,(3)
Generic 2 En 1 Clé USB De Mémoire Flash OTG De 64 Go Pour Android/PC,5 200 FCFA,https://www.jumia.sn/generic-2-en-1-cle-usb-de-memoire-flash-otg-de-64-go-pour-androidpc-9790745.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/54/70979/1.jpg?5454,True,6 900 FCFA,25%,,
