name,price,descrption_link,img_link,jumia_express,old_price,decrease_percentage,n_stars,n_votes
"Lenosed kids Tab 6 Tablette enfant - Ecran 7"" - ROM 16go - RAM 2go + lunettes offertes et cadeau offert- Jaune",19 900 FCFA,https://www.jumia.sn/lenosed-kids-tab-6-tablette-enfant-ecran-7-rom-16go-ram-2go-lunettes-offertes-et-cadeau-offert-jaune-10018766.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/66/781001/1.jpg?6107,True,34 900 FCFA,43%,,
"Lenosed kids Tab 6 Tablette enfant - Ecran 7"" - ROM 16go - RAM 2go + lunettes offertes et cadeau offert- Bleu",19 900 FCFA,https://www.jumia.sn/lenosed-kids-tab-6-tablette-enfant-ecran-7-rom-16go-ram-2go-lunettes-offertes-et-cadeau-offert-bleu-10003100.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/00/130001/1.jpg?0437,True,34 900 FCFA,43%,,
"BEBE TAB Tablette - Ecran 7"" - RAM 2 Go - ROM 32Go - Caméra 0.3 Mégapixels - rose",26 500 FCFA,https://www.jumia.sn/bebe-tab-tablette-ecran-7-ram-2-go-rom-32go-camera-0.3-megapixels-rose-9922928.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/82/92299/1.jpg?1193,False,,,,
"Discover Tablette pc educative discover 5G - Rom 64go - Ram 4go - Ecran 10"" - noir",60 900 FCFA,https://www.jumia.sn/discover-tablette-pc-educative-discover-5g-rom-64go-ram-4go-ecran-10-noir-9922945.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/54/92299/1.jpg?4219,False,75 000 FCFA,19%,4.5 out of 5,(2)
Idea Tablette Tab Dual SIM 4G LTE Écran7” pouces Stockage 16GB,29 500 FCFA,https://www.jumia.sn/idea-tablette-tab-dual-sim-4g-lte-ecran7-pouces-stockage-16gb-9827334.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/43/37289/1.jpg?5679,False,33 500 FCFA,12%,3.5 out of 5,(4)
"Generic Tablette - Ecran 7"" - RAM 1 Go - ROM 16 Go - Caméra 0.3 Mégapixels - rose",25 900 FCFA,https://www.jumia.sn/generic-tablette-ecran-7-ram-1-go-rom-16-go-camera-0.3-megapixels-rose-9489222.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/22/29849/1.jpg?6410,False,30 900 FCFA,16%,3.7 out of 5,(6)
"Cidea Tablette enfant - Ecran 7"" - RAM 2Go - ROM 16 Go - Caméra 0.3 Mégapixels - bleu",30 000 FCFA,https://www.jumia.sn/cidea-tablette-enfant-ecran-7-ram-2go-rom-16-go-camera-0.3-megapixels-bleu-9922946.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/64/92299/1.jpg?1194,False,45 000 FCFA,33%,,
"BEBE TAB Tablette - Ecran 7"" - RAM 2Go - ROM 16 Go - Caméra 0.3 Mégapixels - noir",25 000 FCFA,https://www.jumia.sn/bebe-tab-tablette-ecran-7-ram-2go-rom-16-go-camera-0.3-megapixels-noir-9922930.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/03/92299/1.jpg?1193,False,,,2 out of 5,(1)
"Generic Tablette - 4G LTE - Ecran 10"" - Dual Sim - ROM 64Go - RAM 4Go - noir",53 900 FCFA,https://www.jumia.sn/generic-tablette-4g-lte-ecran-10-dual-sim-rom-64go-ram-4go-noir-9841706.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/60/71489/1.jpg?1603,False,65 000 FCFA,17%,1 out of 5,(1)
Atouch Tablette enfant Atouch X11 – 4G – Ecran 7″ – Mémoire 32 Go – RAM 3 Go – purple,33 000 FCFA,https://www.jumia.sn/atouch-tablette-enfant-atouch-x11-4g-ecran-7-memoire-32-go-ram-3-go-purple-9922942.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/24/92299/1.jpg?1194,False,,,5 out of 5,(1)
