name,price,descrption_link,img_link,jumia_express,old_price,decrease_percentage,n_stars,n_votes
Tecno POP 2F - 5.5’’ - Double SIM - ROM 16 Go - RAM 1 Go - Caméra 8/5 Mp - Batterie : 2400mAh - Noir,32 900 FCFA,https://www.jumia.sn/tecno-pop-2f-5.5-double-sim-rom-16-go-ram-1-go-camera-85-mp-batterie-2400mah-noir-5977478.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/87/47795/1.jpg?5803,True,47 970 FCFA,31%,3.7 out of 5,(64)
"Tecno Spark 8P- 6.6"" - ROM 64Go - RAM 4Go - Caméra 50MP/8MP - 5000mAh - Tahiti Gold",73 550 FCFA,https://www.jumia.sn/tecno-spark-8p-6.6-rom-64go-ram-4go-camera-50mp8mp-5000mah-tahiti-gold-9790229.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/92/20979/1.jpg?6263,True,95 000 FCFA,23%,4.7 out of 5,(19)
"Tecno Pova Neo- Ecran 6.8"" - ROM 64Go - RAM 4Go - Caméra13MP/8MP Dual flash Batterie 6000mAh - Bleu",60 900 FCFA,https://www.jumia.sn/tecno-pova-neo-ecran-6.8-rom-64go-ram-4go-camera13mp8mp-dual-flash-batterie-6000mah-bleu-9844854.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/45/84489/1.jpg?0177,True,100 000 FCFA,39%,4 out of 5,(1)
"Tecno T101-Écran1.77"" - RAM 32 Mo - ROM 32 Mo - Dual Sim - Batterie 1000 mAh - Noir",5 900 FCFA,https://www.jumia.sn/tecno-t101-ecran1.77-ram-32-mo-rom-32-mo-dual-sim-batterie-1000-mah-noir-8841036.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/63/01488/1.jpg?3376,True,10 000 FCFA,41%,3.8 out of 5,(96)
"Tecno POP 5 Go - 3G - Ecran 5.71"" - ROM 16Go Ram 1Go - Caméra front 5MP arrière 5MP - Batterie 4000mAh - Bleu",35 750 FCFA,https://www.jumia.sn/tecno-pop-5-go-3g-ecran-5.71-rom-16go-ram-1go-camera-front-5mp-arriere-5mp-batterie-4000mah-bleu-9844336.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/63/34489/1.jpg?2473,True,50 000 FCFA,29%,4 out of 5,(3)
Tecno Spark 8C – Écran 6.6″ – ROM 64GB – RAM 2GB – Caméra 13/8MP – Gris,63 900 FCFA,https://www.jumia.sn/tecno-spark-8c-ecran-6.6-rom-64gb-ram-2gb-camera-138mp-gris-9979136.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/63/19799/1.jpg?8434,True,100 000 FCFA,36%,4 out of 5,(7)
Tecno Spark 8C – Écran 6.6″ – ROM 64GB – RAM 2GB – Caméra 13/8MP – Noir,63 750 FCFA,https://www.jumia.sn/spark-8c-ecran-6.6-rom-64gb-ram-2gb-camera-138mp-noir-tecno-mpg46405.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/17/76299/1.jpg?6263,True,100 000 FCFA,36%,4.1 out of 5,(9)
Tecno Spark 8C – Écran 6.6″ – ROM 64GB – RAM 3GB – Caméra 13/8MP – Cyan,69 900 FCFA,https://www.jumia.sn/tecno-spark-8c-ecran-6.6-rom-64gb-ram-3gb-camera-138mp-cyan-9944351.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/15/34499/1.jpg?2475,True,100 000 FCFA,30%,3.5 out of 5,(6)
"Tecno Camon 18i - 6.55"" -ROM 128Go- RAM 4Go -Camera 48MP / 8 MP- 5000mAh - Space Grey",90 900 FCFA,https://www.jumia.sn/camon-18i-ecran-6.55-rom-128go-ram-4go-camera-arriere-48mp-front-8-mp-5000mah-space-grey-tecno-mpg43599.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/74/71379/1.jpg?1754,True,120 000 FCFA,24%,3.7 out of 5,(25)
"Tecno T402 - 3 SIM - ROM 8MB - RAM 8MB - 1500 mAh - 2.4""- Gold",8 500 FCFA,https://www.jumia.sn/tecno-t402-3-sim-rom-8mb-ram-8mb-1500-mah-2.4-gold-8837573.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/37/57388/1.jpg?0558,True,20 000 FCFA,58%,4.4 out of 5,(26)
