name,price,descrption_link,img_link,jumia_express,old_price,decrease_percentage,n_stars,n_votes
"Mione AB1 -Écran1.44"" - RAM 32 Mo - ROM 32 Mo - Dual Sim - Batterie 800 mAh - Noir/Rouge",3 900 FCFA,https://www.jumia.sn/mione-ab1-ecran1.44-ram-32-mo-rom-32-mo-dual-sim-batterie-800-mah-noirrouge-10003095.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/59/030001/1.jpg?5211,True,10 000 FCFA,61%,,
"Mione F6 -Écran1.77"" - RAM 64 Mo - ROM 32 Mo - Dual Sim - Batterie 10000 mAh - Noir",4 900 FCFA,https://www.jumia.sn/mione-f6-ecran1.77-ram-64-mo-rom-32-mo-dual-sim-batterie-10000-mah-noir-10003104.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/40/130001/1.jpg?7228,True,10 000 FCFA,51%,,
"Tecno T101-Écran1.77"" - RAM 32 Mo - ROM 32 Mo - Dual Sim - Batterie 1000 mAh - Noir",5 900 FCFA,https://www.jumia.sn/tecno-t101-ecran1.77-ram-32-mo-rom-32-mo-dual-sim-batterie-1000-mah-noir-8841036.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/63/01488/1.jpg?3376,True,10 000 FCFA,41%,3.8 out of 5,(96)
"Tecno T402 - 3 SIM - ROM 8MB - RAM 8MB - 1500 mAh - 2.4""- Gold",8 500 FCFA,https://www.jumia.sn/tecno-t402-3-sim-rom-8mb-ram-8mb-1500-mah-2.4-gold-8837573.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/37/57388/1.jpg?0558,True,20 000 FCFA,58%,4.4 out of 5,(26)
"Tecno T101- Écran 1.77"" - RAM 32 Mo - ROM 32 Mo - Dual Sim - 1000 mAh - Bleu",5 900 FCFA,https://www.jumia.sn/tecno-t101-ecran-1.77-ram-32-mo-rom-32-mo-dual-sim-1000-mah-bleu-8849871.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/17/89488/1.jpg?7064,True,10 000 FCFA,41%,3.8 out of 5,(38)
"Tecno T301- Écran 1.77"" - RAM 4 Mo - ROM 4 Mo - Dual Sim - Batterie 1150 mAh - Noir",7 670 FCFA,https://www.jumia.sn/tecno-t301-ecran-1.77-ram-4-mo-rom-4-mo-dual-sim-batterie-1150-mah-noir-8837575.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/57/57388/1.jpg?0558,True,,,3.9 out of 5,(20)
"Oking OK - 28mini - Ecran 1,7"" - Double SIM - Battarie : 3000mAh - FM Radio - Double Torche - 12 Mois Garantie",8 900 FCFA,https://www.jumia.sn/ok-28mini-ecran-17-double-sim-battarie-3000mah-fm-radio-double-torche-12-mois-garantie-oking-mpg14562.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/50/78192/1.jpg?6026,False,9 500 FCFA,6%,4.1 out of 5,(13)
"Nokia - 105 - 1.8"" - Dual SIM - FM Radio Lamp Torch - 1020mAh - Noir",9 500 FCFA,https://www.jumia.sn/nokia-105-1.8-dual-sim-fm-radio-lamp-torch-1020mah-noir-9974264.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/46/24799/1.jpg?8271,False,12 500 FCFA,24%,,
"Tecno T528 - Écran 130 x 57 x 14.5mm "" - 16 Mo ROM + 8 Mo RAM - Dual Sim - Batterie 2500 mAh - Gris",11 900 FCFA,https://www.jumia.sn/tecno-t528-ecran-130-x-57-x-14.5mm-16-mo-rom-8-mo-ram-dual-sim-batterie-2500-mah-gris-8849872.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/27/89488/1.jpg?4008,True,16 770 FCFA,29%,4.3 out of 5,(6)
"Mione F6 -Écran1.77"" - RAM 64 Mo - ROM 32 Mo - Dual Sim - Batterie 1000 mAh - Rouge",4 900 FCFA,https://www.jumia.sn/mione-f6-ecran1.77-ram-64-mo-rom-32-mo-dual-sim-batterie-1000-mah-rouge-10003097.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/79/030001/1.jpg?0436,True,10 000 FCFA,51%,,
"Nokia - 150 - 2.4"" - 5MP - FM Radio - Lampe Torche - BT - 1020 mAh",16 800 FCFA,https://www.jumia.sn/nokia-150-2.4-5mp-fm-radio-lampe-torche-bt-1020-mah-10000199.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/99/100001/1.jpg?0955,False,19 000 FCFA,12%,,
"Oking OK699 - Ecran 1,7"" - Double SIM - Battarie : 2500 mAh - FM Radio - Super Lamp Torche",5 900 FCFA,https://www.jumia.sn/oking-ok699-ecran-17-double-sim-battarie-2500-mah-fm-radio-super-lamp-torche-10028896.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/69/882001/1.jpg?2501,False,6 900 FCFA,14%,,
"Samsung B310 - Dual Sim - Ecran 1.45"" - Radio Fm - 800 mAh - Bleu",14 500 FCFA,https://www.jumia.sn/b310-dual-sim-ecran-1.45-radio-fm-800-mah-bleu-samsung-mpg37512.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/83/769/1.jpg?6105,False,20 000 FCFA,28%,4.3 out of 5,(4)
"Tecno T660 - 2.4"" - RAM 16Mo - ROM 8Mo - FM Radio Lamp Torch - BT - 1100mAh - Silver",10 550 FCFA,https://www.jumia.sn/tecno-t660-2.4-ram-16mo-rom-8mo-fm-radio-lamp-torch-bt-1100mah-silver-8837570.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/07/57388/1.jpg?2779,True,15 000 FCFA,30%,4.5 out of 5,(15)
"Tecno T467- Écran 2.4"" - RAM 4 Mo - ROM 4 Mo - Triple Sim - 2500 mAh - Noir",10 025 FCFA,https://www.jumia.sn/tecno-t467-ecran-2.4-ram-4-mo-rom-4-mo-triple-sim-2500-mah-noir-9838283.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/38/28389/1.jpg?5214,True,15 000 FCFA,33%,4 out of 5,(2)
Tecno T529 - Écran 139*59*14.1mm - 16 Mb ROM + 8 Mb RAM - Dual Sim - Batterie 2500 mAh - Gold,11 600 FCFA,https://www.jumia.sn/tecno-t529-ecran-1395914.1mm-16-mb-rom-8-mb-ram-dual-sim-batterie-2500-mah-gold-9838289.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/98/28389/1.jpg?5802,True,16 770 FCFA,31%,,
Tecno T529 - Écran 139*59*14.1mm - 16 Mb ROM + 8 Mb RAM - Dual Sim - Batterie 2500 mAh - violet,11 600 FCFA,https://www.jumia.sn/tecno-t529-ecran-1395914.1mm-16-mb-rom-8-mb-ram-dual-sim-batterie-2500-mah-violet-9838287.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/78/28389/1.jpg?4007,True,16 770 FCFA,31%,,
Nokia 105 dual Sim,10 500 FCFA,https://www.jumia.sn/105-dual-sim-black-nokia-mpg37068.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/60/11339/1.jpg?1972,False,15 000 FCFA,30%,3.5 out of 5,(6)
"Tecno T352- Écran 1.77"" - RAM 4 Mo - ROM 4 Mo - Dual Sim - Facebook préinstallé - Batterie 2500 mAh - Noir",7 900 FCFA,https://www.jumia.sn/tecno-t352-ecran-1.77-ram-4-mo-rom-4-mo-dual-sim-facebook-preinstalle-batterie-2500-mah-noir-9838279.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/97/28389/1.jpg?5802,True,15 000 FCFA,47%,5 out of 5,(2)
"Tecno T454- Écran 2.8"" - RAM 4 Mo - ROM 4 Mo - Dual Sim - Facebook préinstallé - Batterie 1500 mAh - Noir",9 900 FCFA,https://www.jumia.sn/tecno-t454-ecran-2.8-ram-4-mo-rom-4-mo-dual-sim-facebook-preinstalle-batterie-1500-mah-noir-9838280.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/08/28389/1.jpg?5802,True,15 000 FCFA,34%,,
"Samsung B310 - Dual Sim - Ecran 1.45"" - Radio Fm - 800 mAh - Blanc",14 500 FCFA,https://www.jumia.sn/b310-dual-sim-ecran-1.45-radio-fm-800-mah-blanc-samsung-mpg44996.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/78/51489/1.jpg?2492,False,20 000 FCFA,28%,5 out of 5,(1)
"Tecno T301- Écran 1.7"" - RAM 4 Mo - ROM 4 Mo - Dual Sim - Batterie 1150 mAh - Doré",6 900 FCFA,https://www.jumia.sn/tecno-t301-ecran-1.7-ram-4-mo-rom-4-mo-dual-sim-batterie-1150-mah-dore-8837574.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/47/57388/1.jpg?4007,True,7 080 FCFA,3%,,
"Itel It 5081 - 2.4"" - 3 SIM - Batterie : 1200mAh - FM Radio - Lamp Torch - Ultra Mince",8 900 FCFA,https://www.jumia.sn/itel-it-5081-2.4-3-sim-batterie-1200mah-fm-radio-lamp-torch-ultra-mince-4012671.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/17/62104/1.jpg?6276,False,18 000 FCFA,51%,3.5 out of 5,(2)
"Tecno T528 - Écran 130 x 57 x 14.5mm "" - 16 Mo ROM + 8 Mo RAM - Dual Sim - Batterie 2500 mAh - Gold",12 900 FCFA,https://www.jumia.sn/tecno-t528-ecran-130-x-57-x-14.5mm-16-mo-rom-8-mo-ram-dual-sim-batterie-2500-mah-gold-8849882.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/28/89488/1.jpg?4011,True,16 770 FCFA,23%,1 out of 5,(1)
Itel IT 5081 - Triple Sim - 64MB ROM - 64MB RAM 1200mAh -,9 500 FCFA,https://www.jumia.sn/it-5081-triple-sim-4mb-rom-4mb-ram-1000mah-bleu-itel-mpg36693.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/23/279/1.jpg?5164,False,17 900 FCFA,47%,4.8 out of 5,(4)
"Itel It 2160 - Dual SIM, 1.77 Pouces - 1.3 Mégapixels - 4 MB RAM - 4 MB Rom- 1000mAh - FM - Lampe Torche - Noir",6 500 FCFA,https://www.jumia.sn/itel-it2160-dual-sim-1.77-pouces-1.3-megapixels-4-mb-ram-4-mb-rom-battery-1000mah-fm-lampe-torche-noir-itel-mpg3100.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/91/41121/1.jpg?3787,False,9 000 FCFA,28%,3.5 out of 5,(12)
Samsung E1205 Keystone 2 - 1 sim - Noir,11 900 FCFA - 13 990 FCFA,https://www.jumia.sn/e1205-keystone-2-1-sim-noir-samsung-mpg37539.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/30/6374/1.jpg?6415,False,,,5 out of 5,(1)
"Nokia - 210 - 2.4"" - Dual SIM - 0.3Mp - FM Radio Lamp Torch - 1020mAh - Noir",19 900 FCFA,https://www.jumia.sn/nokia-210-2.4-dual-sim-0.3mp-fm-radio-lamp-torch-1020mah-noir-9927224.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/42/27299/1.jpg?2459,False,25 000 FCFA,20%,,
"Tecno T402 - 3 SIM - ROM: 8MB - RAM: 8MB - 1500 mAh - 2.4""- Noir",9 050 FCFA,https://www.jumia.sn/tecno-t402-3-sim-rom-8mb-ram-8mb-1500-mah-2.4-noir-8837572.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/27/57388/1.jpg?4007,True,11 050 FCFA,18%,3.2 out of 5,(13)
"Q10 - Ecran 2,8"" - Double SIM - Ultra Slim - BT Call - Battarie : 1300 mAh - FM Radio - Super Lamp Torche - Dore",17 300 FCFA,https://www.jumia.sn/x-tigi-q10-ecran-28-double-sim-ultra-slim-bt-call-battarie-1300-mah-fm-radio-super-lamp-torche-dore-5935285.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/58/25395/1.jpg?5270,False,25 000 FCFA,31%,5 out of 5,(1)
"Samhe S5703 - Dual SIM - 1.77"" - FM Radio Lamp Torch - BT - 2500 mAh",6 700 FCFA,https://www.jumia.sn/s5703-dual-sim-1.77-fm-radio-lamp-torch-bt-2500-mah-samhe-mpg44995.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/06/51489/1.jpg?2491,False,10 000 FCFA,33%,,
"Samsung E1205 - 1.52"" -1 SIM- FM Radio - 800mAh - Noir",11 500 FCFA,https://www.jumia.sn/samsung-e1205-1.52-1-sim-fm-radio-800mah-noir-9970671.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/17/60799/1.jpg?1997,False,14 900 FCFA,23%,,
"Nokia 3310 Series 30 - Ecran : 2.4"" QVGA - Résolution de 320 x 240 pixelsr 167 ppi RAM : 16 Mo APN : 2 MP avec flash Led -Bleu",24 900 FCFA,https://www.jumia.sn/nokia-3310-series-30-ecran-2.4-qvga-resolution-de-320-x-240-pixelsr-167-ppi-ram-16-mo-apn-2-mp-avec-flash-led-bleu-98534.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/43/589/1.jpg?6884,False,35 000 FCFA,29%,3 out of 5,(2)
"Nokia 5310 - 2.4"" - Dual SIM - 16Mo - FM Radio Lamp Torch - BT - 1200mAh - Noir",24 900 FCFA,https://www.jumia.sn/nokia-5310-2.4-dual-sim-16mo-fm-radio-lamp-torch-bt-1200mah-noir-9828564.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/46/58289/1.jpg?6846,False,27 000 FCFA,8%,,
