name,price,descrption_link,img_link,jumia_express,old_price,decrease_percentage,n_stars,n_votes
Generic Carte Mémoire Micro Sd - 32GB - Noir,1 798 FCFA,https://www.jumia.sn/generic-carte-memoire-micro-sd-32gb-noir-6094109.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/90/14906/1.jpg?4413,True,3 525 FCFA,49%,3.5 out of 5,(43)
Taiwan Carte mémoire TF Micro SD - 32GB - Nior,2 590 FCFA,https://www.jumia.sn/carte-memoire-tf-micro-sd-32gb-nior-taiwan-mpg45909.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/02/63581/1.jpg?4441,True,3 772 FCFA,31%,3.7 out of 5,(317)
Generic 32GB Carte Mémoire Micro SD Carte Flash TF Carte,4 800 FCFA,https://www.jumia.sn/32gb-carte-memoire-micro-sd-carte-flash-tf-carte-generic-mpg28313.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/05/94606/1.jpg?1521,False,7 500 FCFA,36%,4.4 out of 5,(16)
"Pny Carte Mémoire microSDXC 128 Go + Adaptateur SD, Vitesse de lecture 100 Mo/s, Classe 10 UHS-I, U1",18 000 FCFA,https://www.jumia.sn/pny-carte-memoire-microsdxc-128-go-adaptateur-sd-vitesse-de-lecture-100-mos-classe-10-uhs-i-u1-9961029.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/92/01699/1.jpg?7640,False,25 000 FCFA,28%,,
Generic Carte Mémoire - 64GB - Rouge / Blanc,4 990 FCFA,https://www.jumia.sn/generic-carte-memoire-64gb-rouge-blanc-9795782.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/28/75979/1.jpg?5451,True,5 990 FCFA,17%,,
Generic Carte Mémoire 8 Gb Micro SD HC - Full Capacité Garantie - Noir,2 900 FCFA,https://www.jumia.sn/generic-carte-memoire-8-gb-micro-sd-hc-full-capacite-garantie-noir-4174065.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/56/04714/1.jpg?9960,False,8 000 FCFA,64%,5 out of 5,(3)
Generic Carte Mémoire 32Gb Micro SD HC - Full Capacité Garantie - Noir,6 200 FCFA,https://www.jumia.sn/generic-carte-memoire-32gb-micro-sd-hc-full-capacite-garantie-noir-4174064.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/46/04714/1.jpg?9696,False,14 000 FCFA,56%,,
Imation Clé USB 16 Gigas - Noir,3 700 FCFA,https://www.jumia.sn/imation-cle-usb-16-gigas-noir-9992017.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/71/02999/1.jpg?4251,False,4 500 FCFA,18%,,
Generic Carte Mémoire - 32GB - Rouge / Blanc,3 990 FCFA,https://www.jumia.sn/generic-carte-memoire-32gb-rouge-blanc-9795781.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/18/75979/1.jpg?5454,True,4 950 FCFA,19%,,
Sandisk Carte Mémoire 16 Go - Noir,3 500 FCFA,https://www.jumia.sn/carte-memoire-16-go-noir-sandisk-mpg5203.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/99/26253/1.jpg?3919,False,,,5 out of 5,(2)
Micro Carte Micro SD 16Go - Noir,4 900 FCFA,https://www.jumia.sn/micro-carte-micro-sd-16go-noir-983164.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/46/1389/1.jpg?1867,False,,,4 out of 5,(1)
DAKEWEI SN Carte Mémoire 8 GB - Noir,5 000 FCFA,https://www.jumia.sn/carte-memoire-8-gb-noir-dakewei-sn-mpg16907.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/64/70512/1.jpg?0011,False,,,2.5 out of 5,(4)
Generic CARTE MÉMOIRE 32 GO,4 999 FCFA,https://www.jumia.sn/carte-memoire-32-go-generic-mpg20082.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/94/83962/1.jpg?8254,False,7 500 FCFA,33%,3.3 out of 5,(21)
Imation Clé USB - 4 Go - Noir,3 045 FCFA,https://www.jumia.sn/cle-usb-4-go-noir-imation-mpg12255.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/28/71649/1.jpg?3128,False,3 750 FCFA,19%,,
DAKEWEI SN Carte Mémoire 16 GB - Noir,7 500 FCFA,https://www.jumia.sn/carte-memoire-16-gb-noir-dakewei-sn-mpg10129.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/62/527/1.jpg?6152,False,,,3.9 out of 5,(14)
Generic Clé USB 16 Gigas - Noir,3 586 FCFA,https://www.jumia.sn/cle-usb-16-gigas-noir-generic-mpg20100.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/16/36089/1.jpg?0122,False,7 000 FCFA,49%,,
DAKEWEI SN Carte Mémoire 4 GB - Noir,2 660 FCFA,https://www.jumia.sn/carte-memoire-4-gb-noir-dakewei-sn-mpg16906.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/69/22779/1.jpg?6562,False,10 500 FCFA,75%,4 out of 5,(2)
Imation Clé USB - 4 Go - Noir,3 900 FCFA,https://www.jumia.sn/imation-cle-usb-4-go-noir-10042989.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/98/924001/1.jpg?1753,False,12 000 FCFA,68%,,
