name,price,descrption_link,img_link,jumia_express,old_price,decrease_percentage,n_stars,n_votes
POTEAUX FILET DE PING PONG R�GLABLE ROLLNET BLEU/BLANC by decathlon,9 095 FCFA,https://www.jumia.sn/decathlon-poteaux-filet-de-ping-pong-rglable-rollnet-bleublanc-by-decathlon-6093466.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/66/43906/1.jpg?6945,False,,,,
White Label Boli Star - Ensemble de raquettes de tennis de table,10 000 FCFA,https://www.jumia.sn/white-label-boli-star-ensemble-de-raquettes-de-tennis-de-table-9851255.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/55/21589/1.jpg?1340,False,15 000 FCFA,33%,,
TABLE DE PING PONG PPT 130 SMALL INDOOR by decathlon,76 505 FCFA,https://www.jumia.sn/decathlon-table-de-ping-pong-ppt-130-small-indoor-by-decathlon-6095063.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/36/05906/1.jpg?5455,False,,,,
SET 2 RAQUETTES DE PING PONG PPR 100 SMALL ET 3 BALLES by decathlon,7 490 FCFA,https://www.jumia.sn/decathlon-set-2-raquettes-de-ping-pong-ppr-100-small-et-3-balles-by-decathlon-6095060.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/06/05906/1.jpg?5451,False,,,,
BALLES DE TENNIS DE TABLE TTB 100 1* 4+ X6 BLANCHE by decathlon,1 605 FCFA,https://www.jumia.sn/decathlon-balles-de-tennis-de-table-ttb-100-1-4-x6-blanche-by-decathlon-6093409.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/90/43906/1.jpg?4356,False,,,,
PONGORI TABLE DE PING PONG EXTERIEUR PPT 130 BLEUE By Decathlon,319 930 FCFA,https://www.jumia.sn/pongori-table-de-ping-pong-exterieur-ppt-130-bleue-by-decathlon-9907897.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/79/87099/1.jpg?1788,False,,,,
FILET DE TENNIS DE TABLE FREE NET 155 CM by decathlon,6 420 FCFA,https://www.jumia.sn/decathlon-filet-de-tennis-de-table-free-net-155-cm-by-decathlon-6093368.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/86/33906/1.jpg?2115,False,,,,
PONGORI Raquette De Tennis De Table Club Ttr 500 5* Allround,18 190 FCFA,https://www.jumia.sn/pongori-raquette-de-tennis-de-table-club-ttr-500-5-allround-10023072.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/27/032001/1.jpg?7411,False,,,,
Generic Table De Ping Pong Extérieure Ppt 900 Grise By Decathlon,448 330 FCFA,https://www.jumia.sn/generic-table-de-ping-pong-exterieure-ppt-900-grise-by-decathlon-6044538.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/83/54406/1.jpg?6764,False,,,,
SET TENNIS DE TABLE FREE : PPR 130 + 3 BALLES by decathlon,10 165 FCFA,https://www.jumia.sn/decathlon-set-tennis-de-table-free-ppr-130-3-balles-by-decathlon-6093470.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/07/43906/1.jpg?6947,False,,,,
PONGORI Set De 2 Raquettes Ttr 100 3* Allround Et 3 Balles Orange Ttb 100* 40+,18 190 FCFA,https://www.jumia.sn/pongori-set-de-2-raquettes-ttr-100-3-allround-et-3-balles-orange-ttb-100-40-10022688.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/88/622001/1.jpg?1432,False,,,,
RAQUETTE DE PING PONG R�SISTANTE PPR 100 O GRISE by decathlon,4 815 FCFA,https://www.jumia.sn/decathlon-raquette-de-ping-pong-rsistante-ppr-100-o-grise-by-decathlon-6077340.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/04/37706/1.jpg?9697,False,,,5 out of 5,(1)
Generic Table De Ping Pong Extérieure Ppt 500 Bleue By Decathlon,373 430 FCFA,https://www.jumia.sn/generic-table-de-ping-pong-exterieure-ppt-500-bleue-by-decathlon-6044537.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/73/54406/1.jpg?6761,False,,,,
PONGORI Table De Ping Pong Extérieure Ppt 900.2 Grise,460 984 FCFA,https://www.jumia.sn/pongori-table-de-ping-pong-exterieure-ppt-900.2-grise-10028196.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/69/182001/1.jpg?0264,False,,,,
"Artengo Pack De Speedball (1mât, 2 Raquettes Et 1 Balle) Turnball Noir Jaune",39 055 FCFA,https://www.jumia.sn/artengo-pack-de-speedball-1mat-2-raquettes-et-1-balle-turnball-noir-jaune-10024848.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/84/842001/1.jpg?4081,False,,,,
PONGORI Table De Ping Pong Extérieure Ppt 500.2 Bleue,346 629 FCFA,https://www.jumia.sn/pongori-table-de-ping-pong-exterieure-ppt-500.2-bleue-10028195.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/59/182001/1.jpg?0266,False,,,,
PONGORI Raquette De Tennis De Table en École Ttr 100 3* Allround,10 165 FCFA,https://www.jumia.sn/pongori-raquette-de-tennis-de-table-en-ecole-ttr-100-3-allround-10023070.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/07/032001/1.jpg?7411,False,,,,
