name,price,descrption_link,img_link,jumia_express,old_price,decrease_percentage,n_stars,n_votes
TOPICREM Duo - Ultra-Hydratant Lait Corps - 2x500ML - Rose / Blanc,11 990 FCFA,https://www.jumia.sn/topicrem-duo-ultra-hydratant-lait-corps-2x500ml-rose-blanc-448374.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/47/3844/1.jpg?6602,True,28 000 FCFA,57%,4.3 out of 5,(165)
TOPICREM Soins hydratant Ultra Hydratant Lait Corps 500ML + Savon surgras 150G Offert,8 900 FCFA,https://www.jumia.sn/topicrem-soins-hydratant-ultra-hydratant-lait-corps-500ml-savon-surgras-150g-offert-6062260.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/06/22606/1.jpg?9985,True,22 000 FCFA,60%,4.2 out of 5,(24)
TOPICREM Duo Lait Éclaircissant Ultra-Hydratant - 500 ml - Blanc,22 990 FCFA,https://www.jumia.sn/topicrem-duo-lait-eclaircissant-ultra-hydratant-500-ml-blanc-1211924.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/42/91121/1.jpg?1099,True,64 000 FCFA,64%,4.4 out of 5,(135)
TOPICREM Gamme Eclaircissant complète - Lait+Crème jour+Crème Nuit + Sérum + Savon,39 990 FCFA,https://www.jumia.sn/topicrem-gamme-eclaircissant-complete-laitcreme-jourcreme-nuit-serum-savon-6034267.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/76/24306/1.jpg?0160,True,90 000 FCFA,56%,4.6 out of 5,(23)
TOPICREM Soins Mela Lait éclaircissant 500 ml + Savon exfoliant 150 gr Offert- Blanc,15 990 FCFA,https://www.jumia.sn/topicrem-soins-mela-lait-eclaircissant-500-ml-savon-exfoliant-150-gr-offert-blanc-6034268.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/86/24306/1.jpg?8543,True,40 000 FCFA,60%,4.2 out of 5,(29)
TOPICREM Coffret AC Soin Matifiant 40ML + Gel Nettoyant Purifiant 75ML Offert.,5 990 FCFA,https://www.jumia.sn/topicrem-coffret-ac-soin-matifiant-40ml-gel-nettoyant-purifiant-75ml-offert.-448370.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/07/3844/1.jpg?1100,True,11 000 FCFA,46%,3.9 out of 5,(33)
TOPICREM Ultra-hydratant stick lèvres 4 gr,1 990 FCFA,https://www.jumia.sn/topicrem-ultra-hydratant-stick-levres-4-gr-6077873.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/37/87706/1.jpg?6096,True,4 000 FCFA,50%,3.8 out of 5,(26)
TOPICREM Soins hyperpigmentation et tâches - Crème jour 40 ml + lait éclaircissant 500 ml - Blanc,17 990 FCFA,https://www.jumia.sn/topicrem-soins-hyperpigmentation-et-taches-creme-jour-40-ml-lait-eclaircissant-500-ml-blanc-8821861.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/16/81288/1.jpg?3744,True,45 000 FCFA,60%,4.4 out of 5,(14)
TOPICREM Mela Crème Correctrice jour - 40 ml,9 990 FCFA,https://www.jumia.sn/topicrem-mela-creme-correctrice-jour-40-ml-448383.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/38/3844/1.jpg?1100,True,18 000 FCFA,45%,3.8 out of 5,(28)
TOPICREM DA Baume émollient - 500 ml - Blanc,9 990 FCFA,https://www.jumia.sn/topicrem-da-baume-emollient-500-ml-blanc-1211926.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/62/91121/1.jpg?4160,True,18 000 FCFA,45%,4.4 out of 5,(75)
TOPICREM Soins bébé : Mon 1er Lait Ultra-Hydratant 500ml+ Pain surgras 150 gr,8 990 FCFA,https://www.jumia.sn/topicrem-soins-bebe-mon-1er-lait-ultra-hydratant-500ml-pain-surgras-150-gr-6034269.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/96/24306/1.jpg?4646,True,22 000 FCFA,59%,4 out of 5,(6)
TOPICREM AC Gel Nettoyant Purifiant - 400 ml,7 990 FCFA,https://www.jumia.sn/topicrem-ac-gel-nettoyant-purifiant-400-ml-448373.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/37/3844/1.jpg?7714,True,12 000 FCFA,33%,4.3 out of 5,(37)
