name,price,descrption_link,img_link,jumia_express,old_price,decrease_percentage,n_stars,n_votes
LIVONA TV LED 32 pouces - 32LV100A - HD - Noir,64 900 FCFA,https://www.jumia.sn/livona-tv-led-32-pouces-32lv100a-hd-noir-9851931.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/13/91589/1.jpg?4884,True,80 000 FCFA,19%,3.8 out of 5,(18)
"Aiwa Téléviseur LED - Ecran 32"" - L/H 78 x 11 x 50 cm - HDMI x 2 USB x 2 - Noir",69 900 FCFA,https://www.jumia.sn/aiwa-televiseur-led-ecran-32-lh-78-x-11-x-50-cm-hdmi-x-2-usb-x-2-noir-2198697.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/79/68912/1.jpg?8593,True,150 000 FCFA,53%,4 out of 5,(236)
Jerry TV LED 19 Pouces - HD - Noir,26 900 FCFA,https://www.jumia.sn/tv-led-19-pouces-hdmi-usb-noir-jerry-mpg3127.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/22/93589/1.jpg?9383,True,35 000 FCFA,23%,4.1 out of 5,(17)
AMK Téléviseur LED 32 Pouces - HD 81 CM- AMK - Garantie 1 An Noir,70 900 FCFA,https://www.jumia.sn/amk-televiseur-led-32-pouces-hd-81-cm-amk-garantie-1-an-noir-9279318.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/81/39729/1.jpg?5004,True,90 000 FCFA,21%,3.9 out of 5,(19)
"Aiwa Téléviseur LED - Smart /Android 9.0TV - Ecran 32"" - Noir - Garantie 6 Mois",99 900 FCFA,https://www.jumia.sn/aiwa-televiseur-led-smart-android-9.0tv-ecran-32-noir-garantie-6-mois-5744700.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/00/74475/1.jpg?5044,True,109 990 FCFA,9%,4.2 out of 5,(55)
SMART TECHNOLOGY TV LED 43 Pouces - Full HD - Noir - Garantie 12 Mois + Support mural offert,124 900 FCFA,https://www.jumia.sn/smart-technology-tv-led-43-pouces-full-hd-noir-garantie-12-mois-support-mural-offert-9802733.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/33/72089/1.jpg?9648,True,175 000 FCFA,29%,4.1 out of 5,(14)
Hisense Téléviseur LED 32 Pouces - 32A6600FS - Smart TV Android - Garantie 12 Mois,99 900 FCFA,https://www.jumia.sn/hisense-televiseur-led-32-pouces-32a6600fs-smart-tv-android-garantie-12-mois-9811737.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/73/71189/1.jpg?4886,True,129 000 FCFA,23%,4 out of 5,(8)
Light Wave Smart TV Android 32 pouces,89 900 FCFA,https://www.jumia.sn/light-wave-smart-tv-android-32-pouces-9972315.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/51/32799/1.jpg?4786,True,99 900 FCFA,10%,4 out of 5,(1)
Jerry TV LED - Ecran 17 Pouces - HD - Noir,19 900 FCFA,https://www.jumia.sn/jerry-tv-led-ecran-17-pouces-hd-noir-10003123.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/32/130001/1.jpg?1540,True,28 000 FCFA,29%,,
Roch TV LED 32 Pouces avec Support Mural Gratuit - RH-LE32A-B,79 900 FCFA,https://www.jumia.sn/roch-tv-led-32-pouces-avec-support-mural-gratuit-rh-le32a-b-9838791.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/19/78389/1.jpg?8252,True,95 000 FCFA,16%,3.8 out of 5,(10)
Astech Téléviseur Smart TV (pas android) - 43 pouces 108 cm Garantie 12 mois,158 200 FCFA,https://www.jumia.sn/televiseur-smart-tv-pas-android-43-pouces-108-cm-garantie-12-mois-astech-mpg44885.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/91/94489/1.jpg?5766,True,165 000 FCFA,4%,3.9 out of 5,(7)
"Téléviseur CAC HD Smart TV 43"" Android 9.0 OS Design Ultra Fine Garantie 12 Mois",165 900 FCFA,https://www.jumia.sn/televiseur-cac-led-hd-smart-tv-43-android-9.0-os-design-ultra-fine-garantie-12-mois-cac-mpg40116.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/00/44089/1.jpg?7835,True,180 000 FCFA,8%,4.3 out of 5,(8)
Evvoli Téléviseur -Smart TV Android 50 Pouces - 4K QLED - Noir,292 000 FCFA,https://www.jumia.sn/evvoli-televiseur-smart-tv-android-50-pouces-4k-qled-noir-5975952.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/25/95795/1.jpg?7265,False,400 000 FCFA,27%,4.6 out of 5,(10)
Jerry TV LED - Ecran 19 Pouces - HD - Noir,28 200 FCFA,https://www.jumia.sn/jerry-tv-led-ecran-19-pouces-hd-noir-9840526.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/62/50489/1.jpg?8607,True,35 000 FCFA,19%,4.1 out of 5,(14)
SMART TECHNOLOGY TV LED 32 Pouces - Full HD - Noir - Garantie 12 Mois + Support mural offert,67 900 FCFA,https://www.jumia.sn/smart-technology-tv-led-32-pouces-full-hd-noir-garantie-12-mois-support-mural-offert-10029435.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/53/492001/1.jpg?7563,True,100 000 FCFA,32%,,
TV LED 32 Pouces - Full HD - Noir - Garantie 12 Mois,72 900 FCFA,https://www.jumia.sn/xper-tv-led-32-pouces-full-hd-noir-garantie-12-mois-9845828.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/82/85489/1.jpg?9525,True,100 000 FCFA,27%,4.8 out of 5,(4)
SMART TECHNOLOGY TV LED 32 Pouces - Full HD - Noir - Garantie 12 Mois + Support mural offert,71 200 FCFA,https://www.jumia.sn/smart-technology-tv-led-32-pouces-full-hd-noir-garantie-12-mois-support-mural-offert-10042173.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/37/124001/1.jpg?0175,True,100 000 FCFA,29%,,
Astech Téléviseur LED 32 Pouces - HD - Noir,82 300 FCFA,https://www.jumia.sn/televiseur-led-32-pouces-noir-astech-mpg11299.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/81/94489/1.jpg?6738,True,85 000 FCFA,3%,4.8 out of 5,(4)
"Aiwa Téléviseur LED - Ecran 40"" - TV 40 M7 JH40DT700S - HDMI x 3 - Noir",99 900 FCFA,https://www.jumia.sn/aiwa-televiseur-led-ecran-40-tv-40-m7-jh40dt700s-hdmi-x-3-noir-4732028.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/82/02374/1.jpg?2887,True,175 000 FCFA,43%,3.4 out of 5,(9)
Samsung Téléviseur - Samsung - Smart TV - 43 pouces - Full HD - Noir,295 000 FCFA,https://www.jumia.sn/televiseur-samsung-smart-tv-43-pouces-full-hd-noir-samsung-mpg42070.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/31/318/1.jpg?2618,False,,,4.8 out of 5,(5)
LIVONA Téléviseur LED - 43 pouces - Full HD - 43LV200D,119 900 FCFA,https://www.jumia.sn/livona-televiseur-led-43-pouces-full-hd-43lv200d-10000650.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/05/600001/1.jpg?4676,True,139 000 FCFA,14%,3 out of 5,(1)
Aiwa TV LED 40 Pouces - Smart TV Android 9.0 - Noir - Modèle - Garantie 6 Mois,129 900 FCFA,https://www.jumia.sn/aiwa-tv-led-40-pouces-smart-tv-android-9.0-noir-modele-garantie-6-mois-10023589.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/98/532001/1.jpg?9289,True,350 000 FCFA,63%,,
Astech TV LED - 43 Pouces - Full HD 1920x1080 Pixels - Noir,141 900 FCFA,https://www.jumia.sn/astech-tv-led-43-pouces-full-hd-1920x1080-pixels-noir-9844917.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/71/94489/1.jpg?1051,True,145 000 FCFA,2%,3.8 out of 5,(4)
Hisense Smart TV LED 43 Pouces - 43A6600FS - Full HD - Android - Noir - Garantie 12 mois,189 000 FCFA,https://www.jumia.sn/hisense-smart-tv-led-43-pouces-43a6600fs-full-hd-android-noir-garantie-12-mois-9959975.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/57/99599/1.jpg?9687,True,230 000 FCFA,18%,4 out of 5,(1)
Westpool TELEVISEUR 43 pouces SMART TV FHD WEBOS,168 000 FCFA,https://www.jumia.sn/westpool-televiseur-43-pouces-smart-tv-fhd-webos-9802941.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/14/92089/1.jpg?2157,True,350 000 FCFA,52%,3.9 out of 5,(10)
STAR-X TV LED 55 Pouces - Smart 4K Ultra HD - Noir,287 900 FCFA,https://www.jumia.sn/star-x-tv-led-55-pouces-smart-4k-ultra-hd-noir-3805948.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/84/95083/1.jpg?9749,False,415 000 FCFA,31%,4.2 out of 5,(6)
Smart TV LED 43 Pouces - Android TV - Full HD - Noir - Garantie 12 Mois,148 000 FCFA,https://www.jumia.sn/xper-smart-tv-led-43-pouces-android-tv-full-hd-noir-garantie-12-mois-9844347.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/74/34489/1.jpg?4437,True,200 000 FCFA,26%,3.6 out of 5,(10)
Elactron Téléviseur LED 43 pouces - TS4301N - HD - Noir - Garantie 12 Mois,138 000 FCFA,https://www.jumia.sn/elactron-televiseur-led-43-pouces-ts4301n-hd-noir-garantie-12-mois-9840462.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/26/40489/1.jpg?3055,True,150 000 FCFA,8%,4.7 out of 5,(3)
XIAOMI Mi TV Box S 4K - Noir,45 000 FCFA,https://www.jumia.sn/mi-tv-box-s-4k-noir-xiaomi-mpg45996.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/56/66589/1.jpg?5706,False,60 000 FCFA,25%,4.4 out of 5,(11)
Téléviseur LED - 19 pouces - 19LB600V,24 900 FCFA,https://www.jumia.sn/star-x-televiseur-led-19-pouces-19lb600v-10003157.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/75/130001/1.jpg?6683,True,32 000 FCFA,22%,,
Téléviseur LED Star X- 32 Pouces - Android - HD - Noir - Garantie 12 Mois,109 200 FCFA,https://www.jumia.sn/star-x-televiseur-led-star-x-32-pouces-android-hd-noir-garantie-12-mois-9791754.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/45/71979/1.jpg?4518,True,130 000 FCFA,16%,3.6 out of 5,(18)
Westpool Téléviseur LED - Ecran 32 Pouces - Smart- HD - Noir - Garantie 12 Mois,104 900 FCFA,https://www.jumia.sn/westpool-televiseur-led-ecran-32-pouces-smart-hd-noir-garantie-12-mois-9751535.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/53/51579/1.jpg?7510,True,150 000 FCFA,30%,3.6 out of 5,(5)
Generic Super VGA TV Box Noir,13 900 FCFA,https://www.jumia.sn/super-vga-tv-box-noir-generic-mpg7777.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/63/20209/1.jpg?8651,False,35 000 FCFA,60%,3.6 out of 5,(7)
"Generic Support TV Mural pour Ecran LCD LED Plasma 14-42"" - Noir",1 600 FCFA,https://www.jumia.sn/support-tv-mural-pour-ecran-lcd-led-plasma-14-42-noir-generic-mpg7781.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/50/08089/1.jpg?3455,False,5 000 FCFA,68%,4 out of 5,(62)
SMART TECHNOLOGY Smart TV LED 55 Pouces - Android TV 4K UHD - Noir - Garantie 12 Mois,264 100 FCFA,https://www.jumia.sn/smart-technology-smart-tv-led-55-pouces-android-tv-4k-uhd-noir-garantie-12-mois-9844853.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/35/84489/1.jpg?9375,True,400 000 FCFA,34%,4 out of 5,(1)
"Aiwa Téléviseur LED - Smart Android TV - Ecran 43"" - L/H 95.2 x 53.5 cm - Noir - Garantie 6 Mois",154 900 FCFA,https://www.jumia.sn/aiwa-televiseur-led-smart-android-tv-ecran-43-lh-95.2-x-53.5-cm-noir-garantie-6-mois-1846580.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/08/56481/2.jpg?1452,True,200 000 FCFA,23%,4.1 out of 5,(53)
"Aiwa Téléviseur LED - Smart Android Tv - Ecran 50"" - 4K UHD - Noir - Garanti 6 Mois",229 900 FCFA,https://www.jumia.sn/aiwa-televiseur-led-smart-android-tv-ecran-50-4k-uhd-noir-garanti-6-mois-1871133.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/33/11781/1.jpg?3369,True,300 000 FCFA,23%,3.9 out of 5,(32)
Generic Cable Jack Audio Auxiliaire Mâle - Noir,1 090 FCFA,https://www.jumia.sn/cable-jack-audio-auxiliaire-male-noir-generic-mpg7650.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/62/096/1.jpg?0864,False,2 900 FCFA,62%,3.4 out of 5,(23)
