name,price,descrption_link,img_link,jumia_express,old_price,decrease_percentage,n_stars,n_votes
Naseem Eau de Parfum Daliya - 100ml,4 500 FCFA,https://www.jumia.sn/naseem-eau-de-parfum-daliya-100ml-9782066.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/66/02879/1.jpg?3905,False,,,,
Oud Elite GOLD ORCHID Parfum 100ml,1 750 FCFA,https://www.jumia.sn/parfum-elite-gold-orchid-100ml-oud-mpg37291.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/05/78389/1.jpg?4326,False,5 000 FCFA,65%,4.3 out of 5,(3)
Sultan EAU DE TOILLETTE - PARFUM SULTAN - 100 ml,1 400 FCFA,https://www.jumia.sn/eau-de-toillette-parfum-sultan-100-ml-sultan-mpg31448.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/26/47979/1.jpg?3312,False,5 000 FCFA,72%,,
Generic Parfum pour Homme Coffert- Elite OUD - 100ml + Deodorant 50 ml + Porte clé offert,5 500 FCFA,https://www.jumia.sn/parfum-pour-homme-coffert-elite-oud-100ml-deodorant-50-ml-porte-cle-offert-generic-mpg34582.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/41/40298/1.jpg?3718,False,6 034 FCFA,9%,3.9 out of 5,(39)
Generic ROUAGE 54000- Collection privée Clive & Keira 30ml unisexe,5 175 FCFA,https://www.jumia.sn/rouage-54000-collection-privee-clive-keira-30ml-unisexe-generic-mpg35064.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/86/52099/1.jpg?8701,False,5 900 FCFA,12%,4.3 out of 5,(9)
Generic Eau de parfum Oud Orchid - Marron,2 450 FCFA,https://www.jumia.sn/eau-de-parfum-oud-orchid-marron-generic-mpg33244.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/79/75149/1.jpg?2111,False,6 000 FCFA,59%,3.9 out of 5,(9)
Al Nuaim Eau de Parfum - Black Orchid - Ultra Concentré 3ml,990 FCFA,https://www.jumia.sn/al-nuaim-eau-de-parfum-black-orchid-ultra-concentre-3ml-9960261.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/16/20699/1.jpg?9403,False,2 000 FCFA,51%,,
Generic 2 Parfums ROUAGE 54000- Collection Privée Clive&keira unisexe,10 475 FCFA,https://www.jumia.sn/2-parfums-rouage-54000-collection-privee-clivekeira-unisexe-generic-mpg46182.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/90/02099/1.jpg?6048,False,12 900 FCFA,19%,5 out of 5,(1)
Oud parfum Kulsoom Shirley May - 100 ml,2 200 FCFA,https://www.jumia.sn/oud-parfum-kulsoom-shirley-may-100-ml-10004897.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/79/840001/1.jpg?1276,False,5 000 FCFA,56%,,
Oud Eau de Parfum Homme SAFEER AL OUD,7 900 FCFA,https://www.jumia.sn/oud-eau-de-parfum-homme-safeer-al-oud-9969699.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/99/69699/1.jpg?8703,False,12 500 FCFA,37%,,
Generic Gamme parfum Unisex- Elite Amore Mia - Parfum 100ml + Déodorant 200ml,6 000 FCFA,https://www.jumia.sn/generic-gamme-parfum-unisex-elite-amore-mia-parfum-100ml-deodorant-200ml-9806277.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/77/26089/1.jpg?5067,False,10 000 FCFA,40%,,
Eau De Cologne Fraîche Verveine Citron - 250ml,1 290 FCFA,https://www.jumia.sn/carrefour-eau-de-cologne-fraiche-verveine-citron-250ml-3402425.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/52/42043/1.jpg?3382,False,,,4.3 out of 5,(12)
Al Nuaim Eau de Parfum - Zam Zam - Ultra Concentré 3ml,990 FCFA,https://www.jumia.sn/al-nuaim-eau-de-parfum-zam-zam-ultra-concentre-3ml-9960258.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/85/20699/1.jpg?9403,False,2 000 FCFA,51%,,
Martin Lion Eau de Parfum Unisex - Martin Lion - 50ml,7 990 FCFA,https://www.jumia.sn/martin-lion-eau-de-parfum-unisex-martin-lion-50ml-9829396.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/69/39289/1.jpg?8635,False,10 000 FCFA,20%,,
Oud Parfum Dehn Al Oud Ghalib - 100 ml,7 000 FCFA,https://www.jumia.sn/parfum-dehn-al-oud-ghalib-100-ml-oud-mpg37348.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/57/16289/1.jpg?1073,False,25 000 FCFA,72%,3 out of 5,(1)
Tesori d'Oriente Parfum Fleur de Dragon,4 500 FCFA,https://www.jumia.sn/parfum-fleur-de-dragon-tesori-doriente-mpg38163.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/99/17489/1.jpg?3417,False,12 300 FCFA,63%,5 out of 5,(1)
Lattafa Parfum Mousuf by Lattafa 100ml,7 999 FCFA,https://www.jumia.sn/lattafa-parfum-mousuf-by-lattafa-100ml-6041559.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/95/51406/1.jpg?4439,False,9 500 FCFA,16%,4 out of 5,(1)
Generic Eau De Toilette Kriss - 500ml,8 000 FCFA,https://www.jumia.sn/generic-eau-de-toilette-kriss-500ml-9826753.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/35/76289/1.jpg?1595,False,,,,
Every One Création Lamis Everyone - Eau de toilette - 100ml,3 588 FCFA,https://www.jumia.sn/every-one-creation-lamis-everyone-eau-de-toilette-100ml-482262.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/26/2284/1.jpg?2267,False,,,4.3 out of 5,(6)
Generic ROUAGE 54000- Collection privée Clive & Keira 30ml unisexe,5 900 FCFA,https://www.jumia.sn/generic-rouage-54000-collection-privee-clive-keira-30ml-unisexe-9988397.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/79/38899/1.jpg?2381,False,,,,
Oud Ameer Al Oudh Déodorant 100ml,1 900 FCFA,https://www.jumia.sn/oud-ameer-al-oudh-deodorant-100ml-9992959.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/95/92999/1.jpg?7336,False,,,3 out of 5,(1)
Generic Scandale,10 500 FCFA,https://www.jumia.sn/generic-scandale-10023886.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/68/832001/1.jpg?8278,False,15 000 FCFA,30%,,
Marque Collection 105 Parfum Unisexe100ML,5 000 FCFA,https://www.jumia.sn/collection-105-parfum-unisexe100ml-marque-mpg41174.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/17/08289/1.jpg?6115,False,15 000 FCFA,67%,,
Generic Eau de Parfum Unisexe - Brown Orchid Gold Edition - 80ml,8 900 FCFA,https://www.jumia.sn/generic-eau-de-parfum-unisexe-brown-orchid-gold-edition-80ml-3063781.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/18/73603/1.jpg?6862,False,,,5 out of 5,(1)
Sanex Déodorant - Extra control - unisexe - 250 Ml - Blanc,1 900 FCFA,https://www.jumia.sn/sanex-deodorant-extra-control-unisexe-250-ml-blanc-sanex-mpg16653.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/78/33042/1.jpg?6329,False,,,4.8 out of 5,(5)
Oud Ameer Al Oud Parfum 100ml + Déodorant 100ml,5 900 FCFA,https://www.jumia.sn/ameer-al-oud-parfum-100ml-deodorant-100ml-oud-mpg45140.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/17/17299/1.jpg?2458,False,10 000 FCFA,41%,5 out of 5,(1)
Original Parfum Pure Black attirante flacon de 15 ml,945 FCFA,https://www.jumia.sn/parfum-pure-black-attirante-flacon-de-15-ml-original-mpg37160.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/41/49289/1.jpg?0448,False,10 250 FCFA,91%,,
Original Parfum Pure Black flacon de 15 ml,1 300 FCFA,https://www.jumia.sn/original-parfum-pure-black-flacon-de-15-ml-10002844.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/44/820001/1.jpg?1600,False,8 000 FCFA,84%,,
Oud Ameer Al Oudh Déodorant 100ml,2 500 FCFA,https://www.jumia.sn/oud-ameer-al-oudh-deodorant-100ml-9988401.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/10/48899/1.jpg?2378,False,,,,
Tesori d'Oriente Royal Oud dello 100ml,4 500 FCFA,https://www.jumia.sn/royal-oud-dello-100ml-tesori-doriente-mpg38164.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/63/46389/1.jpg?0844,False,15 000 FCFA,70%,5 out of 5,(2)
Generic OUD MOOD Reminescence silver lattafa 100ml,16 000 FCFA,https://www.jumia.sn/generic-oud-mood-reminescence-silver-lattafa-100ml-6068823.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/32/88606/1.jpg?4768,False,25 000 FCFA,36%,,
Al Nuaim Eau de Parfum - Ameer Oudh - Ultra Concentré 3ml,990 FCFA,https://www.jumia.sn/al-nuaim-eau-de-parfum-ameer-oudh-ultra-concentre-3ml-9960255.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/55/20699/1.jpg?9404,False,2 000 FCFA,51%,,
