name,price,descrption_link,img_link,jumia_express,old_price,decrease_percentage,n_stars,n_votes
Generic Balance De Cuisine Numérique - 5kg - Blanc,2 338 FCFA,https://www.jumia.sn/generic-balance-de-cuisine-numerique-5kg-blanc-8841534.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/43/51488/1.jpg?9372,True,4 584 FCFA,49%,3.2 out of 5,(26)
Generic Sonde De Thermomètre Numérique,1 500 FCFA,https://www.jumia.sn/generic-sonde-de-thermometre-numerique-9801079.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/97/01089/1.jpg?9396,True,2 941 FCFA,49%,4 out of 5,(1)
White Label 17 pièces boîte de rangement scellé a légumes,5 949 FCFA,https://www.jumia.sn/17-pieces-boite-de-rangement-scelle-a-legumes-white-label-mpg46410.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/06/03489/1.jpg?4133,False,15 000 FCFA,60%,5 out of 5,(1)
Generic Porte ustensile de cuisine 5 pcs,1 200 FCFA,https://www.jumia.sn/generic-porte-ustensile-de-cuisine-5-pcs-4314525.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/52/54134/1.jpg?5423,False,,,3.9 out of 5,(13)
White Label Hachoir Oignons - Rouge,900 FCFA,https://www.jumia.sn/white-label-hachoir-oignons-rouge-29640.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/04/692/1.jpg?1295,False,3 500 FCFA,74%,2 out of 5,(2)
"Generic Égouttoir à vaisselle,3 niveaux avec porte-ustensiles, antirouille",17 900 FCFA,https://www.jumia.sn/egouttoir-a-vaisselle3-niveaux-avec-porte-ustensiles-antirouille-generic-mpg41115.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/69/37379/1.jpg?1784,False,35 000 FCFA,49%,4.2 out of 5,(5)
Generic Balance de Cuisine Électronique 10Kg – Blanc,2 950 FCFA,https://www.jumia.sn/balance-de-cuisine-electronique-10kg-blanc-generic-mpg26016.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/53/85549/1.jpg?1131,False,3 700 FCFA,20%,4 out of 5,(134)
Generic Rouleau de Pâtisserie + Planche CA820023-CA820470,6 900 FCFA,https://www.jumia.sn/generic-rouleau-de-patisserie-planche-ca820023-ca820470-5902.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/20/95/1.jpg?9583,False,9 500 FCFA,27%,3.7 out of 5,(56)
"Generic Presse à ail en acier inoxydable, hachoir à ail, gingembre etc.., outils de cuisine",1 600 FCFA,https://www.jumia.sn/generic-presse-a-ail-en-acier-inoxydable-hachoir-a-ail-gingembre-etc..-outils-de-cuisine-9962944.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/44/92699/1.jpg?9082,False,5 000 FCFA,68%,,
Generic Lot de 6 Ustensiles de Cuisine - 1 louche 1 écumoire 1 spatule 2 cuillères percées 1 spatule à spaghetti - Noir,1 980 FCFA,https://www.jumia.sn/generic-lot-de-6-ustensiles-de-cuisine-1-louche-1-ecumoire-1-spatule-2-cuilleres-percees-1-spatule-a-spaghetti-noir-9993157.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/75/13999/1.jpg?2866,False,5 000 FCFA,60%,,
