name,price,descrption_link,img_link,jumia_express,old_price,decrease_percentage,n_stars,n_votes
Fashion Lot De 4 T-Shirt En Coton à Manches Courtes Pour Hommes,7 900 FCFA,https://www.jumia.sn/lot-de-4-t-shirt-en-coton-a-manches-courtes-pour-hommes-fashion-mpg31616.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/51/27005/1.jpg?2633,True,16 000 FCFA,51%,3.8 out of 5,(583)
Fashion Pantalons Chino pour Homme-Noir,5 400 FCFA - 5 850 FCFA,https://www.jumia.sn/pantalons-chino-pour-homme-noir-fashion-mpg43033.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/93/83616/1.jpg?3791,True,5 990 FCFA,10%,3.5 out of 5,(228)
Fashion Lot De 4 T-Shirt Bundle 100% Coton T-shirts à Manches Courtes Pour Hommes,7 900 FCFA,https://www.jumia.sn/lot-de-4-t-shirt-bundle-100-coton-t-shirts-a-manches-courtes-pour-hommes-fashion-mpg31615.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/83/83616/1.jpg?5587,True,16 000 FCFA - 18 627 FCFA,58%,3.8 out of 5,(176)
Fashion Veste pour hommes col droit veste décontractée - bleu,9 900 FCFA,https://www.jumia.sn/plus-size-mens-jacket-coat-slim-fit-stand-collar-long-sleeve-jacket-blue-fashion-mpg14180.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/58/73512/1.jpg?2509,True,14 915 FCFA,34%,4.2 out of 5,(387)
Generic Chemises Fleurie Homme Manches Courtes Imprimée,3 773 FCFA - 4 748 FCFA,https://www.jumia.sn/generic-chemises-fleurie-homme-manches-courtes-imprimee-8934761.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/16/74398/1.jpg?7083,True,7 398 FCFA - 9 496 FCFA,50%,3.8 out of 5,(22)
"Fashion 4 t-shirts en coton pour hommes, hauts à manches courtes",7 800 FCFA,https://www.jumia.sn/fashion-4-t-shirts-en-coton-pour-hommes-hauts-a-manches-courtes-9212846.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/64/82129/1.jpg?6271,True,15 294 FCFA,49%,3.3 out of 5,(21)
Generic Chemise Décontractée Pour Hommes,4 598 FCFA,https://www.jumia.sn/generic-chemise-decontractee-pour-hommes-8934753.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/35/74398/1.jpg?8269,True,9 000 FCFA,49%,3.7 out of 5,(11)
Fashion Polos Chemise Tee Shirt Vêtements Homme Manches Courtes,4 800 FCFA,https://www.jumia.sn/fashion-polos-chemise-tee-shirt-vetements-homme-manches-courtes-9277138.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/83/17729/1.jpg?6353,True,9 412 FCFA,49%,3.3 out of 5,(7)
Fashion Pantalons Chino pour Homme-Gris,5 400 FCFA - 5 630 FCFA,https://www.jumia.sn/pantalons-chino-pour-homme-gris-fashion-mpg46446.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/31/52379/1.jpg?0341,True,5 990 FCFA,10%,3.3 out of 5,(45)
Fashion Veste hommes Veste légère décontractée à la mode Manteaux veste homme -noir,8 500 FCFA,https://www.jumia.sn/fashion-veste-hommes-veste-legere-decontractee-a-la-mode-manteaux-veste-homme-noir-2153783.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/38/73512/1.jpg?0903,True,11 700 FCFA,27%,4.1 out of 5,(136)
Fashion T-shirt à Manches Courtes et Short 2 Pièces - Bleu Foncé,5 400 FCFA,https://www.jumia.sn/fashion-t-shirt-a-manches-courtes-et-short-2-pieces-bleu-fonce-9781893.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/39/81879/1.jpg?0346,True,10 588 FCFA,49%,4.2 out of 5,(5)
Fashion T-Shirt Manches Courtes Pour Homme,2 600 FCFA,https://www.jumia.sn/fashion-t-shirt-manches-courtes-pour-homme-9792171.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/17/12979/1.jpg?0106,True,5 290 FCFA,51%,4.6 out of 5,(5)
Generic Pack de 6 Caleçons Boxer+ 3 debadeurs + 4 chaussettes,8 400 FCFA - 8 600 FCFA,https://www.jumia.sn/pack-de-6-calecons-boxer-3-debadeurs-4-chaussettes-generic-mpg34479.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/66/53016/1.jpg?2561,False,25 000 FCFA,66%,4.1 out of 5,(123)
Fashion Chemises A Rayures Set,6 838 FCFA,https://www.jumia.sn/fashion-chemises-a-rayures-set-9794817.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/71/84979/1.jpg?5844,True,13 408 FCFA,49%,3.6 out of 5,(5)
Generic Pack de 4Polos Homme-Coton Polyester-Manches Courtes,8 500 FCFA,https://www.jumia.sn/generic-pack-de-4polos-homme-coton-polyester-manches-courtes-82054.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/45/028/1.jpg?6823,False,12 900 FCFA,34%,3.5 out of 5,(195)
Fashion 5 Pièces T-shirts En Coton Pour Hommes,9 600 FCFA,https://www.jumia.sn/5-pieces-t-shirts-en-coton-pour-hommes-fashion-mpg45207.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/23/86729/1.jpg?6968,True,18 039 FCFA,47%,3.6 out of 5,(19)
Fashion Chemises à Manches Courtes Imprimées,5 698 FCFA,https://www.jumia.sn/fashion-chemises-a-manches-courtes-imprimees-9796592.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/29/56979/1.jpg?5461,True,11 173 FCFA,49%,3.3 out of 5,(4)
Fashion T-shirt Homme Imprimé En 3D-multicolore,3 133 FCFA,https://www.jumia.sn/fashion-t-shirt-homme-imprime-en-3d-multicolore-9796291.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/19/26979/1.jpg?5748,True,6 143 FCFA,49%,1 out of 5,(1)
Fashion Lots of 3 Chemise Manches Longues Pour Homme,10 798 FCFA,https://www.jumia.sn/fashion-lots-of-3-chemise-manches-longues-pour-homme-9792164.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/46/12979/1.jpg?0107,True,21 173 FCFA,49%,3.7 out of 5,(11)
Fashion Pull Over Homme Vertement - Blanc,5 999 FCFA,https://www.jumia.sn/fashion-pull-over-homme-vertement-blanc-9277144.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/44/17729/1.jpg?6352,True,9 999 FCFA,40%,2.3 out of 5,(3)
Fashion Pull Pour Homme - Rouge,6 940 FCFA,https://www.jumia.sn/fashion-pull-pour-homme-rouge-9277151.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/15/17729/1.jpg?7557,True,13 608 FCFA,49%,4 out of 5,(4)
Fashion Polo Manches Courtes Pour Homme - Navy,4 800 FCFA,https://www.jumia.sn/fashion-polo-manches-courtes-pour-homme-navy-9277136.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/63/17729/1.jpg?6349,True,9 412 FCFA,49%,3.4 out of 5,(9)
Fashion Ensemble De Survêtement Pour Hommes,9 900 FCFA,https://www.jumia.sn/fashion-ensemble-de-survetement-pour-hommes-9354364.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/46/34539/1.jpg?0474,True,12 000 FCFA,18%,3.5 out of 5,(23)
Fashion Chemise Homme Manches Longues Imprimée,6 100 FCFA,https://www.jumia.sn/fashion-chemise-homme-manches-longues-imprimee-9763669.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/96/63679/1.jpg?3886,True,11 999 FCFA,49%,3.4 out of 5,(5)
Generic Polo Manches Courtes Pour Hommes,2 998 FCFA,https://www.jumia.sn/generic-polo-manches-courtes-pour-hommes-8934755.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/55/74398/1.jpg?7076,True,7 000 FCFA,57%,3.1 out of 5,(19)
Fashion Jeans En Denim à La Mode Pour Hommes-Bleu,3 800 FCFA,https://www.jumia.sn/fashion-jeans-en-denim-a-la-mode-pour-hommes-bleu-9792169.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/96/12979/1.jpg?0107,True,7 839 FCFA,52%,2.8 out of 5,(4)
Fashion Polo Homme Manches Courte,2 990 FCFA,https://www.jumia.sn/fashion-polo-homme-manches-courte-9751860.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/06/81579/1.jpg?4126,True,5 863 FCFA,49%,4.3 out of 5,(4)
Generic Pack de 4 Polos Homme,8 900 FCFA,https://www.jumia.sn/generic-pack-de-4-polos-homme-3502256.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/65/22053/1.jpg?1343,False,11 000 FCFA,19%,3.3 out of 5,(106)
Fashion T-Shirt Manches Courtes Pour Homme,2 698 FCFA,https://www.jumia.sn/fashion-t-shirt-manches-courtes-pour-homme-9792170.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/07/12979/1.jpg?0106,True,5 290 FCFA,49%,4.5 out of 5,(4)
Fashion Short Homme Avec Poche,2 600 FCFA,https://www.jumia.sn/fashion-short-homme-avec-poche-9801076.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/67/01089/1.jpg?9397,True,5 098 FCFA,49%,3.4 out of 5,(5)
Fashion Ensemble 2 pièces Chemise imprimée pour hommes à la mode -Totem,8 400 FCFA,https://www.jumia.sn/fashion-ensemble-2-pieces-chemise-imprimee-pour-hommes-a-la-mode-totem-9751684.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/48/61579/1.jpg?9066,True,15 599 FCFA,46%,4.5 out of 5,(6)
Fashion Jeans En Denim à La Mode Pour Hommes,3 490 FCFA,https://www.jumia.sn/fashion-jeans-en-denim-a-la-mode-pour-hommes-9803263.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/36/23089/1.jpg?4758,True,6 843 FCFA,49%,,
Generic Pack 4 Polos,8 800 FCFA,https://www.jumia.sn/pack-4-polos-generic-mpg34745.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/01/49529/1.jpg?7057,False,10 000 FCFA,12%,4.6 out of 5,(5)
Fashion Ensemble 2 pièces pantalon 2 en 1 à manches courtes,4 760 FCFA,https://www.jumia.sn/fashion-ensemble-2-pieces-pantalon-2-en-1-a-manches-courtes-3513349.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/94/33153/1.jpg?0702,True,18 922 FCFA,75%,2 out of 5,(1)
Fashion T-Shirt Manches Courtes Pour Homme,2 563 FCFA,https://www.jumia.sn/fashion-t-shirt-manches-courtes-pour-homme-9354378.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/87/34539/1.jpg?0471,True,5 025 FCFA,49%,3.4 out of 5,(18)
Fashion Pantalon Décontracté De Course à Pied Pour Hommes,5 400 FCFA,https://www.jumia.sn/fashion-pantalon-decontracte-de-course-a-pied-pour-hommes-9763670.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/07/63679/1.jpg?4186,True,10 588 FCFA,49%,3.3 out of 5,(7)
Fashion Polo Homme Manches Courtes - 3 Pièces,8 989 FCFA,https://www.jumia.sn/fashion-polo-homme-manches-courtes-3-pieces-9750897.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/79/80579/1.jpg?5755,True,17 625 FCFA,49%,3.2 out of 5,(5)
Fashion Polo Homme Manches Courte,3 418 FCFA,https://www.jumia.sn/fashion-polo-homme-manches-courte-9751859.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/95/81579/1.jpg?4123,True,6 702 FCFA,49%,4 out of 5,(3)
Fashion Vêtements Blouson Fashion Vestes Légères - Blanc,6 450 FCFA,https://www.jumia.sn/fashion-vetements-blouson-fashion-vestes-legeres-blanc-9277148.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/84/17729/1.jpg?7555,True,10 999 FCFA,41%,4.2 out of 5,(5)
Generic Pack de 5 T-Shirt Couleur Unique Première Qualité 100% Coton Bleu- blanc-noir-gris-rouge bordeaux,9 600 FCFA,https://www.jumia.sn/pack-de-5-t-shirt-couleur-unique-premiere-qualite-100-coton-bleu-blanc-noir-gris-rouge-bordeaux-generic-mpg34870.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/89/90979/1.jpg?5202,False,20 000 FCFA,52%,4 out of 5,(9)
