name,price,descrption_link,img_link,jumia_express,old_price,decrease_percentage,n_stars,n_votes
"Generic Caméra de Surveillance 960P, Ampoule Caméra HD",21 000 FCFA,https://www.jumia.sn/generic-camera-de-surveillance-960p-ampoule-camera-hd-9356336.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/63/36539/1.jpg?4210,False,,,5 out of 5,(1)
Generic Osmo Mobile 2 Phone Handheld Gimbal Stabilizer Accessories For Smart Phone,2 218 FCFA,https://www.jumia.sn/generic-osmo-mobile-2-phone-handheld-gimbal-stabilizer-accessories-for-smart-phone-2206405.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/50/46022/1.jpg?7242,False,4 349 FCFA,49%,,
"Generic Caméra de Surveillance 960P, Ampoule Caméra HD",19 200 FCFA,https://www.jumia.sn/generic-camera-de-surveillance-960p-ampoule-camera-hd-10022253.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/35/222001/1.jpg?6162,False,30 000 FCFA,36%,,
Generic Unbrand Mini Caméra Cachée en Stylo Full HD 1080P Enregistreur Vocal et Video,15 000 FCFA,https://www.jumia.sn/generic-unbrand-mini-camera-cachee-en-stylo-full-hd-1080p-enregistreur-vocal-et-video-9207017.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/71/07029/1.jpg?3215,False,30 000 FCFA,50%,,
"Other Mont Plat Fixateur TV en fer 32 ""À 70""",8 000 FCFA,https://www.jumia.sn/other-mont-plat-fixateur-tv-en-fer-32-a-70-101265.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/56/2101/1.jpg?8226,False,,,5 out of 5,(1)
Unbrand CaméraEspion4KHD Détection mouvementVue àdistanceInclus Cartemémoire32GB,55 000 FCFA,https://www.jumia.sn/unbrand-cameraespion4khd-detection-mouvementvue-adistanceinclus-cartememoire32gb-9239656.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/65/69329/1.jpg?8763,False,75 000 FCFA,27%,,
Generic Régulateur tension 2000A,40 000 FCFA,https://www.jumia.sn/generic-regulateur-tension-2000a-9160547.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/74/50619/1.jpg?4875,False,60 000 FCFA,33%,,
Zhiyun Crane Plus Stabilisateur de cardan portable à 3 axes pour tout type d'appareil photo pro,370 000 FCFA,https://www.jumia.sn/zhiyun-crane-plus-stabilisateur-de-cardan-portable-a-3-axes-pour-tout-type-dappareil-photo-pro-9784887.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/78/84879/1.jpg?8129,False,,,,
"Osmo DJI OM 4 SE - Stabilisateur de cardan pour smartphone à 3 axes avec trépied, conception magnétique, portable et pliable",180 000 FCFA,https://www.jumia.sn/osmo-dji-om-4-se-stabilisateur-de-cardan-pour-smartphone-a-3-axes-avec-trepied-conception-magnetique-portable-et-pliable-9926583.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/38/56299/1.jpg?1058,False,,,,
Generic Caméra de sécurité PTZ sans Fil 1080p avec connecteur de bulbe E27,24 500 FCFA,https://www.jumia.sn/generic-camera-de-securite-ptz-sans-fil-1080p-avec-connecteur-de-bulbe-e27-9926280.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/08/26299/1.jpg?6469,False,50 000 FCFA,51%,,
"Generic Caméra de Sécurité 3MP Avec Vision Nocturne, detection de mouvement Automatique",45 500 FCFA,https://www.jumia.sn/generic-camera-de-securite-3mp-avec-vision-nocturne-detection-de-mouvement-automatique-9923379.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/97/33299/1.jpg?7419,False,100 000 FCFA,55%,,
Zhiyun Cardan Zhiyun-Tech WEEBILL-S,400 000 FCFA,https://www.jumia.sn/zhiyun-cardan-zhiyun-tech-weebill-s-9784886.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/68/84879/1.jpg?8127,False,,,,
