name,price,descrption_link,img_link,jumia_express,old_price,decrease_percentage,n_stars,n_votes
Bio Naturelle Natural Masse- prise de poids rapide- appetit et tonus pour toute la famille-500g,2 750 FCFA,https://www.jumia.sn/bio-naturelle-natural-masse-prise-de-poids-rapide-appetit-et-tonus-pour-toute-la-famille-500g-40752.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/25/704/1.jpg?1243,False,3 500 FCFA,21%,3.5 out of 5,(53)
Nutrimass protéines pour sportifs Goût Chocolat - Sachet de 240g,7 000 FCFA,https://www.jumia.sn/nutrimass-proteines-pour-sportifs-gout-chocolat-sachet-de-240g-3257144.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/44/17523/1.jpg?7339,False,,,3.5 out of 5,(51)
Nutraline Complément Alimentaire Fenugrec - Pot de 60 gélules,7 000 FCFA,https://www.jumia.sn/nutraline-complement-alimentaire-fenugrec-pot-de-60-gelules-3142374.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/47/32413/1.jpg?4759,False,,,3.3 out of 5,(22)
Vitalma vitamine C - Pot de 20 comprimés,1 990 FCFA,https://www.jumia.sn/vitamine-c-pot-de-20-comprimes-vitalma-mpg30016.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/86/32413/1.jpg?4759,False,,,3.6 out of 5,(37)
Generic Natural Masse- prise de poids rapide- appetit et tonus pour toute la famille-500g,4 000 FCFA,https://www.jumia.sn/generic-natural-masse-prise-de-poids-rapide-appetit-et-tonus-pour-toute-la-famille-500g-6151682.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/28/61516/1.jpg?8922,False,6 000 FCFA,33%,4.2 out of 5,(5)
Nutraline Complément Alimentaire Spiruline - Pot de 60 comprimés,5 500 FCFA,https://www.jumia.sn/nutraline-complement-alimentaire-spiruline-pot-de-60-comprimes-3142373.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/37/32413/1.jpg?4759,False,6 000 FCFA,8%,3.9 out of 5,(14)
Nutrimass protéines pour sportifs Goût Fraise - Sachet de 240g,6 750 FCFA,https://www.jumia.sn/nutrimass-proteines-pour-sportifs-gout-fraise-sachet-de-240g-3257142.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/24/17523/1.jpg?7339,False,7 000 FCFA,4%,3.7 out of 5,(6)
Nutraline Brûle Graisse Minceur - 100% Bio - 31g,8 000 FCFA,https://www.jumia.sn/nutraline-brule-graisse-minceur-100-bio-31g-5618094.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/49/08165/1.jpg?6351,False,,,3.4 out of 5,(17)
Generic Appareil ABDO Tummy Trimmer - Noir,3 900 FCFA,https://www.jumia.sn/appareil-abdo-tummy-trimmer-noir-generic-mpg1290.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/05/27565/1.jpg?1850,False,,,4.3 out of 5,(3)
Generic Pack Grossissant - Huile fenugrec 30ml + Huile kigélia 30ml + Huile Akpi 30ml,3 500 FCFA,https://www.jumia.sn/pack-grossissant-huile-fenugrec-30ml-huile-kigelia-30ml-huile-akpi-30ml-generic-mpg43284.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/49/87116/1.jpg?2291,False,5 000 FCFA,30%,3.7 out of 5,(10)
Nutraline BURNER Définition Musculaire 93g,15 000 FCFA,https://www.jumia.sn/nutraline-burner-definition-musculaire-93g-5974526.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/62/54795/1.jpg?7439,False,28 000 FCFA,46%,4.5 out of 5,(2)
Nutraline Complément Alimentaire Moringa - Pot de 60 gélules,6 000 FCFA,https://www.jumia.sn/nutraline-complement-alimentaire-moringa-pot-de-60-gelules-3142371.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/17/32413/1.jpg?4759,False,,,3.5 out of 5,(17)
Nutraline Power X3 - Complément Alimentaire,5 900 FCFA,https://www.jumia.sn/nutraline-power-x3-complement-alimentaire-3257143.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/34/17523/1.jpg?7341,False,,,3 out of 5,(4)
