name,price,descrption_link,img_link,jumia_express,old_price,decrease_percentage,n_stars,n_votes
Generic Kangourou -Porte-Bébé de 0 à 2 ans - Baby Carriers - rouge,4 460 FCFA,https://www.jumia.sn/kangourou-porte-bebe-de-0-a-2-ans-baby-carriers-rouge-generic-mpg33873.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/19/10529/1.jpg?1603,False,4 800 FCFA,7%,4.2 out of 5,(17)
Generic Pack de 3 barboteuse bébé blanc,5 900 FCFA,https://www.jumia.sn/pack-de-3-barboteuse-bebe-blanc-generic-mpg34846.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/83/95229/1.jpg?9003,False,10 000 FCFA,41%,3 out of 5,(2)
Generic KANGOUROU PORTE -BEBE -BABY CARRIERS - BLEU,4 900 FCFA,https://www.jumia.sn/kangourou-porte-bebe-baby-carriers-bleu-generic-mpg28835.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/46/30099/1.jpg?0979,False,7 500 FCFA,35%,4.2 out of 5,(13)
Generic LOT 12 PAIRES DE CHAUSSETTES ENFANT,2 900 FCFA,https://www.jumia.sn/lot-12-paires-de-chaussettes-enfant-generic-mpg28856.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/64/35188/1.jpg?2272,False,3 600 FCFA,19%,3.8 out of 5,(10)
Generic Lotion Activatrice et Réparateur de Boucles Pour Greffage frise naturel il maintient et revitaliser aussi nos cheveux bouclés.355ml,2 500 FCFA,https://www.jumia.sn/lotion-activatrice-et-reparateur-de-boucles-pour-greffage-frise-naturel-il-maintient-et-revitaliser-aussi-nos-cheveux-boucles.355ml-generic-mpg28956.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/82/04406/1.jpg?3469,False,5 000 FCFA,50%,4.1 out of 5,(9)
Generic Porte-Bébé - Kangourou Premium - Baby Carriers,4 500 FCFA,https://www.jumia.sn/porte-bebe-kangourou-premium-baby-carriers-generic-mpg29225.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/23/17159/1.jpg?5310,False,8 500 FCFA,47%,3 out of 5,(2)
Generic Packs de 5 pièces pour bébé,8 990 FCFA,https://www.jumia.sn/generic-packs-de-5-pieces-pour-bebe-6043706.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/60/73406/1.jpg?6917,False,15 000 FCFA,40%,3 out of 5,(1)
Generic Kit kangourou baby career Rose + gamme babymed,9 000 FCFA,https://www.jumia.sn/kit-kangourou-baby-career-rose-gamme-babymed-generic-mpg28850.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/58/26706/1.jpg?2678,False,18 000 FCFA,50%,2.5 out of 5,(2)
Generic LOT 12 PAIRES DE CHAUSSETTES ENFANT,2 999 FCFA,https://www.jumia.sn/generic-lot-12-paires-de-chaussettes-enfant-9779624.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/42/69779/1.jpg?3409,False,5 000 FCFA,40%,4.3 out of 5,(4)
White Label Pack de 3 Chaussettes - 100% Coton - pour Bébé - Rose,2 400 FCFA,https://www.jumia.sn/white-label-pack-de-3-chaussettes-100-coton-pour-bebe-rose-6172457.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/75/42716/1.jpg?8672,False,3 000 FCFA,20%,,
