name,price,descrption_link,img_link,jumia_express,old_price,decrease_percentage,n_stars,n_votes
Lingeries Secret Culotte Ventre Plat - Polyester - Noir,5 000 FCFA,https://www.jumia.sn/lingeries-secret-culotte-ventre-plat-polyester-noir-3075747.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/74/75703/1.jpg?2680,True,,,,
Generic Gaines amincissante ivisible sous la robe,15 000 FCFA,https://www.jumia.sn/generic-gaines-amincissante-ivisible-sous-la-robe-10004903.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/30/940001/1.jpg?1278,False,,,,
"Esmara Set de 2 leggings de grossesse, en coton bio",16 500 FCFA,https://www.jumia.sn/esmara-set-de-2-leggings-de-grossesse-en-coton-bio-3381406.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/60/41833/1.jpg?9171,False,,,,
Generic Thioup original venu de Mali - 5 Mètres,170 000 FCFA,https://www.jumia.sn/generic-thioup-original-venu-de-mali-5-metres-9100201.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/10/20019/1.jpg?5878,False,,,,
Generic Thioup original venu de Mali - 6 Mètres,120 000 FCFA,https://www.jumia.sn/generic-thioup-original-venu-de-mali-6-metres-8885636.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/63/65888/1.jpg?2143,False,,,,
Generic Gaines amincissante ivisible sous la robe,7 900 FCFA,https://www.jumia.sn/generic-gaines-amincissante-ivisible-sous-la-robe-10028386.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/68/382001/1.jpg?1682,False,,,,
Generic Thioup original venu de Mali - 5 Mètres,100 000 FCFA,https://www.jumia.sn/generic-thioup-original-venu-de-mali-5-metres-8885641.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/14/65888/1.jpg?2143,False,,,,
Generic Thioup original venu de Mali - 6 Mètres,120 000 FCFA,https://www.jumia.sn/generic-thioup-original-venu-de-mali-6-metres-8885631.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/13/65888/1.jpg?1134,False,,,,
Generic Thioup original venu de Mali - 6 Mètres,165 000 FCFA,https://www.jumia.sn/generic-thioup-original-venu-de-mali-6-metres-8816383.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/38/36188/1.jpg?1747,False,,,,
Generic Thioup original venu de Mali - 5 Mètres,100 000 FCFA,https://www.jumia.sn/generic-thioup-original-venu-de-mali-5-metres-8885642.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/24/65888/1.jpg?2143,False,,,,
Generic Thioup original venu de Mali - 5 Mètres,100 000 FCFA,https://www.jumia.sn/generic-thioup-original-venu-de-mali-5-metres-8885644.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/44/65888/1.jpg?2143,False,,,,
Generic Thioup original venu de Mali - 6 Mètres,120 000 FCFA,https://www.jumia.sn/thioup-original-venu-de-mali-6-metres-generic-mpg35868.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/83/65888/1.jpg?2143,False,,,,
Generic Thioup original venu de Mali - 6 Mètres,165 000 FCFA,https://www.jumia.sn/generic-thioup-original-venu-de-mali-6-metres-8816385.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/58/36188/1.jpg?1747,False,,,,
Generic Thioup original venu de Mali - 6 Mètres,120 000 FCFA,https://www.jumia.sn/generic-thioup-original-venu-de-mali-6-metres-8885633.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/33/65888/1.jpg?1134,False,,,,
Generic Thioup original venu de Mali - 6 Mètres,120 000 FCFA,https://www.jumia.sn/generic-thioup-original-venu-de-mali-6-metres-8885637.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/73/65888/1.jpg?2143,False,,,,
Generic Thioup original venu de Mali - 6 Mètres,165 000 FCFA,https://www.jumia.sn/generic-thioup-original-venu-de-mali-6-metres-8816380.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/08/36188/1.jpg?1747,False,,,,
Generic Thioup original venu de Mali - 6 Mètres,165 000 FCFA,https://www.jumia.sn/generic-thioup-original-venu-de-mali-6-metres-8816382.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/28/36188/1.jpg?1747,False,,,,
Generic Thioup original venu de Mali - 5 Mètres,100 000 FCFA,https://www.jumia.sn/generic-thioup-original-venu-de-mali-5-metres-8885645.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/54/65888/1.jpg?3162,False,,,,
