name,price,descrption_link,img_link,jumia_express,old_price,decrease_percentage,n_stars,n_votes
Generic Robe fleurette +foulard pudique et confortable 100% conton,6 200 FCFA,https://www.jumia.sn/generic-robe-fleurette-foulard-pudique-et-confortable-100-conton-10000731.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/13/700001/1.jpg?1504,False,14 000 FCFA,56%,,
Generic Robe fleurette pudique et confortable en conton,6 200 FCFA,https://www.jumia.sn/robe-fleurette-pudique-et-confortable-en-conton-generic-mpg46561.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/96/84199/1.jpg?7316,False,25 000 FCFA,75%,,
Generic Robe simple en coton + voile adapté à votre corps et confortable,6 000 FCFA,https://www.jumia.sn/generic-robe-simple-en-coton-voile-adapte-a-votre-corps-et-confortable-9992245.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/54/22999/1.jpg?9751,False,8 000 FCFA,25%,,
Generic Robe fleurette + foulard pudique et confortable 100% conton,6 200 FCFA,https://www.jumia.sn/generic-robe-fleurette-foulard-pudique-et-confortable-100-conton-10000729.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/92/700001/1.jpg?1504,False,14 000 FCFA,56%,,
Generic Robe simple en coton + voile adapté à votre corps et confortable,6 500 FCFA,https://www.jumia.sn/generic-robe-simple-en-coton-voile-adapte-a-votre-corps-et-confortable-10005991.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/19/950001/1.jpg?3742,False,10 000 FCFA,35%,,
Generic Robe simple,6 000 FCFA,https://www.jumia.sn/robe-simple-generic-mpg46562.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/66/26089/1.jpg?5066,False,6 500 FCFA,8%,5 out of 5,(1)
Generic Robe fleurette + foulard pudique et confortable 100% conton,6 200 FCFA,https://www.jumia.sn/generic-robe-fleurette-foulard-pudique-et-confortable-100-conton-10000727.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/72/700001/1.jpg?1507,False,14 000 FCFA,56%,,
Generic Robe simple en coton adapté à votre corps et confortable,8 000 FCFA,https://www.jumia.sn/generic-robe-simple-en-coton-adapte-a-votre-corps-et-confortable-9830940.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/04/90389/1.jpg?5527,False,,,,
Generic ROBE ROSE AVEC VOILE 100% COTON,6 000 FCFA,https://www.jumia.sn/generic-robe-rose-avec-voile-100-coton-9980758.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/85/70899/1.jpg?9510,False,20 000 FCFA,70%,,
Generic Robe simple,5 500 FCFA,https://www.jumia.sn/generic-robe-simple-9732795.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/59/72379/1.jpg?9694,False,6 000 FCFA,8%,,
