name,price,descrption_link,img_link,jumia_express,old_price,decrease_percentage,n_stars,n_votes
Avogan Pagne Tissu En Coton Imprimé - Plusieurs Couleurs,14 000 FCFA,https://www.jumia.sn/avogan-pagne-tissu-en-coton-imprime-plusieurs-couleurs-3402472.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/27/42043/1.jpg?4169,False,,,,
Excellence Tissu Wax - 100 % coton,17 000 FCFA,https://www.jumia.sn/excellence-tissu-wax-100-coton-113689.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/98/6311/1.jpg?2456,False,,,,
Excellence Tissu Wax - 100 % coton,17 000 FCFA,https://www.jumia.sn/excellence-tissu-wax-100-coton-113670.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/07/6311/1.jpg?0432,False,,,,
Generic Woodin - 4 yards - Multicolor,25 000 FCFA,https://www.jumia.sn/generic-woodin-4-yards-multicolor-6123973.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/37/93216/1.jpg?4166,False,,,,
New Beauty Pagne Tissu En Coton Imprimé - bleu violet,12 500 FCFA,https://www.jumia.sn/new-beauty-pagne-tissu-en-coton-imprime-bleu-violet-3402467.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/76/42043/1.jpg?3338,False,,,,
Excellence Tissu Wax - 100 % coton,17 000 FCFA,https://www.jumia.sn/excellence-tissu-wax-100-coton-114828.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/82/8411/1.jpg?0594,False,,,,
Generic Tissu WAX HITARGET - 6 Yards - 100% Coton,7 000 FCFA,https://www.jumia.sn/generic-tissu-wax-hitarget-6-yards-100-coton-6064878.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/87/84606/1.jpg?8992,False,,,,
Generic Vêtements : Boubou Dialabé transparent pour Femmes et Hommes,13 500 FCFA,https://www.jumia.sn/generic-vetements-boubou-dialabe-transparent-pour-femmes-et-hommes-9923095.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/59/03299/1.jpg?1194,False,17 000 FCFA,21%,,
Generic Tissu Pagne - Design - 6 Yards - 100% Coton,6 500 FCFA,https://www.jumia.sn/generic-tissu-pagne-design-6-yards-100-coton-4147175.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/57/17414/1.jpg?6466,False,,,,
Generic Boubou traditionnelle - Femme - Rose,20 000 FCFA,https://www.jumia.sn/generic-boubou-traditionnelle-femme-rose-9236884.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/48/86329/1.jpg?5770,False,,,,
Generic Robe Été Style Évasée - 100% Coton - Multi couleur,7 000 FCFA,https://www.jumia.sn/generic-robe-ete-style-evasee-100-coton-multi-couleur-4316182.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/28/16134/1.jpg?4857,False,,,,
Generic Robe Caftan Femme en Lin Jaune avec Broderie Rose et Bleu,22 000 FCFA,https://www.jumia.sn/generic-robe-caftan-femme-en-lin-jaune-avec-broderie-rose-et-bleu-4092888.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/88/82904/1.jpg?0199,False,,,,
Avogan Pagne Tissu En Coton Imprimé - Plusieurs Couleurs,14 000 FCFA,https://www.jumia.sn/avogan-pagne-tissu-en-coton-imprime-plusieurs-couleurs-3402468.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/86/42043/1.jpg?4169,False,,,,
Generic Punjab femme pakistanais élégant - blanc,18 000 FCFA,https://www.jumia.sn/generic-punjab-femme-pakistanais-elegant-blanc-9517267.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/76/27159/1.jpg?6218,False,,,,
Hollantex Pagne Tissu En Coton Imprimé - Plusieurs Couleurs,15 500 FCFA,https://www.jumia.sn/hollantex-pagne-tissu-en-coton-imprime-plusieurs-couleurs-3425441.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/14/45243/1.jpg?2907,False,,,,
Avogan Pagne Tissu 100% Coton Imprimé - Plusieurs Couleurs-6 yards,14 000 FCFA,https://www.jumia.sn/avogan-pagne-tissu-100-coton-imprime-plusieurs-couleurs-6-yards-3425535.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/53/55243/1.jpg?4417,False,,,,
Hollantex Pagne Tissu En Coton Imprimé - Plusieurs Couleurs,15 500 FCFA,https://www.jumia.sn/hollantex-pagne-tissu-en-coton-imprime-plusieurs-couleurs-3402474.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/47/42043/1.jpg?4169,False,,,,
Excellence Tissu Wax - 100 % coton,17 000 FCFA,https://www.jumia.sn/excellence-tissu-wax-100-coton-113676.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/67/6311/1.jpg?0876,False,,,,
Hollantex Pagne Tissu En Coton Imprimé - Plusieurs Couleurs,15 500 FCFA,https://www.jumia.sn/hollantex-pagne-tissu-en-coton-imprime-plusieurs-couleurs-3402473.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/37/42043/1.jpg?4169,False,,,,
Avogan Pagne Tissu En Coton Imprimé - Plusieurs Couleurs,14 000 FCFA,https://www.jumia.sn/avogan-pagne-tissu-en-coton-imprime-plusieurs-couleurs-3402469.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/96/42043/1.jpg?4169,False,,,,
Excellence Tissu Wax - 6 Yards - 100% Coton,17 000 FCFA,https://www.jumia.sn/excellence-tissu-wax-6-yards-100-coton-109362.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/26/3901/1.jpg?3166,False,,,,
Hollantex Pagne Tissu 100% Coton Imprimé - Plusieurs Couleurs-6 yards,15 500 FCFA,https://www.jumia.sn/hollantex-pagne-tissu-100-coton-imprime-plusieurs-couleurs-6-yards-3402475.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/57/42043/1.jpg?4169,False,,,,
Avogan Pagne Tissu En Coton Imprimé - Plusieurs Couleurs,14 000 FCFA,https://www.jumia.sn/avogan-pagne-tissu-en-coton-imprime-plusieurs-couleurs-3402470.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/07/42043/1.jpg?4169,False,,,,
Generic Tissu Basin Riche Gold Rose,18 000 FCFA - 24 000 FCFA,https://www.jumia.sn/generic-tissu-basin-riche-gold-rose-216599.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/99/5612/1.jpg?9259,False,,,,
