name,price,descrption_link,img_link,jumia_express,old_price,decrease_percentage,n_stars,n_votes
Generic Gaine Amincissante de Ventre - Noir,1 400 FCFA,https://www.jumia.sn/generic-gaine-amincissante-de-ventre-noir-6068166.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/66/18606/1.jpg?0697,False,1 775 FCFA,21%,3.5 out of 5,(20)
Generic Lot de 6 Slips en Coton invisibles - Multicolore,2 200 FCFA,https://www.jumia.sn/lot-de-6-slips-en-coton-invisibles-multicolore-generic-mpg44941.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/24/67779/1.jpg?5605,False,4 000 FCFA,45%,3 out of 5,(4)
Fashion Sous-vêtements sexy - Femme - 5 pièces,2 800 FCFA,https://www.jumia.sn/fashion-sous-vetements-sexy-femme-5-pieces-4931412.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/21/41394/1.jpg?3789,True,5 880 FCFA,52%,3.9 out of 5,(32)
Generic Cuissard Sculptant pour femme,900 FCFA,https://www.jumia.sn/cuissard-sculptant-pour-femme-generic-mpg33112.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/90/09194/1.jpg?4381,False,6 000 FCFA,85%,3.2 out of 5,(111)
White Label Gaine amincissante ventre ceinture abdominale pour femme,4 900 FCFA,https://www.jumia.sn/white-label-gaine-amincissante-ventre-ceinture-abdominale-pour-femme-9979171.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/17/19799/1.jpg?2591,False,15 000 FCFA,67%,,
Generic Soutien-Gorge Auto Adhésif - Beige,2 900 FCFA,https://www.jumia.sn/generic-soutien-gorge-auto-adhesif-beige-6070308.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/80/30706/1.jpg?0600,False,,,3 out of 5,(2)
Fashion Robe Slim Imprimée Pour Femme-bleu,4 748 FCFA,https://www.jumia.sn/fashion-robe-slim-imprimee-pour-femme-bleu-9796321.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/12/36979/1.jpg?1783,True,9 310 FCFA,49%,,
Fashion Robe Assortie Imprimée-vert,4 748 FCFA,https://www.jumia.sn/fashion-robe-assortie-imprimee-vert-9796300.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/00/36979/1.jpg?3050,True,9 310 FCFA,49%,4 out of 5,(1)
Generic culotte push up gaines amincissantes ventre platou,3 000 FCFA,https://www.jumia.sn/culotte-push-up-gaines-amincissantes-ventre-platou-generic-mpg36131.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/27/36679/1.jpg?5059,False,,,3 out of 5,(2)
White Label Ceinture Minceur Taille Femme Ventre Plat hazard,6 799 FCFA,https://www.jumia.sn/white-label-ceinture-minceur-taille-femme-ventre-plat-hazard-9842770.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/07/72489/1.jpg?8489,False,25 000 FCFA,73%,,
Generic Lot de 12 Slips en Coton - Multicolore,3 900 FCFA,https://www.jumia.sn/generic-lot-de-12-slips-en-coton-multicolore-6068191.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/19/18606/1.jpg?3026,False,4 900 FCFA,20%,5 out of 5,(1)
White Label Soutien-Gorge Adhésif - Kaki,2 900 FCFA,https://www.jumia.sn/white-label-soutien-gorge-adhesif-kaki-5952014.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/41/02595/1.jpg?0012,False,,,1 out of 5,(1)
Generic Slip Gaine Amincissante pour Femme - Beige,1 975 FCFA,https://www.jumia.sn/generic-slip-gaine-amincissante-pour-femme-beige-5734547.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/74/54375/1.jpg?6561,False,2 200 FCFA,10%,4 out of 5,(2)
Generic Lot de 12 Slips en Coton invisible - Multicolore,4 504 FCFA,https://www.jumia.sn/generic-lot-de-12-slips-en-coton-invisible-multicolore-5463427.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/72/43645/1.jpg?3199,False,8 990 FCFA,50%,3.5 out of 5,(2)
