name,price,descrption_link,img_link,jumia_express,old_price,decrease_percentage,n_stars,n_votes
Generic Led Lumière 5 Mètre pour La Décoration,7 000 FCFA,https://www.jumia.sn/generic-led-lumiere-5-metre-pour-la-decoration-9977655.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/55/67799/1.jpg?4456,False,15 000 FCFA,53%,3.5 out of 5,(2)
Generic Led Strip Ruban LED Etanche 5M Multicolor,7 000 FCFA,https://www.jumia.sn/generic-led-strip-ruban-led-etanche-5m-multicolor-9977646.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/64/67799/1.jpg?4461,False,15 000 FCFA,53%,,
Generic Led Strip Ruban LED Etanche 5M Multicolor,7 000 FCFA,https://www.jumia.sn/generic-led-strip-ruban-led-etanche-5m-multicolor-9928344.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/44/38299/1.jpg?9691,False,15 000 FCFA,53%,,
Generic Lampe De Chambre enfants,3 500 FCFA,https://www.jumia.sn/generic-lampe-de-chambre-enfants-9844434.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/43/44489/1.jpg?9393,False,15 600 FCFA,78%,,
Lamp Veilleuse Coranique Led - 7 options de couleur,30 000 FCFA - 40 000 FCFA,https://www.jumia.sn/lamp-veilleuse-coranique-led-7-options-de-couleur-6102227.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/72/22016/1.jpg?3135,False,,,4 out of 5,(4)
White Label Lampe LED solaire capteur de mouvement,2 900 FCFA,https://www.jumia.sn/lampe-led-solaire-capteur-de-mouvement-white-label-mpg27763.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/89/51379/1.jpg?5218,False,6 500 FCFA,55%,3.9 out of 5,(18)
Generic - Lampe décorative en forme de lettre love- Rose,5 500 FCFA,https://www.jumia.sn/generic-lampe-decorative-en-forme-de-lettre-love-rose-10002724.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/42/720001/1.jpg?8531,False,,,,
White Label Lampe Led 3D - Chouette - 7 Couleurs,10 000 FCFA,https://www.jumia.sn/white-label-lampe-led-3d-chouette-7-couleurs-1182879.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/97/82811/1.jpg?7381,False,,,,
Generic Premium Lampe LED Solaire Discothèque en Boule Rotative,4 500 FCFA,https://www.jumia.sn/premium-lampe-led-solaire-discotheque-en-boule-rotative-generic-mpg34981.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/93/88879/1.jpg?6318,False,9 000 FCFA,50%,5 out of 5,(1)
Soléa Spot encastré GU10 Rond Blanc,3 000 FCFA,https://www.jumia.sn/solea-spot-encastre-gu10-rond-blanc-5617916.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/61/97165/1.jpg?1252,True,,,,
Other Jeu de Lumière avec Commande Vocale,17 500 FCFA,https://www.jumia.sn/other-jeu-de-lumiere-avec-commande-vocale-92883.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/38/829/1.jpg?4127,False,49 000 FCFA,64%,,
Generic Décoration LED Serigne Limamou Laye - Multicolore,6 900 FCFA,https://www.jumia.sn/generic-decoration-led-serigne-limamou-laye-multicolore-1871274.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/47/21781/1.jpg?4718,False,15 000 FCFA,54%,,
White Label LED Décorative USB - Lumière Blanche,2 700 FCFA,https://www.jumia.sn/led-decorative-usb-lumiere-blanche-white-label-mpg10990.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/79/358/1.jpg?4603,False,4 900 FCFA,45%,4.1 out of 5,(7)
Generic Led Strip Ruban LED Etanche 5M Multicolor,7 000 FCFA,https://www.jumia.sn/generic-led-strip-ruban-led-etanche-5m-multicolor-9928345.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/54/38299/1.jpg?9691,False,15 000 FCFA,53%,,
White and white Décoration lumineuse à 10 LED en forme de cœur en bois,5 225 FCFA,https://www.jumia.sn/white-and-white-decoration-lumineuse-a-10-led-en-forme-de-coeur-en-bois-9470964.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/46/90749/1.jpg?3752,False,5 500 FCFA,5%,4 out of 5,(2)
White Label Led USB Deco - Lumière Blanche,2 750 FCFA,https://www.jumia.sn/white-label-led-usb-deco-lumiere-blanche-3431864.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/46/81343/1.jpg?2960,False,6 000 FCFA,54%,4.3 out of 5,(3)
White Label LED USB Déco 5W - 50 points Lumineux Blancs,2 700 FCFA,https://www.jumia.sn/white-label-led-usb-deco-5w-50-points-lumineux-blancs-3431917.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/71/91343/1.jpg?8508,False,6 500 FCFA,58%,,
Generic 200 Leds Silver Wire Rattan LED String Holiday Wedding Christmas Lamp Four Colors,10 240 FCFA,https://www.jumia.sn/generic-200-leds-silver-wire-rattan-led-string-holiday-wedding-christmas-lamp-four-colors-779917.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/71/9977/1.jpg?2945,False,20 078 FCFA,49%,,
White Label Lampe led 3d aigle,8 000 FCFA,https://www.jumia.sn/white-label-lampe-led-3d-aigle-43839.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/93/834/1.jpg?4104,False,10 000 FCFA,20%,3 out of 5,(1)
Generic Lampe Rechargeable Éclairage de Secours 10W,9 350 FCFA,https://www.jumia.sn/generic-lampe-rechargeable-eclairage-de-secours-10w-7297327.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/72/37927/1.jpg?1177,False,11 000 FCFA,15%,,
"Unbrand Caméra de Surveillance 1080P, Ampoule HD WiFi sans Fil",19 250 FCFA,https://www.jumia.sn/unbrand-camera-de-surveillance-1080p-ampoule-hd-wifi-sans-fil-8849744.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/44/79488/1.jpg?1449,False,35 000 FCFA,45%,,
Generic Lampe Led 3D Spiderman - 7 Couleurs,10 000 FCFA,https://www.jumia.sn/generic-lampe-led-3d-spiderman-7-couleurs-1182874.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/47/82811/1.jpg?7051,False,,,,
Generic Lampe Led 3D - La Petite Sirène - 7 Couleurs,10 000 FCFA,https://www.jumia.sn/lampe-led-3d-la-petite-sirene-7-couleurs-generic-mpg28886.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/87/82811/1.jpg?7381,False,,,,
Generic Lampe Panel Suspendu - Blanc,95 000 FCFA,https://www.jumia.sn/lampe-panel-suspendu-blanc-generic-mpg7535.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/94/2801/1.jpg?5776,False,,,,
Generic Ampoule Caméra HD Surveillance Wifi sans Fil 1080P,19 453 FCFA,https://www.jumia.sn/ampoule-camera-hd-surveillance-wifi-sans-fil-1080p-unbrand-mpg38217.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/16/75888/1.jpg?4429,False,40 000 FCFA,51%,5 out of 5,(2)
White Label LED Décorative USB 5W - Lumière Blanche,2 790 FCFA,https://www.jumia.sn/led-decorative-usb-5w-lumiere-blanche-white-label-mpg40486.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/74/89343/1.jpg?7928,False,5 000 FCFA,44%,3.2 out of 5,(5)
White Label Lampe led 3d I love you avec de petits coeurs,10 000 FCFA,https://www.jumia.sn/white-label-lampe-led-3d-i-love-you-avec-de-petits-coeurs-43840.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/04/834/1.jpg?4164,False,,,,
White Label Lampe Led 3D Basketball,10 000 FCFA,https://www.jumia.sn/white-label-lampe-led-3d-basketball-47894.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/49/874/1.jpg?2641,False,,,,
Other Porte-Clés LED Khadim Rassoul,1 900 FCFA,https://www.jumia.sn/porte-cles-led-khadim-rassoul-other-mpg4633.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/44/5511/1.jpg?1094,False,,,,
Generic Lampe solaire de Secours Rechargeable - Camping Plein Air Voyager Blanc,20 470 FCFA,https://www.jumia.sn/generic-lampe-solaire-de-secours-rechargeable-camping-plein-air-voyager-blanc-515414.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/41/4515/1.jpg?8725,False,40 137 FCFA,49%,,
White Label Lampe led 3d Love - 7 couleurs -,10 000 FCFA,https://www.jumia.sn/white-label-lampe-led-3d-love-7-couleurs-43841.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/14/834/1.jpg?6143,False,,,,
Other Anti-Moustique Electrique - 20 W - LED,13 900 FCFA,https://www.jumia.sn/other-anti-moustique-electrique-20-w-led-4724955.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/55/94274/1.jpg?7210,False,25 000 FCFA,44%,,
White Label Lampe led 3d coeur avec fléche,10 000 FCFA,https://www.jumia.sn/white-label-lampe-led-3d-coeur-avec-fleche-47895.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/59/874/1.jpg?2641,False,,,,
