name,price,descrption_link,img_link,jumia_express,old_price,decrease_percentage,n_stars,n_votes
Generic Ecouteur type lightning Compatible iPhone 5-6-7-8 - Blanc,3 640 FCFA,https://www.jumia.sn/ecouteur-type-lightning-compatible-iphone-5-6-7-8-blanc-generic-mpg33248.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/20/62579/1.jpg?9918,False,10 000 FCFA,64%,1 out of 5,(1)
Generic Ecouteur type lightning pour Iphone - Blanc,2 300 FCFA,https://www.jumia.sn/ecouteur-type-lightning-pour-iphone-blanc-generic-mpg9926.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/30/94149/1.jpg?3167,False,5 000 FCFA,54%,3.4 out of 5,(63)
Generic Écouteur avec Fil - Blanc,2 700 FCFA,https://www.jumia.sn/ecouteur-avec-fil-blanc-generic-mpg36265.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/64/09738/1.jpg?3452,False,,,3 out of 5,(3)
Generic Écouteurs pour Téléphone - Blanc,1 610 FCFA,https://www.jumia.sn/generic-ecouteurs-pour-telephone-blanc-9847388.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/88/37489/1.jpg?5110,False,7 000 FCFA,77%,,
Bat Music Ecouteur Mono- Bluetooth - Noir,2 290 FCFA,https://www.jumia.sn/ecouteur-mono-bluetooth-noir-bat-music-mpg17016.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/00/94622/1.jpg?8293,False,16 000 FCFA,86%,,
"Generic Écouteurs pour iPhone - 4,5,6 et 7- Blanc",1 900 FCFA,https://www.jumia.sn/ecouteurs-pour-iphone-456-et-7-blanc-apple-mpg541.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/39/14706/1.jpg?0368,False,4 000 FCFA,53%,3.8 out of 5,(4)
TWS Ecouteurs Mains Libres Air Oreillettes - Sans Fil -Bluetooth -noir,10 999 FCFA,https://www.jumia.sn/tws-ecouteurs-mains-libres-air-oreillettes-sans-fil-bluetooth-noir-10021844.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/44/812001/1.jpg?5732,False,25 000 FCFA,56%,,
"Generic Universel Pour Iphone 7 6 6s Plus Samsung S7 Étui étanche Sac étanche Pour Téléphone Portable Étanche Sac étanche Avec Sifflet Pour Téléphone Intelligent Jusqu'à 5,8 Pouces (Blanc)",7 480 FCFA,https://www.jumia.sn/generic-universel-pour-iphone-7-6-6s-plus-samsung-s7-etui-etanche-sac-etanche-pour-telephone-portable-etanche-sac-etanche-avec-sifflet-pour-telephone-intelligent-jusqua-58-pouces-blanc-289941.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/14/9982/1.jpg?3673,False,17 880 FCFA,58%,,
Generic Ecouteur type lightning Compatible iPhone 5-6-7-8 -X- Blanc,4 000 FCFA,https://www.jumia.sn/generic-ecouteur-type-lightning-compatible-iphone-5-6-7-8-x-blanc-9970845.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/54/80799/1.jpg?2438,False,10 000 FCFA,60%,1 out of 5,(1)
Itel Ecouteur Intra-auriculaires- Noir,2 400 FCFA,https://www.jumia.sn/ecouteur-intra-auriculaires-noir-itel-mpg36692.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/37/96606/1.jpg?5908,False,5 400 FCFA,56%,4 out of 5,(4)
