name,price,descrption_link,img_link,jumia_express,old_price,decrease_percentage,n_stars,n_votes
TWS Bluetooth headset 5.0 model KJ10,3 900 FCFA,https://www.jumia.sn/casque-sans-fil-bluetooth-noir-generic-mpg32865.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/23/36909/1.jpg?3853,True,8 898 FCFA,56%,3.6 out of 5,(7)
TWS Ecouteurs Pro 5 - Android / Ios - Qualité Garantie,4 900 FCFA,https://www.jumia.sn/ecouteurs-pro-5-android-ios-qualite-garantie-blanc-tws-mpg38014.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/63/35965/1.jpg?3881,False,50 000 FCFA,90%,3.5 out of 5,(181)
Generic Écouteurs Bluetooth F9 + Capacité De Batterie 2000mAh,7 690 FCFA,https://www.jumia.sn/ecouteurs-bluetooth-f9-capacite-de-batterie-2000mah-generic-mpg36271.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/43/57216/1.jpg?0506,True,13 153 FCFA,42%,3.9 out of 5,(220)
TWS Ecouteurs Pro8s qualité garantie blanc,8 990 FCFA,https://www.jumia.sn/tws-ecouteurs-pro8s-qualite-garantie-blanc-9847069.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/96/07489/1.jpg?8600,False,35 000 FCFA,74%,,
Generic Casque De Sport Bluetooth Intra-auriculaire Intelligent Casque Stéréo Sans Fil Casque De Jeu,4 870 FCFA,https://www.jumia.sn/generic-casque-de-sport-bluetooth-intra-auriculaire-intelligent-casque-stereo-sans-fil-casque-de-jeu-9832499.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/99/42389/1.jpg?0035,True,10 660 FCFA,54%,,
Generic Oreillette Bluetooth F9 5.0 - Noir,6 610 FCFA,https://www.jumia.sn/generic-oreillette-bluetooth-f9-5.0-noir-8852766.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/66/72588/1.jpg?0208,True,12 961 FCFA,49%,3.9 out of 5,(20)
Generic Écouteurs Sans Fil Bluetooth 5.0 PRO3 Écouteurs étanches Air3 Business Big Batteries Headset,6 270 FCFA,https://www.jumia.sn/generic-ecouteurs-sans-fil-bluetooth-5.0-pro3-ecouteurs-etanches-air3-business-big-batteries-headset-9832507.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/70/52389/1.jpg?5466,True,13 104 FCFA,52%,,
TWS Ecouteurs Pro 5 - Android / Ios + Etui Offert couleur Aléatoire,5 900 FCFA,https://www.jumia.sn/ecouteurs-pro-5-android-ios-etui-offert-couleur-aleatoire-tws-mpg38013.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/77/14706/1.jpg?0365,False,30 000 FCFA,80%,3.7 out of 5,(50)
Generic Ecouteurs Pro 5S Bluetooth Sans fil Casque Android Tws Mini - Blanc,7 500 FCFA,https://www.jumia.sn/generic-ecouteurs-pro-5s-bluetooth-sans-fil-casque-android-tws-mini-blanc-9960292.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/29/20699/1.jpg?9401,False,15 000 FCFA,50%,,
TWS Écouteurs sans Fil i12 tws -avec Boîtier Rechargeable portatif - Blanc,4 750 FCFA,https://www.jumia.sn/tws-ecouteurs-sans-fil-i12-tws-avec-boitier-rechargeable-portatif-blanc-9974283.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/38/24799/1.jpg?8270,False,15 000 FCFA,68%,3 out of 5,(1)
IOOIOO Véritables écouteurs Sans Fil Bluetooth Contrôle Tactile Avec étui De Charge Écouteurs Stéréo Micro Intégré Dans L'oreille,8 990 FCFA,https://www.jumia.sn/iooioo-veritables-ecouteurs-sans-fil-bluetooth-controle-tactile-avec-etui-de-charge-ecouteurs-stereo-micro-integre-dans-loreille-9732509.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/90/52379/1.jpg?0347,True,14 880 FCFA,40%,,
Generic P40 Generic Étui - Silicone - Rouge-Protection de coque,6 600 FCFA,https://www.jumia.sn/generic-p40-generic-etui-silicone-rouge-protection-de-coque-9251674.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/47/61529/1.jpg?3600,True,12 941 FCFA,49%,3.3 out of 5,(7)
Generic Ecouteurs Bluetooth sans fil pro 5 -blanc,6 000 FCFA,https://www.jumia.sn/ecouteurs-bluetooth-sans-fil-pro-5-blanc-generic-mpg33255.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/07/96339/1.jpg?5439,False,,,,
TWS Ecouteurs mini Pro 11 - ANDROID / IOS - Qualité Garantie,7 450 FCFA,https://www.jumia.sn/ecouteurs-mini-pro-11-android-ios-qualite-garantie-tws-mpg46274.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/51/02099/1.jpg?8087,False,35 000 FCFA,79%,4.1 out of 5,(7)
TWS Ecouteurs bluetooth -blanc,7 900 FCFA,https://www.jumia.sn/ecouteurs-pro5s-tws-mpg38022.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/32/82388/1.jpg?0174,False,30 000 FCFA,74%,4 out of 5,(18)
TWS ECOUTEURS PRO 8 S 2021,8 800 FCFA,https://www.jumia.sn/ecouteurs-pro-8-s-2021-tws-mpg44240.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/59/13489/1.jpg?5805,False,35 000 FCFA,75%,,
TWS Ecouteurs Bluetooth Pro5 - Blanc,5 700 FCFA,https://www.jumia.sn/tws-ecouteurs-bluetooth-pro5-blanc-9355016.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/61/05539/1.jpg?0354,False,6 750 FCFA,16%,3.5 out of 5,(42)
