name,price,descrption_link,img_link,jumia_express,old_price,decrease_percentage,n_stars,n_votes
SMART TECHNOLOGY Régulateur De Tension Automatique - AVR-2000Va - Inverter - Noir/Rouge - Garantie 12 mois,20 800 FCFA,https://www.jumia.sn/smart-technology-regulateur-de-tension-automatique-avr-2000va-inverter-noirrouge-garantie-12-mois-8886049.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/94/06888/1.jpg?5363,True,35 000 FCFA,41%,4.4 out of 5,(7)
Generic Carte D'extension - EU Plug,2 998 FCFA,https://www.jumia.sn/generic-carte-dextension-eu-plug-9099029.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/92/09909/1.jpg?7605,True,9 000 FCFA,67%,4.1 out of 5,(11)
SMART TECHNOLOGY Régulateur De Tension Automatique - AVR-1000Va - Inverter - Noir/Rouge Garantie 12 mois,15 100 FCFA,https://www.jumia.sn/smart-technology-regulateur-de-tension-automatique-avr-1000va-inverter-noirrouge-garantie-12-mois-8886023.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/32/06888/1.jpg?0345,True,30 000 FCFA,50%,4.3 out of 5,(3)
"Schneider Electric Bouton-poussoir Lumineux, Auto, Blanc",3 213 FCFA,https://www.jumia.sn/schneider-electric-bouton-poussoir-lumineux-auto-blanc-9794654.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/45/64979/1.jpg?2239,False,3 500 FCFA,8%,,
TOTAL Tournevis Electrique - 4.8V - 24 Piéces,51 900 FCFA,https://www.jumia.sn/total-tournevis-electrique-4.8v-24-pieces-9220558.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/85/50229/1.jpg?5375,False,,,,
Power MULTIPRISE POWER SOCKET ANTI STATIC,10 900 FCFA,https://www.jumia.sn/power-multiprise-power-socket-anti-static-9845367.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/76/35489/1.jpg?6101,False,20 000 FCFA,46%,,
TOTAL Clé à Molette ou Clé à Fourche N°12(diam-41mm),8 900 FCFA,https://www.jumia.sn/total-cle-a-molette-ou-cle-a-fourche-n12diam-41mm-9220564.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/46/50229/1.jpg?5375,False,,,,
Generic Bloc Multiprise - 5 Prises 16A avec Interrupteur - Blanc,2 890 FCFA,https://www.jumia.sn/bloc-multiprise-5-prises-16a-avec-interrupteur-blanc-white-label-mpg6316.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/30/733/1.jpg?2282,False,5 900 FCFA,51%,3.6 out of 5,(38)
Generic Adaptateurs 3 Prises 3 Ports USB,5 653 FCFA,https://www.jumia.sn/generic-adaptateurs-3-prises-3-ports-usb-8841541.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/14/51488/1.jpg?9372,True,11 084 FCFA,49%,4.2 out of 5,(11)
Schneider Electric Harmony XB5 - Bouton Tournant Manette - Ø22 - 3 Pos Fix - Noir - 2 F -Vis Étrier,6 429 FCFA,https://www.jumia.sn/schneider-electric-harmony-xb5-bouton-tournant-manette-o22-3-pos-fix-noir-2-f-vis-etrier-9794976.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/67/94979/1.jpg?7877,False,,,,
