name,price,descrption_link,img_link,jumia_express,old_price,decrease_percentage,n_stars,n_votes
"Generic Dispositif De Surveillance Automatique De Suivi Caméra IP De Sécurité Sans Fil,1080P, PTZ, Vision Nocturne",15 400 FCFA,https://www.jumia.sn/generic-dispositif-de-surveillance-automatique-de-suivi-camera-ip-de-securite-sans-fil1080p-ptz-vision-nocturne-9820584.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/48/50289/1.jpg?7711,True,23 450 FCFA,34%,,
Generic Caméra Ampoule Panoramique,25 000 FCFA,https://www.jumia.sn/generic-camera-ampoule-panoramique-8789675.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/57/69878/1.jpg?0491,False,30 000 FCFA,17%,,
Generic Caméra ampoule wifi HD 960 panoramique 360 avec détection de mouvement,19 900 FCFA,https://www.jumia.sn/generic-camera-ampoule-wifi-hd-960-panoramique-360-avec-detection-de-mouvement-6096070.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/07/06906/1.jpg?6396,False,50 000 FCFA,60%,,
Generic Caméra De Surveillance - Wifi - 1080P - PTZ - 4X Zoom - 2MP - CCTV - Blanc / Noir,28 400 FCFA,https://www.jumia.sn/generic-camera-de-surveillance-wifi-1080p-ptz-4x-zoom-2mp-cctv-blanc-noir-9820574.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/47/50289/1.jpg?7953,True,34 990 FCFA,19%,,
Generic Home-6 LED Waterproof 1M 7mm Phone Endoscope Inspection Camera For Android PC*,17 950 FCFA,https://www.jumia.sn/generic-home-6-led-waterproof-1m-7mm-phone-endoscope-inspection-camera-for-android-pc-774489.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/98/4477/1.jpg?9189,False,35 196 FCFA,49%,,
YI Camera de Surveillance IP Wifi Intérieur FULL HD 1080P - YI HOME 1080P AI,22 000 FCFA,https://www.jumia.sn/camera-de-surveillance-ip-wifi-interieur-full-hd-1080p-yi-home-1080p-ai-yi-mpg44016.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/36/99389/1.jpg?9532,False,75 000 FCFA,71%,5 out of 5,(1)
Generic Lampe caméra de surveillance V3801080P Hd Wifi,17 993 FCFA,https://www.jumia.sn/lampe-camera-de-surveillance-v3801080p-hd-wifi-generic-mpg28890.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/89/33535/1.jpg?8318,False,30 000 FCFA,40%,3.3 out of 5,(9)
Unbrand Camera cachee en Stylo Full HD Enregistreur Vocal et Video + Carte memoire 32Go,19 900 FCFA,https://www.jumia.sn/camera-cachee-en-stylo-full-hd-enregistreur-vocal-et-video-carte-memoire-32go-unbrand-mpg40121.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/72/80388/1.jpg?4040,False,25 000 FCFA,20%,4 out of 5,(1)
Generic Mini sans fil WIFI Caméra IP HD Smart Home caméra Night Vision sécurité 1080P Noir,35 450 FCFA,https://www.jumia.sn/generic-mini-sans-fil-wifi-camera-ip-hd-smart-home-camera-night-vision-securite-1080p-noir-1195837.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/73/85911/1.jpg?7191,False,69 510 FCFA,49%,,
Generic Caméra Ampoule Wifi HD Panoramique 360 avec Détection de Mouvement,28 900 FCFA,https://www.jumia.sn/generic-camera-ampoule-wifi-hd-panoramique-360-avec-detection-de-mouvement-6096068.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/86/06906/1.jpg?6400,False,50 000 FCFA,42%,,
Hikvision Kit Caméra de Surveillance,200 000 FCFA,https://www.jumia.sn/hikvision-kit-camera-de-surveillance-491782.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/28/7194/1.jpg?5925,False,,,,
Dahua - DH-HAC-HDW1209TLQP-A-LED Caméra Dôme HDCVI Couleur 2M,35 000 FCFA,https://www.jumia.sn/dahua-dh-hac-hdw1209tlqp-a-led-camera-dome-hdcvi-couleur-2m-9999031.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/13/09999/1.jpg?4308,False,,,,
UK Plus - Caméra solaire extérieure - avec détection de mouvement,200 000 FCFA,https://www.jumia.sn/uk-plus-camera-solaire-exterieure-avec-detection-de-mouvement-10019880.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/08/891001/1.jpg?1584,False,,,,
Anran CAMERA DE VIDEO SURVEILLANCE SURVEILLANCE,295 000 FCFA,https://www.jumia.sn/anran-camera-de-video-surveillance-surveillance-10023286.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/68/232001/1.jpg?3727,False,,,,
"Unbrand GPS Traceur Localisateur Suivi avec Précision en Temps Réel de Véhicule, moto",50 000 FCFA,https://www.jumia.sn/unbrand-gps-traceur-localisateur-suivi-avec-precision-en-temps-reel-de-vehicule-moto-8814512.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/21/54188/1.jpg?5259,False,,,,
