name,price,descrption_link,img_link,jumia_express,old_price,decrease_percentage,n_stars,n_votes
Roch Blender avec broyeur 2 en 1 - 1.5 L - Roch RBL-113-C,9 600 FCFA,https://www.jumia.sn/blender-avec-broyeur-2-en-1-1.5-l-roch-rbl-113-c-roch-mpg43720.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/09/78389/1.jpg?6400,True,20 000 FCFA,52%,3.9 out of 5,(102)
Generic Casque Bluetooth Sport Tour de Cou,2 990 FCFA,https://www.jumia.sn/generic-casque-bluetooth-sport-tour-de-cou-9079531.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/13/59709/4.jpg?2842,True,5 863 FCFA,49%,3.9 out of 5,(71)
Generic Écouteurs intra-auriculaires sans fil Bluetooth 5.0 TWS Pro 4,3 900 FCFA,https://www.jumia.sn/generic-ecouteurs-intra-auriculaires-sans-fil-bluetooth-5.0-tws-pro-4-9842644.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/44/62489/1.jpg?8498,True,8 647 FCFA,55%,3.1 out of 5,(9)
Roch Blender avec broyeur 2 en 1 - 1.5 L - Roch RBL-116-C,9 600 FCFA,https://www.jumia.sn/roch-blender-avec-broyeur-2-en-1-1.5-l-roch-rbl-116-c-9838793.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/39/78389/1.jpg?3499,True,20 000 FCFA,52%,4 out of 5,(73)
LIVONA TV LED 32 pouces - 32LV100A - HD - Noir,64 900 FCFA,https://www.jumia.sn/livona-tv-led-32-pouces-32lv100a-hd-noir-9851931.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/13/91589/1.jpg?4884,True,80 000 FCFA,19%,3.8 out of 5,(18)
Amoi Écouteur Bluetooth Amoi F9 + Powerbank + Code authentique - Noir,4 500 FCFA,https://www.jumia.sn/ecouteur-bluetooth-amoi-f9-powerbank-code-authentique-noir-amoi-mpg38942.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/97/26995/1.jpg?7769,False,12 000 FCFA,63%,3.8 out of 5,(712)
Jerry TV LED 19 Pouces - HD - Noir,26 900 FCFA,https://www.jumia.sn/tv-led-19-pouces-hdmi-usb-noir-jerry-mpg3127.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/22/93589/1.jpg?9383,True,35 000 FCFA,23%,4.1 out of 5,(17)
AMK Téléviseur LED 32 Pouces - HD 81 CM- AMK - Garantie 1 An Noir,70 900 FCFA,https://www.jumia.sn/amk-televiseur-led-32-pouces-hd-81-cm-amk-garantie-1-an-noir-9279318.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/81/39729/1.jpg?5004,True,90 000 FCFA,21%,3.9 out of 5,(19)
"Aiwa Téléviseur LED - Ecran 32"" - L/H 78 x 11 x 50 cm - HDMI x 2 USB x 2 - Noir",69 900 FCFA,https://www.jumia.sn/aiwa-televiseur-led-ecran-32-lh-78-x-11-x-50-cm-hdmi-x-2-usb-x-2-noir-2198697.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/79/68912/1.jpg?8593,True,150 000 FCFA,53%,4 out of 5,(236)
Generic Batteur Electrique - 7 vitesses - 260W - Blanc,4 228 FCFA,https://www.jumia.sn/batteur-electrique-7-vitesses-180w-blanc-generic-mpg32616.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/67/75016/1.jpg?8862,True,8 290 FCFA,49%,4 out of 5,(80)
Astech Réfrigérateur bar 2 portes 85L - FP 118 - Gris,95 500 FCFA,https://www.jumia.sn/refrigerateur-bar-2-portes-118l-a-astech-fp-118-astech-mpg44992.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/42/94489/1.jpg?1050,True,105 000 FCFA,9%,3.7 out of 5,(10)
Generic Écouteur Bluetooth F9 + Powerbank - Noir,7 990 FCFA,https://www.jumia.sn/generic-ecouteur-bluetooth-f9-powerbank-noir-6030270.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/07/20306/1.jpg?1482,True,10 871 FCFA,27%,4 out of 5,(216)
"Aiwa Téléviseur LED - Smart /Android 9.0TV - Ecran 32"" - Noir - Garantie 6 Mois",99 900 FCFA,https://www.jumia.sn/aiwa-televiseur-led-smart-android-9.0tv-ecran-32-noir-garantie-6-mois-5744700.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/00/74475/1.jpg?5044,True,109 990 FCFA,9%,4.2 out of 5,(55)
SMART TECHNOLOGY Congélateur Horizontal 72 Litres Brut - Gris - Garantie 12 Mois,88 850 FCFA,https://www.jumia.sn/smart-technology-congelateur-horizontal-72-litres-brut-gris-garantie-12-mois-8886039.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/93/06888/4.jpg?2172,True,150 000 FCFA,41%,3.1 out of 5,(11)
Astech Réfrigérateur - Astech - 2 Portes - Gris - 138 Litres - A+ - Garantie 12 Mois,139 950 FCFA,https://www.jumia.sn/refrigerateur-astech-2-portes-gris-138-litres-a-garantie-12-mois-astech-mpg42011.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/12/94489/1.jpg?1050,True,145 000 FCFA,3%,3.3 out of 5,(29)
SMART TECHNOLOGY Cuisinière à Gaz 4 Feux Inox -Four- Rotisseur - Allumage automatique - 50x50Cm - Inox,92 200 FCFA,https://www.jumia.sn/smart-technology-cuisiniere-a-gaz-4-feux-inox-four-rotisseur-allumage-automatique-50x50cm-inox-9752801.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/10/82579/1.jpg?2189,True,150 000 FCFA,39%,4.4 out of 5,(25)
SMART TECHNOLOGY TV LED 43 Pouces - Full HD - Noir - Garantie 12 Mois + Support mural offert,124 900 FCFA,https://www.jumia.sn/smart-technology-tv-led-43-pouces-full-hd-noir-garantie-12-mois-support-mural-offert-9802733.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/33/72089/1.jpg?9648,True,175 000 FCFA,29%,4.1 out of 5,(14)
Haier Réfrigérateur Combiné 175 Litres - 3 Tiroirs - HDR230MPS – Garantie 12 Mois,159 900 FCFA,https://www.jumia.sn/haier-refrigerateur-combine-175-litres-3-tiroirs-hdr230mps-garantie-12-mois-9970868.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/86/80799/1.jpg?7805,True,167 617 FCFA,5%,,
SMART TECHNOLOGY Réfrigérateur Bar 1 Porte 90 Litres - Inox - Garantie 12 Mois,79 900 FCFA,https://www.jumia.sn/smart-technology-refrigerateur-bar-1-porte-90-litres-inox-garantie-12-mois-9827947.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/74/97289/1.jpg?8449,True,100 000 FCFA,20%,3.1 out of 5,(13)
Hisense Téléviseur LED 32 Pouces - 32A6600FS - Smart TV Android - Garantie 12 Mois,99 900 FCFA,https://www.jumia.sn/hisense-televiseur-led-32-pouces-32a6600fs-smart-tv-android-garantie-12-mois-9811737.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/73/71189/1.jpg?4886,True,129 000 FCFA,23%,4 out of 5,(8)
Light Wave Smart TV Android 32 pouces,89 900 FCFA,https://www.jumia.sn/light-wave-smart-tv-android-32-pouces-9972315.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/51/32799/1.jpg?4786,True,99 900 FCFA,10%,4 out of 5,(1)
Astech Cuisinière 4 feux 50X50 CSI-50MS,76 900 FCFA,https://www.jumia.sn/astech-cuisiniere-4-feux-50x50-csi-50ms-9850925.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/52/90589/1.jpg?2251,True,90 000 FCFA,15%,3.5 out of 5,(6)
Original Encensoir Electrique - And Thiouraye,3 900 FCFA,https://www.jumia.sn/encensoir-electrique-and-thiouraye-original-mpg37151.html,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/82/61979/1.jpg?2204,False,6 500 FCFA,40%,4.3 out of 5,(3)
