torrent name,size,Seed,Leech,link
Shmup Collection V2.0.0b (SWITCH),1.4 GB,3,0,https://www.oxtorrent.co/torrent/91360/shmup-collection-v2-0-0b-switch
MotoGP™22 (SWITCH),12.8 GB,0,3,https://www.oxtorrent.co/torrent/90356/motogp-22-switch
Dirt 2 (XBOX360),7.3 GB,1,6,https://www.oxtorrent.co/torrent/88949/dirt-2-xbox360
Left 4 Dead 2 (XBOX360),7.3 GB,3,0,https://www.oxtorrent.co/torrent/88823/left-4-dead-2-xbox360
007 Legends (XBOX360),8.1 GB,1,0,https://www.oxtorrent.co/torrent/88822/007-legends-xbox360
Dragon Ball FighterZ V1.30 (SWITCH),9.8 GB,2,0,https://www.oxtorrent.co/torrent/88737/dragon-ball-fighterz-v1-30-switch
Pokemon Legends Arceus V1.0.2 (SWITCH),6.1 GB,2,4,https://www.oxtorrent.co/torrent/88376/pokemon-legends-arceus-v1-0-2-switch
Windjammers 2 (SWITCH),573.9 MB,1,0,https://www.oxtorrent.co/torrent/87688/windjammers-2-switch
Windjammers 2 (PS4),548.0 MB,1,0,https://www.oxtorrent.co/torrent/87687/windjammers-2-ps4
Doom 3 (PS4),8.6 GB,3,1,https://www.oxtorrent.co/torrent/87527/doom-3-ps4
Harry Potter pour Kinect (XBOX360),8.1 GB,1,0,https://www.oxtorrent.co/torrent/87526/harry-potter-pour-kinect-xbox360
RIDERS REPUBLIC (PS4),29.5 GB,0,7,https://www.oxtorrent.co/torrent/87231/riders-republic-ps4
Virtua Fighter 5 Ultimate Showdown (PS4),10.5 GB,0,7,https://www.oxtorrent.co/torrent/87174/virtua-fighter-5-ultimate-showdown-ps4
Call of Duty Vanguard (PS4),72.5 GB,1,4,https://www.oxtorrent.co/torrent/87086/call-of-duty-vanguard-ps4
Gear Club Unlimited 2 v1.7.2 (SWITCH),4.8 GB,0,11,https://www.oxtorrent.co/torrent/87085/gear-club-unlimited-2-v1-7-2-switch
Chernobylite (PS4),10.4 GB,1,0,https://www.oxtorrent.co/torrent/87084/chernobylite-ps4
Black Widow Recharged V1.0.1 (SWITCH),444.2 MB,1,0,https://www.oxtorrent.co/torrent/86985/black-widow-recharged-v1-0-1-switch
NHL 22 (PS4),31.7 GB,0,3,https://www.oxtorrent.co/torrent/86984/nhl-22-ps4
Pokemon Diamant Etincelant V1.1.3 (SWITCH),6.8 GB,4,1,https://www.oxtorrent.co/torrent/86780/pokemon-diamant-etincelant-v1-1-3-switch
MONSTER HUNTER RISE V3.7.0 (SWITCH),10.4 GB,1,0,https://www.oxtorrent.co/torrent/86716/monster-hunter-rise-v3-7-0-switch
Hades (PS4),7.5 GB,1,0,https://www.oxtorrent.co/torrent/86715/hades-ps4
Need For Speed MOST WANTED (XBOX360),8.1 GB,1,2,https://www.oxtorrent.co/torrent/86714/need-for-speed-most-wanted-xbox360
Need For Speed Hot Pursuit (XBOX360),7.3 GB,2,0,https://www.oxtorrent.co/torrent/86713/need-for-speed-hot-pursuit-xbox360
HITMAN 3 (PS4),63.8 GB,1,1,https://www.oxtorrent.co/torrent/86712/hitman-3-ps4
Kena Bridge of Spirits (PS4),7.8 GB,2,2,https://www.oxtorrent.co/torrent/86591/kena-bridge-of-spirits-ps4
