torrent name,size,Seed,Leech,link
Système D - Mai 2022,121.7 MB,65,5,https://www.oxtorrent.co/torrent/90620/syst-me-d-mai-2022
Le Canard enchaîné - 27 Avril 2022,8.7 MB,32,0,https://www.oxtorrent.co/torrent/90619/le-canard-encha-n-27-avril-2022
Pack Journaux du 27 Avril 2022,605.2 MB,9,4,https://www.oxtorrent.co/torrent/90618/pack-journaux-du-27-avril-2022
Le Monde du 28 Avril 2022,13.3 MB,16,1,https://www.oxtorrent.co/torrent/90617/le-monde-du-28-avril-2022
L’equipe du 27 Avril 2022,14.0 MB,8,0,https://www.oxtorrent.co/torrent/90616/l-equipe-du-27-avril-2022
L'Ami des Jardins - Mai 2022,84.2 MB,45,3,https://www.oxtorrent.co/torrent/90615/l-ami-des-jardins-mai-2022
Pack Journaux du 25 Avril 2022,725.2 MB,17,1,https://www.oxtorrent.co/torrent/90614/pack-journaux-du-25-avril-2022
Le Monde du 26 Avril 2022,27.7 MB,22,0,https://www.oxtorrent.co/torrent/90613/le-monde-du-26-avril-2022
L’equipe du Lundi 25 Avril 2022,10.3 MB,5,0,https://www.oxtorrent.co/torrent/90612/l-equipe-du-lundi-25-avril-2022
Investir - 23 Avril 2022,13.0 MB,61,6,https://www.oxtorrent.co/torrent/90611/investir-23-avril-2022
L’equipe du 23 Avril 2022,18.9 MB,0,12,https://www.oxtorrent.co/torrent/90610/l-equipe-du-23-avril-2022
T3 France - 04 2022,74.2 MB,42,13,https://www.oxtorrent.co/torrent/90609/t3-france-04-2022
Le Monde du 24 Avril 2022,13.7 MB,31,1,https://www.oxtorrent.co/torrent/90608/le-monde-du-24-avril-2022
L’Auto-Journal - 21 Avril 2022,67.0 MB,60,3,https://www.oxtorrent.co/torrent/90607/l-auto-journal-21-avril-2022
Paris Match - 21 Avril 2022,94.2 MB,17,0,https://www.oxtorrent.co/torrent/90606/paris-match-21-avril-2022
Pack Journaux du 21 Avril 2022,631.9 MB,10,1,https://www.oxtorrent.co/torrent/90605/pack-journaux-du-21-avril-2022
Le Monde du 22 Avril 2022,10.3 MB,6,0,https://www.oxtorrent.co/torrent/90604/le-monde-du-22-avril-2022
L’equipe du 21 Avril 2022,16.1 MB,3,0,https://www.oxtorrent.co/torrent/90603/l-equipe-du-21-avril-2022
Science & Vie - Mai 2022,94.7 MB,57,8,https://www.oxtorrent.co/torrent/90602/science-vie-mai-2022
Le Canard enchaîné - 20 Avril 2022,15.7 MB,26,1,https://www.oxtorrent.co/torrent/90601/le-canard-encha-n-20-avril-2022
Pack Journaux du 15 Avril 2022,611.6 MB,12,4,https://www.oxtorrent.co/torrent/90600/pack-journaux-du-15-avril-2022
Le Monde + Magazine du 16 Avril 2022,32.1 MB,19,0,https://www.oxtorrent.co/torrent/90599/le-monde-magazine-du-16-avril-2022
L’equipe du Vendredi 15 Avril 2022,13.1 MB,6,2,https://www.oxtorrent.co/torrent/90598/l-equipe-du-vendredi-15-avril-2022
Auto Plus - 15 Avril 2022,60.4 MB,45,1,https://www.oxtorrent.co/torrent/90597/auto-plus-15-avril-2022
