torrent name,size,Seed,Leech,link
DEADCRAFT (PC),4.7 GB,9,6,https://www.oxtorrent.co/torrent/91359/deadcraft-pc
Super Mario Bros Version 1.0.0 (PC),9.1 MB,86,6,https://www.oxtorrent.co/torrent/91358/super-mario-bros-version-1-0-0-pc
Deadly Dozen Reloaded (PC),15.4 GB,12,10,https://www.oxtorrent.co/torrent/90719/deadly-dozen-reloaded-pc
THE HOUSE OF THE DEAD: Remake (PC),6.0 GB,12,8,https://www.oxtorrent.co/torrent/90718/the-house-of-the-dead-remake-pc
Bully: Scholarship Edition Modded (PC),2.4 GB,10,4,https://www.oxtorrent.co/torrent/90465/bully-scholarship-edition-modded-pc
MotoGP™22 (PC),26.8 GB,6,18,https://www.oxtorrent.co/torrent/90355/motogp-22-pc
Red Dead Redemption (PC),12.5 GB,11,19,https://www.oxtorrent.co/torrent/90354/red-dead-redemption-pc
Deathloop (PC),25.5 GB,23,9,https://www.oxtorrent.co/torrent/90044/deathloop-pc
Forza Horizon 5 (PC),89.5 GB,12,48,https://www.oxtorrent.co/torrent/89420/forza-horizon-5-pc
Ghostwire: Tokyo - Deluxe Edition (PC),13.3 GB,9,16,https://www.oxtorrent.co/torrent/89419/ghostwire-tokyo-deluxe-edition-pc
WWE 2K22 (PC),47.9 GB,9,13,https://www.oxtorrent.co/torrent/89345/wwe-2k22-pc
WWE 2K22 Deluxe Edition (PC),48.2 GB,4,17,https://www.oxtorrent.co/torrent/89192/wwe-2k22-deluxe-edition-pc
ELDEN RING (PC),45.4 GB,49,39,https://www.oxtorrent.co/torrent/88821/elden-ring-pc
Alfred Hitchcock - Vertigo (PC),17.1 GB,1,8,https://www.oxtorrent.co/torrent/88736/alfred-hitchcock-vertigo-pc
BMW – LFKF Figari–Sud Corse Airport v1.3.0 (PC),883.0 MB,7,1,https://www.oxtorrent.co/torrent/88735/bmw-lfkf-figari-sud-corse-airport-v1-3-0-pc
Titan Quest Anniversary Edition v2.10.2 (PC),15.2 GB,1,5,https://www.oxtorrent.co/torrent/88734/titan-quest-anniversary-edition-v2-10-2-pc
Beyond a Steel Sky (PC),14.8 GB,2,9,https://www.oxtorrent.co/torrent/88733/beyond-a-steel-sky-pc
SIFU (PC),14.7 GB,11,19,https://www.oxtorrent.co/torrent/88232/sifu-pc
ICARUS (PC),20.7 GB,7,18,https://www.oxtorrent.co/torrent/88012/icarus-pc
Pokemon Legends - Arceus (PC),2.2 GB,15,25,https://www.oxtorrent.co/torrent/87802/pokemon-legends-arceus-pc
Windjammers 2 (PC),418.6 MB,2,0,https://www.oxtorrent.co/torrent/87686/windjammers-2-pc
MSFS 2020 - Aerosoft DHC-6 Twin Otter V 1.0.0 (PC),6.4 GB,1,3,https://www.oxtorrent.co/torrent/87618/msfs-2020-aerosoft-dhc-6-twin-otter-v-1-0-0-pc
God of War (PC),29.8 GB,28,25,https://www.oxtorrent.co/torrent/87525/god-of-war-pc
Chernobylite (PC),34.5 GB,6,1,https://www.oxtorrent.co/torrent/87083/chernobylite-pc
Myst (PC),10.0 GB,5,0,https://www.oxtorrent.co/torrent/86779/myst-pc
Five Nights at Freddy's: Security Breach (PC),47.5 GB,2,1,https://www.oxtorrent.co/torrent/86711/five-nights-at-freddy-s-security-breach-pc
Grim Tales 19 - Trace dans le Temps (PC),833.9 MB,13,1,https://www.oxtorrent.co/torrent/86710/grim-tales-19-trace-dans-le-temps-pc
Forza Horizon 5: Premium Edition (PC),59.3 GB,10,6,https://www.oxtorrent.co/torrent/86589/forza-horizon-5-premium-edition-pc
Halloween Chronicles Derriere la Porte EC Team Stargate (PC),1.6 GB,6,1,https://www.oxtorrent.co/torrent/86588/halloween-chronicles-derriere-la-porte-ec-team-stargate-pc
Final Fantasy VII Remake Intergrade (PC),90.4 GB,7,6,https://www.oxtorrent.co/torrent/86587/final-fantasy-vii-remake-intergrade-pc
MXGP 2021 (PC),15.8 GB,1,8,https://www.oxtorrent.co/torrent/86036/mxgp-2021-pc
BIOMUTANT (PC),10.9 GB,2,2,https://www.oxtorrent.co/torrent/86035/biomutant-pc
Farming Simulator 22 (PC),14.1 GB,1,3,https://www.oxtorrent.co/torrent/85681/farming-simulator-22-pc
Sherlock Holmes Chapter One (PC),26.3 GB,0,3,https://www.oxtorrent.co/torrent/85457/sherlock-holmes-chapter-one-pc
Age of Empires IV (PC),28.7 GB,6,8,https://www.oxtorrent.co/torrent/85165/age-of-empires-iv-pc
The Dark Pictures Anthology: House of Ashes (PC),19.9 GB,4,6,https://www.oxtorrent.co/torrent/84496/the-dark-pictures-anthology-house-of-ashes-pc
Shadow of the Tomb Raider Definitive Edition (PC),28.2 GB,4,8,https://www.oxtorrent.co/torrent/84410/shadow-of-the-tomb-raider-definitive-edition-pc
