torrent name,size,Seed,Leech,link
Dehancer Film v2.0.0 Plugins PS / LRC / C1 / AP,205.7 MB,17,0,https://www.oxtorrent.co/torrent/91526/dehancer-film-v2-0-0-plugins-ps-lrc-c1-ap
Adobe Photoshop Lightroom Classic CC 2019,1.2 GB,11,6,https://www.oxtorrent.co/torrent/91431/adobe-photoshop-lightroom-classic-cc-2019
Speccy Pro Portable 1.32.774,14.8 MB,34,0,https://www.oxtorrent.co/torrent/91357/speccy-pro-portable-1-32-774
Sidify Music Converter 2.5.3 + Patch [WIN MULTI],131.2 MB,9,0,https://www.oxtorrent.co/torrent/91356/sidify-music-converter-2-5-3-patch-win-multi
FL Studio Producer Edition 20.5.0 Build 1142 + Patch,931.5 MB,15,16,https://www.oxtorrent.co/torrent/91224/fl-studio-producer-edition-20-5-0-build-1142-patch
Antidote 11 v2.0.2,2.4 GB,47,17,https://www.oxtorrent.co/torrent/90717/antidote-11-v2-0-2
Maxon Zbrush 2022.0.5,1.9 GB,19,2,https://www.oxtorrent.co/torrent/90716/maxon-zbrush-2022-0-5
Adobe Photoshop 2022 Neural Filters,1.7 GB,35,17,https://www.oxtorrent.co/torrent/90464/adobe-photoshop-2022-neural-filters
IObit Driver Booster Pro 9.3.0.200,29.8 MB,25,4,https://www.oxtorrent.co/torrent/90353/iobit-driver-booster-pro-9-3-0-200
DxO PhotoLab 5.2 Version Elite,788.8 MB,31,9,https://www.oxtorrent.co/torrent/89969/dxo-photolab-5-2-version-elite
Avira Phantom V.P.N Pro 2.24.1.25128,7.9 MB,21,1,https://www.oxtorrent.co/torrent/89425/avira-phantom-v-p-n-pro-2-24-1-25128
AutoCAD 2023 Français x64 avec patch,2.4 GB,72,13,https://www.oxtorrent.co/torrent/89424/autocad-2023-fran-ais-x64-avec-patch
CCleaner Professional 5.91.9537,31.8 MB,35,5,https://www.oxtorrent.co/torrent/89423/ccleaner-professional-5-91-9537
IObit Advanced SystemCare Pro 15.3.0.226 Multi-Fr-Winx64-x86-Crack,58.0 MB,28,2,https://www.oxtorrent.co/torrent/89422/iobit-advanced-systemcare-pro-15-3-0-226-multi-fr-winx64-x86-crack
"Suite Graphique Affinity : Photo, Designer, Publisher v 1.10.5",1.6 GB,26,3,https://www.oxtorrent.co/torrent/89421/suite-graphique-affinity-photo-designer-publisher-v-1-10-5
EqualizerPro 1.1.7.0 Win x32+x64 ENG + Crack,2.5 MB,27,0,https://www.oxtorrent.co/torrent/89266/equalizerpro-1-1-7-0-win-x32-x64-eng-crack
